Timestamp,Epoch,Batch,Total Batches,ETA,Learning Rate,Current Loss,Average Loss,Time,Avg Time,Data Time,Avg Data Time,Max CPU Mem,Max GPU Mem
2025-04-07 23:49:12.081,1,0,2821,14:21:34,0.0002,2.8905,2.8905,18.325,18.325,11.232,11.232,2418,32822
2025-04-07 23:49:12.744,1,1,2821,7:26:12,0.0002,2.8905,2.9701,0.662,0.662,0.0,0.0,2723,32822
2025-04-07 23:49:13.403,1,2,2821,5:07:40,0.0002,3.0496,3.0541,0.658,0.658,0.0,0.0,2727,32822
2025-04-07 23:49:14.061,1,3,2821,3:58:23,0.0002,2.8905,2.9409,0.657,0.657,0.0,0.0,2727,32822
2025-04-07 23:49:18.228,1,4,2821,3:49:45,0.0002,2.8905,2.7814,4.166,4.166,3.488,3.488,2728,32822
2025-04-07 23:49:18.885,1,5,2821,3:16:32,0.0002,2.6012,2.6008,0.656,0.656,0.0,0.0,2728,32822
2025-04-07 23:49:19.544,1,6,2821,2:52:48,0.0002,2.6012,2.4417,0.658,0.658,0.0,0.0,2728,32822
2025-04-07 23:49:20.205,1,7,2821,2:35:01,0.0002,2.1436,2.3067,0.659,0.659,0.0,0.0,2728,32822
2025-04-07 23:49:27.689,1,8,2821,2:56:43,0.0002,2.1436,2.1858,7.483,7.483,6.81,6.81,2728,32822
2025-04-07 23:49:28.345,1,9,2821,2:42:04,0.0002,1.6977,2.0875,0.655,0.655,0.0,0.0,2729,32822
2025-04-07 23:49:29.011,1,10,2821,2:30:07,0.0002,1.6977,1.9958,0.665,0.665,0.0,0.0,2729,32822
2025-04-07 23:49:29.668,1,11,2821,2:20:07,0.0002,1.4869,1.9122,0.656,0.656,0.0,0.0,2729,32822
2025-04-07 23:49:39.942,1,12,2821,2:46:17,0.0002,1.4869,1.8379,10.274,10.274,9.592,9.592,2729,32822
2025-04-07 23:49:40.600,1,13,2821,2:36:33,0.0002,1.3618,1.7666,0.657,0.657,0.0,0.0,2729,32822
2025-04-07 23:49:41.256,1,14,2821,2:28:06,0.0002,1.3618,1.7034,0.655,0.655,0.0,0.0,2729,32822
2025-04-07 23:49:41.915,1,15,2821,2:20:43,0.0002,1.2185,1.6453,0.658,0.658,0.0,0.0,2729,32822
2025-04-07 23:49:49.269,1,16,2821,2:32:37,0.0002,1.2185,1.5986,7.353,7.353,6.636,6.636,2729,32822
2025-04-07 23:49:49.929,1,17,2821,2:25:48,0.0002,1.2034,1.5496,0.659,0.659,0.0,0.0,2729,32822
2025-04-07 23:49:50.585,1,18,2821,2:19:41,0.0002,1.2034,1.5074,0.656,0.656,0.0,0.0,2729,32822
2025-04-07 23:49:51.244,1,19,2821,2:14:11,0.0002,1.0787,1.4664,0.658,0.658,0.0,0.0,2729,32822
2025-04-07 23:49:58.533,1,20,2821,2:23:57,0.0002,0.9923,1.428,7.288,7.288,6.581,6.581,2729,32822
2025-04-07 23:49:59.415,1,21,2821,2:19:14,0.0002,0.9461,1.3926,0.881,0.881,0.225,0.225,2729,32822
2025-04-07 23:50:00.073,1,22,2821,2:14:28,0.0002,0.8519,1.3604,0.656,0.656,0.0,0.0,2729,32822
2025-04-07 23:50:00.729,1,23,2821,2:10:05,0.0002,0.8402,1.3286,0.656,0.656,0.0,0.0,2729,32822
2025-04-07 23:50:10.606,1,24,2821,2:23:15,0.0002,0.8185,1.2999,9.876,9.876,9.162,9.162,2729,32822
2025-04-07 23:50:11.267,1,25,2821,2:18:53,0.0002,0.7729,1.2721,0.66,0.66,0.0,0.0,2729,32822
2025-04-07 23:50:11.923,1,26,2821,2:14:49,0.0002,0.7475,1.2455,0.656,0.656,0.0,0.0,2729,32822
2025-04-07 23:50:12.578,1,27,2821,2:11:03,0.0002,0.7172,1.2224,0.654,0.654,0.0,0.0,2729,32822
2025-04-07 23:50:20.208,1,28,2821,2:18:44,0.0002,0.6868,1.1989,7.629,7.629,6.929,6.929,2729,32822
2025-04-07 23:50:20.869,1,29,2821,2:15:05,0.0002,0.6594,1.1766,0.66,0.66,0.0,0.0,2729,32822
2025-04-07 23:50:21.526,1,30,2821,2:11:39,0.0002,0.6529,1.1562,0.657,0.657,0.0,0.0,2729,32822
2025-04-07 23:50:22.182,1,31,2821,2:08:27,0.0002,0.6494,1.1362,0.655,0.655,0.0,0.0,2729,32822
2025-04-07 23:50:31.076,1,32,2821,2:17:02,0.0002,0.6115,1.1192,8.892,8.892,8.178,8.178,2729,32822
2025-04-07 23:50:32.688,1,33,2821,2:15:10,0.0002,0.5976,1.1007,1.612,1.612,0.955,0.955,2729,32822
2025-04-07 23:50:33.343,1,34,2821,2:12:07,0.0002,0.5971,1.0825,0.654,0.654,0.0,0.0,2729,32822
2025-04-07 23:50:34.005,1,35,2821,2:09:15,0.0002,0.5757,1.0663,0.661,0.661,0.0,0.0,2729,32822
2025-04-07 23:50:39.820,1,36,2821,2:13:01,0.0002,0.5754,1.0501,5.814,5.814,5.142,5.142,2729,32822
2025-04-07 23:50:42.507,1,37,2821,2:12:45,0.0002,0.5553,1.0352,2.687,2.687,1.984,1.984,2729,32822
2025-04-07 23:50:43.163,1,38,2821,2:10:04,0.0002,0.5454,1.0219,0.655,0.655,0.0,0.0,2729,32822
2025-04-07 23:50:43.819,1,39,2821,2:07:32,0.0002,0.5403,1.0098,0.656,0.656,0.0,0.0,2729,32822
2025-04-07 23:50:49.439,1,40,2821,2:10:44,0.0002,0.537,0.9969,5.619,5.619,4.942,4.942,2729,32822
2025-04-07 23:50:54.560,1,41,2821,2:13:13,0.0002,0.537,0.9863,5.12,5.12,4.422,4.422,2729,32822
2025-04-07 23:50:55.216,1,42,2821,2:10:47,0.0002,0.5313,0.9746,0.655,0.655,0.0,0.0,2729,32822
2025-04-07 23:50:55.874,1,43,2821,2:08:27,0.0002,0.5164,0.963,0.657,0.657,0.0,0.0,2729,32822
