candidate,reader,workload,trial,wall_seconds,process_cpu_seconds,byte_metrics_valid,observed_data_returned_bytes,observed_data_calls,observed_unique_data_objects
A,zarr-python,aligned_720,0,0.29411327885463834,,False,63158793,1,1
A,zarr-python,aligned_720,1,0.24595275102183223,,False,63158793,1,1
A,zarr-python,aligned_720,2,0.24451829586178064,,False,63158793,1,1
A,zarr-python,halo_16_752,0,0.3076383739244193,,False,63172649,9,9
A,zarr-python,halo_16_752,1,0.2767425060737878,,False,63172649,9,9
A,zarr-python,halo_16_752,2,0.2782054138369858,,False,63172649,9,9
A,zarr-python,halo_32_784,0,0.3045904980972409,,False,63172649,9,9
A,zarr-python,halo_32_784,1,0.2978979561012238,,False,63172649,9,9
A,zarr-python,halo_32_784,2,0.3246673680841923,,False,63172649,9,9
A,zarr-python,union_1472,0,1.157686177175492,,False,195706932,16,16
A,zarr-python,union_1472,1,1.117573122959584,,False,195706932,16,16
A,zarr-python,union_1472,2,1.0240308048669249,,False,195706932,16,16
A,zarr-python,misaligned_720,0,0.2507830550894141,,False,63163989,4,4
A,zarr-python,misaligned_720,1,0.24704483500681818,,False,63163989,4,4
A,zarr-python,misaligned_720,2,0.23336100997403264,,False,63163989,4,4
A,zarr-python,shallow_17_halo,0,0.1128996480256319,,False,15588,9,9
A,zarr-python,shallow_17_halo,1,0.09384782798588276,,False,15588,9,9
A,zarr-python,shallow_17_halo,2,0.09447546699084342,,False,15588,9,9
A,zarr-python,point_series,0,0.007266693050041795,,False,13856,8,8
A,zarr-python,point_series,1,0.006370035000145435,,False,13856,8,8
A,zarr-python,point_series,2,0.006181874079629779,,False,13856,8,8
A,zarr-python,pair_aligned,0,0.5438129419926554,,False,126298319,2,2
A,zarr-python,pair_aligned,1,0.5261046709492803,,False,126298319,2,2
A,zarr-python,pair_aligned,2,0.5216045610141009,,False,126298319,2,2
A,zarr-python,pair_offset,0,0.5319682061672211,,False,126239300,2,2
A,zarr-python,pair_offset,1,0.5173940581735224,,False,126239300,2,2
A,zarr-python,pair_offset,2,0.47859046002849936,,False,126239300,2,2
A,zarr-python,independent_four_752,0,1.0256657858844846,,False,195741572,36,16
A,zarr-python,independent_four_752,1,1.0157228210009634,,False,195741572,36,16
A,zarr-python,independent_four_752,2,1.0750338612124324,,False,195741572,36,16
A,zarrs,aligned_720,0,0.21936544100753963,0.33793268999999526,False,,,
A,zarrs,aligned_720,1,0.19273121585138142,0.30758160500000287,False,,,
A,zarrs,aligned_720,2,0.20736102107912302,0.3247301840000034,False,,,
A,zarrs,halo_16_752,0,0.29455859190784395,0.4650528310000013,False,,,
A,zarrs,halo_16_752,1,0.30144925508648157,0.46033278000000166,False,,,
A,zarrs,halo_16_752,2,0.3089263951405883,0.4686556159999995,False,,,
A,zarrs,halo_32_784,0,0.3232211119029671,0.48287400899999966,False,,,
A,zarrs,halo_32_784,1,0.3179823758546263,0.47671927500000066,False,,,
A,zarrs,halo_32_784,2,0.32933234283700585,0.4894540969999994,False,,,
A,zarrs,union_1472,0,1.1592080681584775,1.625927285000003,False,,,
A,zarrs,union_1472,1,1.129530981881544,1.6041482519999946,False,,,
A,zarrs,union_1472,2,1.0563481110148132,1.517198878000002,False,,,
A,zarrs,misaligned_720,0,0.25022755307145417,0.3674128899999971,False,,,
A,zarrs,misaligned_720,1,0.22491215192712843,0.3434966949999989,False,,,
A,zarrs,misaligned_720,2,0.2383959940634668,0.35494570099999834,False,,,
A,zarrs,shallow_17_halo,0,0.09574988391250372,0.15320589699999942,False,,,
A,zarrs,shallow_17_halo,1,0.09314468200318515,0.15006701600000127,False,,,
A,zarrs,shallow_17_halo,2,0.0920414999127388,0.15253478700000045,False,,,
A,zarrs,point_series,0,0.004237771965563297,0.01093090300000199,False,,,
A,zarrs,point_series,1,0.003178951097652316,0.00855786500000022,False,,,
A,zarrs,point_series,2,0.0035231190267950296,0.010307709000002774,False,,,
A,zarrs,pair_aligned,0,0.500410539098084,0.6553336039999991,False,,,
A,zarrs,pair_aligned,1,0.47685202001594007,0.6318248370000035,False,,,
A,zarrs,pair_aligned,2,0.5126730869524181,0.6681482729999999,False,,,
A,zarrs,pair_offset,0,0.4964574850164354,0.641429076999998,False,,,
A,zarrs,pair_offset,1,0.49882615404203534,0.6438937770000024,False,,,
A,zarrs,pair_offset,2,0.5008961209096014,0.6468227340000041,False,,,
A,zarrs,independent_four_752,0,1.0261985249817371,1.604772484999998,False,,,
A,zarrs,independent_four_752,1,1.0441381570417434,1.6092288270000026,False,,,
A,zarrs,independent_four_752,2,1.0162209628615528,1.591728418999999,False,,,
A,tensorstore,aligned_720,0,0.19212334789335728,0.3711859619999984,False,,,
