arm,label,phase,joint_update,per_sample_validation_score,original_running_statistics_score,checkpoint_sha256
obs0,D → observations,post-reconstruction,0,0.9724748241951964,0.8418085640207155,49d48d23a9c1daff5ba10f2ecf83d14d67874a83f45496d716f39c344c009200
obs0,D → observations,joint,3000,0.9100843024005771,0.5272867159104019,ad64fdf0ed830c58d2b6f1875245f2dad86854780eefd9866bb6c53c7738a44d
obs0,D → observations,joint,4000,0.9355474154107571,0.5428313767860432,eb82cdb3ec5083c39bae88ac24adcdfd852f417ce88d9f5588a3cd371fa6178c
obs25,D → 25% OM4 → observations,post-reconstruction,0,0.9429074091571747,0.8101595218392084,846e64c319d66f32bc0d3eacd3068a5e5c9a000c21548b43f8fc55058aae8324
obs25,D → 25% OM4 → observations,joint,3000,0.9414698903343561,0.5488322583652636,33d49724d99727af6eedebefa95a80031ffe4da7c5c69e972b19eee06f144221
obs50,D → 50% OM4 → observations,post-reconstruction,0,0.9087663512512327,0.7882597205014936,b0dc0e4e8222ebaade1da0de85d42a0722664ace9f7c3b18980ca7017862a94a
obs50,D → 50% OM4 → observations,joint,2000,0.9298214413528412,0.5560779145698881,4f603740516cc9cc3752ab9d53f2a61e63f3a385d64a5e7663980806ddfa8668
obs75,D → 75% OM4 → observations,post-reconstruction,0,0.888830322930605,0.7742197003043447,3004aa52ed00f1c13a4e416256babd267ecef37ed73825fc1c230d536c55eacb
obs75,D → 75% OM4 → observations,joint,1000,0.9298665165872465,0.5831608946248278,a7da8718da09880e0da6f1cf8a97e903e127220e762b977d5e8fa33ce9263f80
random,Observation-only random,post-reconstruction,0,5.5219638293491515,6.5628431079232765,66c0b67850f3efab61ba673e426d4bc1d02e34be75d766fa7873f4897d26719f
random,Observation-only random,joint,4000,0.5726404055551163,0.8803078040790531,b069370028ee464f5fc881f5fe525e6c395e8d7a94465e1b80d81391268551b3
random,Observation-only random,joint,5000,0.5645622014973254,0.8635284708996896,4841721c8b7957363f3828a52743d56ce6df124a2b7d09e727efa86e95527db7
random,Observation-only random,joint,6000,0.5572997413016997,0.8410360502344565,b686d28136c67efb92deeff9c7ccde7d6e59ea9fba162a45ebe638b4769b8dda
random,Observation-only random,joint,8000,0.5627821801499993,0.8676752281877798,5088aa5e8a655bc03376f31085d789013f100dfdc52e6d50616ff6e4cb3dc7db
