run,arm,phase,learning_rate,step,elapsed_hours,split,ts_rmse
D,D,reconstruction,0.0003,0,0.0,validation,1.0190318554362268
D,D,reconstruction,0.0003,8776,0.33335104972722346,validation,0.05939376183274577
D,D,reconstruction,0.0003,8776,0.33335104972722346,train probe,0.05122428214239595
D,D,reconstruction,0.0003,17482,0.6670188699644415,validation,0.057015455113082314
D,D,reconstruction,0.0003,17482,0.6670188699644415,train probe,0.046975209985577616
D,D,reconstruction,0.0003,26186,1.000670550666675,validation,0.05673114966517287
D,D,reconstruction,0.0003,26186,1.000670550666675,train probe,0.04464056470000347
D,D,reconstruction,0.0003,34812,1.3343632998200095,validation,0.05615664341262842
D,D,reconstruction,0.0003,34812,1.3343632998200095,train probe,0.0438297699872023
D,D,reconstruction,0.0003,43439,1.6680442049824988,validation,0.05518815441988327
D,D,reconstruction,0.0003,43439,1.6680442049824988,train probe,0.0433850844731346
D,D,reconstruction,0.0003,52094,2.001740001358056,validation,0.056140342756815224
D,D,reconstruction,0.0003,52094,2.001740001358056,train probe,0.04223949497676581
D,D,reconstruction,0.0003,60834,2.3351255820033354,validation,0.05612607839218454
D,D,reconstruction,0.0003,60834,2.3351255820033354,train probe,0.04173150766699341
D,D,reconstruction,0.0003,69566,2.668503237210001,validation,0.05629287425218496
D,D,reconstruction,0.0003,69566,2.668503237210001,train probe,0.041422699976008184
D,D,reconstruction,0.0003,78350,3.001893083875281,validation,0.0558786689009254
D,D,reconstruction,0.0003,78350,3.001893083875281,train probe,0.041079504076156556
D,D,reconstruction,0.0003,87138,3.335298197404999,validation,0.055887562052365516
D,D,reconstruction,0.0003,87138,3.335298197404999,train probe,0.04097597016078229
D,D,reconstruction,0.0003,95919,3.6686947211638876,validation,0.055275179781598745
D,D,reconstruction,0.0003,95919,3.6686947211638876,train probe,0.040475484690833057
