run,step,selection_rmse
continued-control,0,0.05506635042907392
continued-control,100,0.05450807959141604
continued-control,200,0.054957634526571326
continued-control,300,0.05472596030652445
continued-control,400,0.05424846720487783
continued-control,500,0.05481859056850444
continued-control,600,0.05475510155485069
continued-control,700,0.05482543851543974
continued-control,800,0.05454385321931957
continued-control,900,0.054359942274154784
continued-control,1000,0.05494938611936884
field-specialization,0,0.05506635042907392
field-specialization,100,0.046811179132106084
field-specialization,200,0.044907865017025796
field-specialization,300,0.04329310201515168
field-specialization,400,0.04314550890463036
field-specialization,500,0.042156796966035956
field-specialization,600,0.04166888098246991
field-specialization,700,0.041843699683176555
field-specialization,800,0.04099187509096914
field-specialization,900,0.042385425869603824
field-specialization,1000,0.04153938319905898
fit-one,0,0.04632665861809997
fit-one,100,0.015907047919427687
fit-one,200,0.011355820048396224
fit-one,300,0.009103849951377599
fit-sixteen,0,0.044077653922927354
fit-sixteen,100,0.02668813454946751
fit-sixteen,200,0.021026407598635194
fit-sixteen,300,0.018602055326244028
