split,date,paired_output_rmse,bf16_rmse,fp32_rmse
train,1975-04-03 12:00:00,0.002321778071576831,0.032813240059360274,0.03288176517607223
train,1977-10-20 12:00:00,0.0024287111423588613,0.029938490425997034,0.029868847884464242
train,1980-05-12 12:00:00,0.0024549672560523865,0.031228259670934275,0.031158734248790124
train,1982-12-04 12:00:00,0.0024385810758220886,0.030770364697530892,0.03076780772049991
train,1985-06-27 12:00:00,0.002372780545918806,0.031612209955457715,0.031593150105704994
train,1988-01-18 12:00:00,0.0023802993386757058,0.031203281863744818,0.03118303992412725
train,1990-08-11 12:00:00,0.0023596062449155976,0.030791148809624667,0.030792044321950353
train,1993-03-04 12:00:00,0.0022255375185326986,0.03106957532190463,0.031117012507799902
train,1995-09-25 12:00:00,0.002422022736634661,0.030678935378994573,0.030677059350798067
train,1998-04-18 12:00:00,0.00248602127539217,0.03147156672910879,0.03142878932406119
train,2000-11-08 12:00:00,0.002387759362786131,0.03126559897739127,0.03117872005645728
train,2003-06-02 12:00:00,0.002336272040051965,0.03185025420661457,0.031743234925540986
train,2005-12-24 12:00:00,0.0023790592623282613,0.03085553832754466,0.03076500948206192
train,2008-07-16 12:00:00,0.002337798972868537,0.03073946979553687,0.03067942494631735
train,2011-02-07 12:00:00,0.0023678475479883363,0.03167545546805488,0.03158793864742077
train,2013-08-31 12:00:00,0.0024176710090584577,0.032194918583675396,0.032104747159638576
validation,2013-10-30 12:00:00,0.002348077050864365,0.037815028974916925,0.03766298455979107
validation,2013-11-29 12:00:00,0.0022623030240002816,0.03799320676671846,0.037789276976657064
validation,2013-12-29 12:00:00,0.00232902903522554,0.03852969790221921,0.03839463696866453
validation,2014-01-28 12:00:00,0.0023951469526485116,0.039642390636013665,0.03945297309008569
validation,2014-02-27 12:00:00,0.0022959556117626216,0.042010620826042316,0.04186938830310596
validation,2014-03-29 12:00:00,0.0024124805078814377,0.04047028090599309,0.040272167026079685
validation,2014-04-28 12:00:00,0.002432803560644043,0.038526631630961226,0.03829499895910309
validation,2014-05-28 12:00:00,0.0024644197793271547,0.03834103766278969,0.03808711677116851
validation,2014-06-27 12:00:00,0.002547942239155275,0.03910430164110547,0.038861585533647935
validation,2014-07-27 12:00:00,0.002576782285437833,0.039114844742064635,0.038897173772683216
validation,2014-08-26 12:00:00,0.0025809928664897626,0.03828984332390209,0.03798401159708987
