split,precision,index,date,field_mse,current_field_mse,ts_mse,batch_full_mse,climatology_mse,bias,pred_anomaly_m2,true_anomaly_m2,cross_anomaly,pred_anomaly_mean,true_anomaly_mean,bf16_rounding_mse
train-selected,bf16,0,1975-04-03 12:00:00,0.00034506601514294744,0.0003464941260588597,0.004153707064688206,0.053722530603408813,0.006240464934355183,0.004187587357899441,0.0058650133409727115,0.006240464934355183,0.0058794920705630615,0.0005260053089406518,-0.0036615820514902804,3.928432256467736e-06
train-selected,bf16,186,1977-10-20 12:00:00,0.0003052945248782635,0.000307635631817652,0.003987464122474194,0.053722530603408813,0.005636350860523191,0.0003320082773132317,0.005475659185107156,0.005636350860523191,0.005402187204272922,-0.0013208412380529583,-0.0016528495228066394,3.3592736739730895e-06
train-selected,bf16,373,1980-05-12 12:00:00,0.0003765495494008064,0.00037831032970829216,0.00398616399616003,0.05057813227176666,0.005016830162947783,0.005496810133591491,0.004769478937082225,0.005016830162947783,0.004703999387599385,0.004986150016991813,-0.000510660114263718,3.212755155711686e-06
train-selected,bf16,560,1982-12-04 12:00:00,0.00035011995350942016,0.0003501169261302122,0.004067147150635719,0.05057813227176666,0.004284976111658401,0.002285781232824115,0.003973162848138271,0.004284976111658401,0.003954011014531554,0.0030461636400826025,0.0007603824060782658,4.394993772575939e-06
train-selected,bf16,747,1985-06-27 12:00:00,0.00036529131466522813,0.0003654358628744017,0.0040739476680755615,0.05039277672767639,0.0038706499579029777,0.00625427767007969,0.003587499717709329,0.0038706499579029777,0.0035463569070149554,0.0041577166024472775,-0.002096561067279016,3.3257738456517917e-06
train-selected,bf16,934,1988-01-18 12:00:00,0.0003712720063049346,0.00037192040173970805,0.004010726697742939,0.05039277672767639,0.0031024193386221476,0.005242782388342971,0.0028382154669538383,0.0031024193386221476,0.0027843571988550022,0.005112886956406164,-0.00012989543198122853,3.985726653925582e-06
train-selected,bf16,1121,1990-08-11 12:00:00,0.0003457886341493577,0.0003441021700308345,0.004091404378414154,0.0504951998591423,0.0029545144488261977,0.000744649285870729,0.002699758173418576,0.0029545144488261977,0.002655085222355757,0.001900634140586947,0.0011559848517330913,3.067362028847942e-06
train-selected,bf16,1308,1993-03-04 12:00:00,0.0003393438528291881,0.00033836564688302537,0.00410687318071723,0.0504951998591423,0.002868849708911426,0.002367405065013242,0.002653503736281652,0.002868849708911426,0.0025919938992970373,0.0005484027286499207,-0.0018190023365443114,3.915087032311637e-06
train-selected,bf16,1495,1995-09-25 12:00:00,0.00033562557655386627,0.00033625663401324295,0.004156322218477726,0.05171719193458557,0.0029450264051042083,0.0022415680042968764,0.0027358928386788813,0.0029450264051042083,0.002672331306737298,0.0006773195922913027,-0.0015642484059401238,2.558799577934671e-06
train-selected,bf16,1682,1998-04-18 12:00:00,0.00036787567660212517,0.00036656009733520553,0.004393021576106548,0.05171719193458557,0.003544779717683458,0.005734076287087895,0.0033528967002663516,0.003544779717683458,0.0032655581602613476,0.007607846796814416,0.0018737705142342896,3.808622659271079e-06
train-selected,bf16,1869,2000-11-08 12:00:00,0.00036509690107777715,0.0003649624548211943,0.003912323620170355,0.05061739683151245,0.003399293157488193,0.0035273321016791076,0.0031333786333198554,0.003399293157488193,0.0030838546665364398,0.005311285718549943,0.0017839536172705092,3.0822704947819135e-06
train-selected,bf16,2056,2003-06-02 12:00:00,0.00034088053507730365,0.00034069273729810893,0.00415942445397377,0.05061739683151245,0.0035781546394198153,0.0033152847315442973,0.003360702213288446,0.0035781546394198153,0.0032990820594060296,0.006587334614398837,0.0032720498857495817,4.05087942363266e-06
train-selected,bf16,2243,2005-12-24 12:00:00,0.0003040197480004281,0.0003033578261665659,0.004016753286123276,0.05033684894442558,0.0038542888078478186,0.0013150365093172198,0.0035813003547571407,0.0038542888078478186,0.0035661156672696336,0.0010531987496752778,-0.00026183776823246593,3.2984769960140695e-06
train-selected,bf16,2430,2008-07-16 12:00:00,0.00034799607237800956,0.0003490925828583485,0.004197125323116779,0.05033684894442558,0.004423559944493139,0.004561577971421522,0.004242215103613151,0.004423559944493139,0.004158341234683095,0.005791398020687082,0.0012298200449573583,3.3954681859254094e-06
train-selected,bf16,2617,2011-02-07 12:00:00,0.00035988030140288174,0.000361213747305055,0.0041177598759531975,0.054655514657497406,0.005132201150663224,0.0025579425040681194,0.004934024453380856,0.005132201150663224,0.004852505923635571,0.0029663641817537336,0.00040842167229104847,3.5666941980628253e-06
train-selected,bf16,2804,2013-08-31 12:00:00,0.00031648273579776287,0.00031761800896286667,0.004431233741343021,0.054655514657497406,0.005280537380307952,-2.830821375898385e-05,0.004948806067075856,0.005280537380307952,0.004955862718970328,0.0021962242610422053,0.0022245324740931965,2.804535662007292e-06
