split,precision,index,date,field_mse,current_field_mse,ts_mse,batch_full_mse,climatology_mse,bias,pred_anomaly_m2,true_anomaly_m2,cross_anomaly,pred_anomaly_mean,true_anomaly_mean,bf16_rounding_mse
train-selected,bf16,0,1975-04-03 12:00:00,0.0021473709493875504,0.0021408535546199683,0.002090219408273697,0.02281995490193367,0.006240464934355183,0.0014150324431846367,0.005305084620844235,0.006240464934355183,0.004702348000212429,-0.0022465496153678734,-0.0036615820514902804,3.928432256467736e-06
train-selected,bf16,186,1977-10-20 12:00:00,0.001790859387256205,0.0017821675274669296,0.0018721690867096186,0.02281995490193367,0.005636350860523191,0.0015593328786446363,0.005228851588305713,0.005636350860523191,0.004541517457624579,-9.35166423507202e-05,-0.0016528495228066394,3.3592736739730895e-06
train-selected,bf16,373,1980-05-12 12:00:00,0.0019364362815394998,0.0019390289466398873,0.001862255623564124,0.021465325728058815,0.005016830162947783,0.0008205093441464766,0.004175211283427447,0.005016830162947783,0.003626506248995504,0.0003098492279378904,-0.000510660114263718,3.212755155711686e-06
train-selected,bf16,560,1982-12-04 12:00:00,0.0018943964969366789,0.0018825824932913605,0.001815985538996756,0.021465325728058815,0.004284976111658401,0.0016898796437645723,0.0036931234842771513,0.004284976111658401,0.0030477585497499047,0.002450262045481414,0.0007603824060782658,4.394993772575939e-06
train-selected,bf16,747,1985-06-27 12:00:00,0.0019805626943707466,0.0019870026418474613,0.0018452395452186465,0.021794185042381287,0.0038706499579029777,-0.0003894909786856589,0.0034624432715705273,0.0038706499579029777,0.0026730452949839767,-0.002486052050031465,-0.002096561067279016,3.3257738456517917e-06
train-selected,bf16,934,1988-01-18 12:00:00,0.0019319010898470879,0.0019359283378644543,0.0018364423885941505,0.021794185042381287,0.0031024193386221476,0.0007484265436910893,0.0028428262959238294,0.0031024193386221476,0.0020046586464243644,0.0006185311149902738,-0.00012989543198122853,3.985726653925582e-06
train-selected,bf16,1121,1990-08-11 12:00:00,0.0018796949880197644,0.0018851265667734981,0.001829063519835472,0.02168317511677742,0.0029545144488261977,0.0011168192475779117,0.0026487800084623457,0.0029545144488261977,0.001859083947208899,0.0022728040985020427,0.0011559848517330913,3.067362028847942e-06
train-selected,bf16,1308,1993-03-04 12:00:00,0.0019210504833608866,0.0019193729169507772,0.0018425199668854475,0.02168317511677742,0.002868849708911426,0.0029890819949714023,0.0025162631377765397,0.002868849708911426,0.0017328699657255026,0.0011700796604980576,-0.0018190023365443114,3.915087032311637e-06
train-selected,bf16,1495,1995-09-25 12:00:00,0.0018627066165208817,0.001871411518344547,0.0018382780253887177,0.02159155160188675,0.0029450264051042083,0.0022520005848083832,0.00253450776393328,0.0029450264051042083,0.0018040613325574332,0.0006877521704867532,-0.0015642484059401238,2.558799577934671e-06
train-selected,bf16,1682,1998-04-18 12:00:00,0.001965448260307312,0.001969361555312812,0.0019483726937323809,0.02159155160188675,0.003544779717683458,0.0034042990873603385,0.0031670357826200876,0.003544779717683458,0.0023712269742876876,0.005278069602989466,0.0018737705142342896,3.808622659271079e-06
train-selected,bf16,1869,2000-11-08 12:00:00,0.0019361096201464534,0.001943668672288845,0.0018078237771987915,0.021082982420921326,0.003399293157488193,0.0020386585206968984,0.002760820894781335,0.003399293157488193,0.002108222690271784,0.003822612135264219,0.0017839536172705092,3.0822704947819135e-06
train-selected,bf16,2056,2003-06-02 12:00:00,0.002024504356086254,0.0020170401110842584,0.0017870842712000012,0.021082982420921326,0.0035781546394198153,0.002882615174519636,0.0030293188217831194,0.0035781546394198153,0.0022952166749804236,0.006154665055656469,0.0032720498857495817,4.05087942363266e-06
train-selected,bf16,2243,2005-12-24 12:00:00,0.0018764638807624578,0.0018930190497796649,0.0018019243143498898,0.02061791904270649,0.0038542888078478186,0.003911857751471439,0.003423440589469247,0.0038542888078478186,0.0026923551750771975,0.003650019994067252,-0.00026183776823246593,3.2984769960140695e-06
train-selected,bf16,2430,2008-07-16 12:00:00,0.0018822525162249804,0.0018788039893153224,0.0018512075766921043,0.02061791904270649,0.004423559944493139,0.00431399915721033,0.00402687584058454,0.004423559944493139,0.0032858159009090623,0.005543819206932594,0.0012298200449573583,3.3954681859254094e-06
train-selected,bf16,2617,2011-02-07 12:00:00,0.0019938726909458637,0.0019949612551263813,0.0019485680386424065,0.022880977019667625,0.005132201150663224,0.0029345681017004547,0.004587415919316698,0.005132201150663224,0.0038623279050158383,0.0033429897807892546,0.00040842167229104847,3.5666941980628253e-06
train-selected,bf16,2804,2013-08-31 12:00:00,0.0020618028938770294,0.0020609307136578102,0.0020439461804926395,0.022880977019667625,0.005280537380307952,0.0033018419579335673,0.004546301470884621,0.005280537380307952,0.0038829540640831863,0.005526374430601431,0.0022245324740931965,2.804535662007292e-06
