run,scale,physical_rmse,anomaly_rms_ratio,anomaly_cosine
precision,raw,0.0449922393915825,0.7311521395837544,0.5897168639575756
precision,lowpass3,0.03694993504067465,0.6795639253859183,0.5897512994505818
precision,lowpass9,0.028430831970394813,0.6355499613847401,0.6421934409203244
precision,highpass3,0.02052928242324931,0.8445601348934446,0.5877092623074781
precision,highpass9,0.03152702467799302,0.8223603873073222,0.5787999214480241
continued-control-eval,raw,0.044506198039272,0.7225319378687904,0.5980774193641227
continued-control-eval,lowpass3,0.03626337226089257,0.6698150227209397,0.6066607197359957
continued-control-eval,lowpass9,0.027542242601795837,0.6245319035546868,0.6713560488567749
continued-control-eval,highpass3,0.020616480296089958,0.839823913456341,0.58262200600952
continued-control-eval,highpass9,0.03167743154808281,0.8143310832019162,0.5721845207665892
field-specialization-eval,raw,0.03784902039722668,0.6736702202995464,0.7259526286809415
field-specialization-eval,lowpass3,0.031364250684880544,0.6133228870317883,0.7340656617598528
field-specialization-eval,lowpass9,0.024186000131757143,0.5731089564354094,0.7879777469074677
field-specialization-eval,highpass3,0.016641861495606862,0.7968268295068803,0.7287777214905015
field-specialization-eval,highpass9,0.026256472719896565,0.776788775393802,0.7086999974375134
