run,split,precision,origins,physical_rmse,climatology_rmse,mse_skill,spatial_correlation,anomaly_rms_ratio,anomaly_cosine,physical_bias,both_times_field_mse,ts_rmse
continued-control,validation-selected,bf16,11,0.038471964305962204,0.052974491438194146,0.47258177839539073,0.6927646306419922,0.7857235953673666,0.6935920932338551,-0.00046657926063451403,0.0029428961940786455,0.05524618796414867
continued-control,train-selected,bf16,16,0.03031069130008327,0.04559365617313364,0.5580401237461102,0.7512549303691743,0.9257084671858781,0.7642666887190368,-0.001825918706145701,0.001826291249017169,0.04131791438934494
continued-control-eval,heldout,bf16,99,0.04450619840245046,0.0548751977386796,0.3422076735851418,0.5975524107184332,0.7225319374405412,0.5980774200200808,0.0003886536460472751,0.003941532765336362,0.06376425118195582
continued-control-eval,train,fp32,16,0.030288225314913254,0.04559365617313364,0.5586950335444569,0.7517489865226268,0.926170266808784,0.7647008586036934,-0.001762891752971016,0.0018233198934466998,0.04126497664640947
continued-control-eval,train,bf16,16,0.03031069130008327,0.04559365617313364,0.5580401237461102,0.7512549303691743,0.9257084671858781,0.7642666887190368,-0.001825918706145701,0.001826291249017169,0.04131791438934494
continued-control-eval,validation,bf16,11,0.038471964305962204,0.052974491438194146,0.47258177839539073,0.6927646306419922,0.7857235953673666,0.6935920932338551,-0.00046657926063451403,0.0029428961940786455,0.05524618796414867
continued-control-eval,validation,fp32,11,0.038339079134437244,0.052974491438194146,0.4762189734666378,0.6952176045364186,0.7872823615570835,0.6960860194138899,-0.00037536528345314253,0.0029178512155670637,0.05516342084482228
field-specialization,validation-selected,bf16,11,0.029092853919224556,0.052974491438194146,0.6983946365487654,0.8379712457748596,0.7750483484456968,0.8380732514194545,0.0009320946826723442,0.0016803338234735634,0.08929048867395524
field-specialization,train-selected,bf16,16,0.017609692920120337,0.04559365617313364,0.8508254536409874,0.9184147164915246,0.9359025786128492,0.9224993762811288,0.001027008919529344,0.0006152152673166187,0.08327243537590151
field-specialization-eval,heldout,bf16,99,0.03784902072021539,0.0548751977386796,0.5242737693272659,0.72734990337244,0.6736702206213071,0.7259526289835103,0.0013712888662031682,0.0028458530238518634,0.09394437149617317
field-specialization-eval,train,fp32,16,0.01759299541466995,0.04559365617313364,0.8511082140393647,0.9184053026462131,0.936717550528316,0.9226623236683663,0.0005070114004795115,0.0006139943361631125,0.08320618690142252
field-specialization-eval,train,bf16,16,0.017609692920120337,0.04559365617313364,0.8508254536409874,0.9184147164915246,0.9359025786128492,0.9224993762811288,0.001027008919529344,0.0006152152673166187,0.08327243537590151
field-specialization-eval,validation,bf16,11,0.029092853919224556,0.052974491438194146,0.6983946365487654,0.8379712457748596,0.7750483484456968,0.8380732514194545,0.0009320946826723442,0.0016803338234735634,0.08929048867395524
field-specialization-eval,validation,fp32,11,0.028942203673155052,0.052974491438194146,0.7015101287818433,0.8396061204976427,0.7770000601876705,0.8399222143542819,0.00038653522891520404,0.0016633532094684092,0.08920396619008393
fit-one,validation-selected,bf16,11,0.09849402530975354,0.052974491438194146,-2.4568949436473178,-0.0894004407069789,1.481377345129332,-0.08857166146989115,-0.0010322461119088194,0.019336115568876225,0.08480517914222446
fit-one,train-selected,bf16,1,0.006420649795654386,0.05602270981763462,0.9868650101456827,0.9939910041309491,0.9903701125851443,0.9934154628973697,0.001917868739478854,8.288008393719792e-05,0.07449224550057879
fit-sixteen,validation-selected,bf16,11,0.04019489448318573,0.052974491438194146,0.42428414013359483,0.6532363095930704,0.7113939940663487,0.6539031553500222,0.0017074016860308958,0.0032030925239351,0.06989295435478568
fit-sixteen,train-selected,bf16,16,0.01319879259192112,0.04559365617313364,0.9161969994010438,0.9562426335809808,0.9694313531980644,0.9572591918994401,0.0022222028626713774,0.0003460364623606,0.06415868917875227
precision,heldout,bf16,99,0.044992239749499535,0.0548751977386796,0.3277620439535338,0.5911939808572254,0.7311521392103812,0.5897168648095762,0.003900086744084609,0.004021296858542897,0.06304159841488925
precision,train,fp32,16,0.031227624914859375,0.04559365617313364,0.5308960726809543,0.7380519792364563,0.9371605454699645,0.7518274042901762,0.0013881347528556752,0.0019369692745385063,0.0432316259944665
precision,train,bf16,16,0.03126688654639596,0.04559365617313364,0.5297157482929222,0.7371699246597284,0.93607701155689,0.7509830401712638,0.0015508598088223179,0.0019428395753492938,0.0433164950940849
precision,validation,bf16,11,0.03909408132856914,0.052974491438194146,0.45538646308043385,0.6837660164013382,0.7921862531975541,0.6835169876186911,0.0030106284344130077,0.0030323029495775184,0.05518728916495249
precision,validation,fp32,11,0.03888823369745115,0.052974491438194146,0.46110662608759634,0.6874777814720536,0.7937467389183389,0.6873354296414154,0.0028667777474927505,0.003004695839163891,0.05507674097889929
smoke,validation-selected,bf16,11,0.03909408132856914,0.052974491438194146,0.45538646308043385,0.6837660164013382,0.7921862531975541,0.6835169876186911,0.0030106284344130077,0.0030323029495775184,0.05518728916495249
smoke,train-selected,bf16,16,0.03126688654639596,0.04559365617313364,0.5297157482929222,0.7371699246597284,0.93607701155689,0.7509830401712638,0.0015508598088223179,0.0019428395753492938,0.0433164950940849
