run,year,origins,physical_rmse,mse_skill
precision,2014,2,0.040342159943334656,0.415912534082466
precision,2015,13,0.042529534302916894,0.3593771435410683
precision,2016,12,0.04375236009189563,0.3124489245263258
precision,2017,12,0.0429741219834449,0.3558321386036163
precision,2018,12,0.04478590592654106,0.3226617437603976
precision,2019,12,0.04516335369763364,0.30809673978787355
precision,2020,12,0.046261678379170716,0.30958405097191544
precision,2021,13,0.04701037191886291,0.3279677969004168
precision,2022,11,0.0481918461588597,0.3126562364329277
continued-control-eval,2014,2,0.03970075290591215,0.43433790325854515
continued-control-eval,2015,13,0.04176842434404395,0.3821011883828658
continued-control-eval,2016,12,0.04292481533898633,0.33821203145651957
continued-control-eval,2017,12,0.04247556972729097,0.37069170767350756
continued-control-eval,2018,12,0.044216738512681035,0.3397684271150426
continued-control-eval,2019,12,0.044860987253069244,0.31733024403130394
continued-control-eval,2020,12,0.04611429731825067,0.31397611600785347
continued-control-eval,2021,13,0.046638049989952406,0.3385706266905434
continued-control-eval,2022,11,0.04776876821135143,0.3246716929895346
field-specialization-eval,2014,2,0.03129225862775567,0.6485743838716812
field-specialization-eval,2015,13,0.03451513382180862,0.5780701042995697
field-specialization-eval,2016,12,0.035719910340793665,0.5417286400366823
field-specialization-eval,2017,12,0.03509673329860174,0.5703464348405152
field-specialization-eval,2018,12,0.03708689505697457,0.5355234110587739
field-specialization-eval,2019,12,0.03807722642181223,0.5081829028107048
field-specialization-eval,2020,12,0.03971255791332886,0.49122733745737945
field-specialization-eval,2021,13,0.041038496279318944,0.4878636658021054
field-specialization-eval,2022,11,0.0421705181507259,0.47368621693359214
