index,date,members,mean_mse,sample_mse,d_mse,climatology_mse,crps,d_mae,spread_variance,coverage90,anomaly_correlation,mean_anomaly_m2,sample_anomaly_m2,truth_anomaly_m2,run,climatology_mae,fair_crps,coverage_minmax,calibrated_minmax_reference,calibrated_spread_rmse_reference,specialist_mse,specialist_mae
0,2014-11-04 12:00:00,16,0.001126477364211,0.0013532782322381,0.0016638382681922,0.0027990015324046,0.0178208015650306,0.0288574486700405,0.0002268008533898,0.4142610132694244,0.7740794818207164,0.0014587133905575,0.0016855142585846,0.0027990015324046,diffusion,0.03432235652107516,0.017426052943064013,0.4994594178245393,0.8823529411764706,0.9393364366277243,0.0009872940136205115,0.02138127736408698
6,2014-12-04 12:00:00,16,0.0010312612768473,0.00126113668368,0.0015911415147797,0.0027737593065109,0.0168550458205837,0.0280336631466693,0.0002298753775579,0.4409534633159637,0.7931872099444668,0.0015571315370175,0.0017870070609487,0.0027737593065109,diffusion,0.034267037115093796,0.016457999033542538,0.5235299858900362,0.8823529411764706,0.9393364366277243,0.0009711168517701384,0.020777662961601193
12,2015-01-03 12:00:00,16,0.0010945990479515,0.0013272266213573,0.0015966525225418,0.0028068668059606,0.0174206890187563,0.0282986479831743,0.0002326276465923,0.4232484698295593,0.7823338359439779,0.0014875490188096,0.0017201767093139,0.0028068668059606,diffusion,0.03450630690144569,0.017021552557339024,0.5062928766852224,0.8823529411764706,0.9393364366277243,0.0010281044258178833,0.021436424830480947
18,2015-02-02 12:00:00,16,0.0011154273621399,0.0013470747038142,0.001640906044851,0.0027541982325325,0.0173138071428222,0.0287269284273441,0.0002316473709489,0.4287277162075043,0.7731622423905802,0.0013961807888937,0.0016278280134695,0.0027541982325325,diffusion,0.03405753895932414,0.016915625271304108,0.5123907011638948,0.8823529411764706,0.9393364366277243,0.0010827554878091407,0.02169907796087913
24,2015-03-04 12:00:00,16,0.0012145666013012,0.0014522294111723,0.0017716911597047,0.0027605824439765,0.0185733919471116,0.0295712097818796,0.0002376627659592,0.4148958623409271,0.7495661193201849,0.0013474515268594,0.0015851142196321,0.0027605824439765,diffusion,0.03413349504341151,0.018175448300509493,0.49951876802509787,0.8823529411764706,0.9393364366277243,0.0011083875842488673,0.02207757160698987
30,2015-04-03 12:00:00,16,0.0012149465860065,0.0014439589767286,0.0017515676615229,0.0027925842991772,0.0188048881066589,0.0297922678093143,0.0002290123760848,0.3841655552387237,0.7530254521797611,0.0013727027693393,0.00160171527716,0.0027925842991772,diffusion,0.03408696204193903,0.01841045514202869,0.46807280461246137,0.8823529411764706,0.9393364366277243,0.0010836011116539474,0.021656104230601974
36,2015-05-03 12:00:00,16,0.0011778349025817,0.001408105165632,0.0017331247613354,0.0028034023290753,0.0181614080400051,0.0295977317784068,0.0002302702923249,0.3869307935237884,0.7623848617222854,0.0014376542751814,0.0016679244211331,0.0028034023290753,diffusion,0.034130883431165715,0.01776846399851482,0.4707501544098136,0.8823529411764706,0.9393364366277243,0.0010969817012410124,0.021793071046149776
42,2015-06-02 12:00:00,16,0.0011975074543534,0.0014333896640922,0.0016812073749289,0.0027786994589761,0.0180375083893294,0.0287223103926863,0.000235882224376,0.4001440107822418,0.7555295789352536,0.0014060965746764,0.0016419787844151,0.0027786994589761,diffusion,0.034031773723693995,0.017643576341743267,0.4844107611083359,0.8823529411764706,0.9393364366277243,0.0011271247781352164,0.022203626306888647
48,2015-07-02 12:00:00,16,0.0012019912738766,0.0014367232248294,0.0017203515374079,0.0027906643518031,0.0179490616654789,0.0288470713015418,0.000234732009502,0.4283789396286011,0.7548062737845641,0.0014226758518791,0.0016574078028318,0.0027906643518031,diffusion,0.03412569828009785,0.017550014031296707,0.5138519255799565,0.8823529411764706,0.9393364366277243,0.0011461377568741501,0.022156495829280757
54,2015-08-01 12:00:00,16,0.0011408106917531,0.0013754193379617,0.0016210898131921,0.0027324525685192,0.0173663187937808,0.0281161272964451,0.0002346086022966,0.4519523382186889,0.7634942535168596,0.0014288127512437,0.0016634212803538,0.0027324525685192,diffusion,0.033580184129216026,0.016965328154907935,0.535378185112279,0.8823529411764706,0.9393364366277243,0.0011024869693064645,0.021894350608426892
