index,date,members,mean_mse,sample_mse,d_mse,climatology_mse,crps,d_mae,spread_variance,coverage90,anomaly_correlation,mean_anomaly_m2,sample_anomaly_m2,truth_anomaly_m2
0,2014-11-04 12:00:00,16,0.0011264773642110113,0.0013532782322381403,0.0016638382681922663,0.0027990015324046097,0.01782080156503063,0.028857448670040586,0.0002268008533898137,0.41426101326942444,0.7740794818207164,0.0014587133905575366,0.0016855142585846656,0.0027990015324046097
6,2014-12-04 12:00:00,16,0.0010312612768473993,0.0012611366836800043,0.0015911415147797465,0.0027737593065109627,0.016855045820583725,0.02803366314666933,0.00022987537755797427,0.44095346331596375,0.7931872099444668,0.0015571315370175736,0.001787007060948701,0.0027737593065109627
12,2015-01-03 12:00:00,16,0.001094599047951538,0.001327226621357311,0.0015966525225418623,0.0028068668059606046,0.017420689018756375,0.028298647983174385,0.00023262764659234944,0.4232484698295593,0.7823338359439779,0.0014875490188096406,0.0017201767093139358,0.0028068668059606046
18,2015-02-02 12:00:00,16,0.001115427362139914,0.0013470747038142488,0.0016409060448510117,0.0027541982325325525,0.01731380714282227,0.028726928427344145,0.00023164737094896542,0.4287277162075043,0.7731622423905802,0.0013961807888937716,0.001627828013469584,0.0027541982325325525
24,2015-03-04 12:00:00,16,0.0012145666013012048,0.0014522294111723746,0.0017716911597047103,0.002760582443976586,0.018573391947111606,0.02957120978187966,0.00023766276595922397,0.4148958623409271,0.7495661193201849,0.0013474515268594963,0.0015851142196321437,0.002760582443976586
30,2015-04-03 12:00:00,16,0.0012149465860065586,0.001443958976728699,0.0017515676615229676,0.002792584299177245,0.018804888106658924,0.02979226780931432,0.00022901237608482502,0.38416555523872375,0.7530254521797611,0.0013727027693393723,0.0016017152771600352,0.002792584299177245
36,2015-05-03 12:00:00,16,0.0011778349025817012,0.0014081051656320111,0.001733124761335443,0.0028034023290753668,0.0181614080400051,0.029597731778406855,0.0002302702923249406,0.38693079352378845,0.7623848617222854,0.0014376542751814096,0.0016679244211331972,0.0028034023290753668
42,2015-06-02 12:00:00,16,0.0011975074543534847,0.0014333896640922634,0.0016812073749289144,0.002778699458976129,0.018037508389329493,0.028722310392686357,0.00023588222437609388,0.4001440107822418,0.7555295789352536,0.0014060965746764075,0.0016419787844151861,0.002778699458976129
48,2015-07-02 12:00:00,16,0.0012019912738766595,0.001436723224829401,0.0017203515374079553,0.002790664351803137,0.017949061665478938,0.02884707130154185,0.00023473200950200273,0.4283789396286011,0.7548062737845641,0.001422675851879123,0.0016574078028318646,0.002790664351803137
54,2015-08-01 12:00:00,16,0.0011408106917531148,0.0013754193379617154,0.0016210898131921807,0.002732452568519295,0.01736631879378081,0.028116127296445192,0.00023460860229665458,0.45195233821868896,0.7634942535168596,0.00142881275124374,0.0016634212803538178,0.002732452568519295
