run,field,lag_cells,covariance,structure_function
deterministic,D,1,0.001156668363185795,0.0007663383619281353
deterministic,D,3,0.0006377900428604879,0.001742720581998191
deterministic,D,9,0.00044214730321620306,0.002031419664280678
deterministic,D,18,0.0003016348034791606,0.0022879202656034625
deterministic,mean,1,0.0009466948293335899,0.0007958600938379636
deterministic,mean,3,0.0004541698448121848,0.0017233062328056194
deterministic,mean,9,0.000358052618225397,0.0017977806785923222
deterministic,mean,18,0.00024285113210289593,0.001970867672963062
deterministic,sample0,1,0.0009466948293335899,0.0007958600938379636
deterministic,sample0,3,0.0004541698448121848,0.0017233062328056194
deterministic,sample0,9,0.000358052618225397,0.0017977806785923222
deterministic,sample0,18,0.00024285113210289593,0.001970867672963062
deterministic,specialist,1,0.0010030925676686071,0.0006854551319220546
deterministic,specialist,3,0.0005330472531100728,0.0015673310942517932
deterministic,specialist,9,0.00041220084055403636,0.0016727437567055515
deterministic,specialist,18,0.0002802982158704555,0.0018707549736917666
deterministic,truth,1,0.002426409403672219,0.0010466304473102676
deterministic,truth,3,0.001659442938198097,0.00238091479918381
deterministic,truth,9,0.0011840485747553746,0.002996503626084435
deterministic,truth,18,0.0007501235783386051,0.003636208348523026
diffusion,D,1,0.001156668363185795,0.0007663383619281353
diffusion,D,3,0.0006377900428604879,0.001742720581998191
diffusion,D,9,0.00044214730321620306,0.002031419664280678
diffusion,D,18,0.0003016348034791606,0.0022879202656034625
diffusion,mean,1,0.0009735057392797283,0.0007235044438504788
diffusion,mean,3,0.0004970721036271303,0.001621690718852987
diffusion,mean,9,0.00039900351280808483,0.0016953410128715788
diffusion,mean,18,0.00027016433353946974,0.0018952071446279644
diffusion,sample0,1,0.0010788302409174898,0.000950049832112093
diffusion,sample0,3,0.0005353123715210858,0.001959977171526913
diffusion,sample0,9,0.00041354704400770406,0.002060372247389379
diffusion,sample0,18,0.000275733365521599,0.002259335699007791
diffusion,specialist,1,0.0010030925676686071,0.0006854551319220546
diffusion,specialist,3,0.0005330472531100728,0.0015673310942517932
diffusion,specialist,9,0.00041220084055403636,0.0016727437567055515
diffusion,specialist,18,0.0002802982158704555,0.0018707549736917666
diffusion,truth,1,0.002426409403672219,0.0010466304473102676
diffusion,truth,3,0.001659442938198097,0.00238091479918381
diffusion,truth,9,0.0011840485747553746,0.002996503626084435
diffusion,truth,18,0.0007501235783386051,0.003636208348523026
