run,field,zonal_wavenumber,power
deterministic,D,0,5.22458694821568e-05
deterministic,D,1,4.862094302986041e-05
deterministic,D,2,4.153815632950583e-05
deterministic,D,3,2.171632914186909e-05
deterministic,D,4,1.915895006868262e-05
deterministic,D,5,1.5613814159300793e-05
deterministic,D,6,1.436986596044367e-05
deterministic,D,7,1.2650295504839234e-05
deterministic,D,8,1.0701506320022311e-05
deterministic,D,9,1.0047739574463971e-05
deterministic,D,10,9.492378846058116e-06
deterministic,D,11,8.229571056020725e-06
deterministic,D,12,7.762335993350727e-06
deterministic,D,13,6.88823585580216e-06
deterministic,D,14,6.7409092982842e-06
deterministic,D,15,5.868357497294924e-06
deterministic,D,16,6.228901295668097e-06
deterministic,D,17,5.801857974544736e-06
deterministic,D,18,5.732076940043006e-06
deterministic,D,19,5.3910663589654465e-06
deterministic,D,20,4.941498524673203e-06
deterministic,D,21,5.25684439729366e-06
deterministic,D,22,4.7525618391168315e-06
deterministic,D,23,4.74912094292736e-06
deterministic,D,24,4.307751241416142e-06
deterministic,D,25,4.0418537259999215e-06
deterministic,D,26,4.199878791926013e-06
deterministic,D,27,3.9314552614552605e-06
deterministic,D,28,4.078776807601647e-06
deterministic,D,29,3.770242906855281e-06
deterministic,D,30,3.705547114417881e-06
deterministic,D,31,3.4992006074374363e-06
deterministic,D,32,3.5839235848185207e-06
deterministic,D,33,3.5598297396402046e-06
deterministic,D,34,3.437720379554464e-06
deterministic,D,35,3.269799462381354e-06
deterministic,D,36,3.3669980002679894e-06
deterministic,D,37,3.454409861155451e-06
deterministic,D,38,3.2582233090023236e-06
deterministic,D,39,3.2409192791511474e-06
deterministic,D,40,3.0595802887395173e-06
deterministic,D,41,3.0318519568075954e-06
deterministic,D,42,2.8968808184618513e-06
deterministic,D,43,2.840128695782523e-06
deterministic,D,44,2.944873928860547e-06
deterministic,D,45,2.7617894538605323e-06
deterministic,D,46,2.8537343501452875e-06
deterministic,D,47,2.825005013497904e-06
deterministic,D,48,2.7664778981407826e-06
deterministic,D,49,2.7639139976883555e-06
deterministic,D,50,2.7010586774270886e-06
deterministic,D,51,2.643879307639105e-06
deterministic,D,52,2.506273145669545e-06
deterministic,D,53,2.5506211455226466e-06
deterministic,D,54,2.6035715576234772e-06
deterministic,D,55,2.5848017184385923e-06
deterministic,D,56,2.44276489116653e-06
deterministic,D,57,2.3654230449970882e-06
deterministic,D,58,2.4959815737815178e-06
deterministic,D,59,2.392902104145941e-06
deterministic,D,60,2.375656085694685e-06
deterministic,D,61,2.285840918163824e-06
deterministic,D,62,2.4177537194169222e-06
deterministic,D,63,2.3295831013709336e-06
deterministic,D,64,2.364336410377826e-06
deterministic,D,65,2.2408435196921278e-06
deterministic,D,66,2.2806698237614516e-06
deterministic,D,67,2.270160847583046e-06
deterministic,D,68,2.108268808163125e-06
deterministic,D,69,2.1112564402482624e-06
deterministic,D,70,2.108433051246659e-06
deterministic,D,71,2.098691850953282e-06
deterministic,D,72,2.0080225725225497e-06
deterministic,D,73,2.0227188469357597e-06
deterministic,D,74,1.9842502438931173e-06
deterministic,D,75,1.8995375004095701e-06
deterministic,D,76,1.8304836968661658e-06
deterministic,D,77,1.8486083573729053e-06
deterministic,D,78,1.762205459997598e-06
deterministic,D,79,1.7502809997775693e-06
deterministic,D,80,1.7937231175294682e-06
deterministic,D,81,1.7132991501827627e-06
deterministic,D,82,1.6833557650032177e-06
deterministic,D,83,1.5829210592213701e-06
deterministic,D,84,1.5283516408207226e-06
deterministic,D,85,1.5666525032044339e-06
deterministic,D,86,1.5077269958783153e-06
deterministic,D,87,1.5367516652062669e-06
deterministic,D,88,1.4444444432623914e-06
deterministic,D,89,1.4538037281831767e-06
deterministic,D,90,1.437263418080949e-06
deterministic,D,91,1.3462944159674009e-06
deterministic,D,92,1.3592937035294936e-06
deterministic,D,93,1.3242883258235639e-06
deterministic,D,94,1.2463592526800828e-06
deterministic,D,95,1.2227827638226875e-06
deterministic,D,96,1.1298441595316487e-06
deterministic,D,97,1.1470858997959067e-06
deterministic,D,98,1.1181835507384454e-06
deterministic,D,99,1.0704226869882658e-06
deterministic,D,100,1.0654939221685686e-06
deterministic,D,101,1.0285039933874568e-06
deterministic,D,102,1.0049884743183908e-06
deterministic,D,103,9.667491760885438e-07
deterministic,D,104,9.384089880157382e-07
deterministic,D,105,9.087260029264676e-07
deterministic,D,106,8.873922673980235e-07
deterministic,D,107,8.419233415711682e-07
deterministic,D,108,7.921507048033418e-07
deterministic,D,109,7.845196728463646e-07
deterministic,D,110,7.489209890469493e-07
deterministic,D,111,7.387590348699696e-07
deterministic,D,112,7.191496496398956e-07
deterministic,D,113,7.394687452198614e-07
deterministic,D,114,6.888347832643876e-07
deterministic,D,115,6.964904818997022e-07
deterministic,D,116,6.417299149290013e-07
deterministic,D,117,6.455495095905273e-07
deterministic,D,118,6.30469952912462e-07
deterministic,D,119,6.283042848312525e-07
deterministic,D,120,5.557433703210708e-07
deterministic,D,121,5.553373520201958e-07
deterministic,D,122,5.436504007465689e-07
deterministic,D,123,5.043092800054534e-07
deterministic,D,124,5.280990699684e-07
deterministic,D,125,5.029931251443001e-07
deterministic,D,126,4.844770391469911e-07
deterministic,D,127,4.685591176526456e-07
deterministic,D,128,4.798849846693776e-07
deterministic,D,129,4.601582313132667e-07
deterministic,D,130,4.447282469807477e-07
deterministic,D,131,4.275457860406728e-07
deterministic,D,132,4.237176741292215e-07
deterministic,D,133,4.069663275625284e-07
deterministic,D,134,4.1546471738015855e-07
deterministic,D,135,4.0300130058233965e-07
deterministic,D,136,3.953989996330073e-07
deterministic,D,137,3.923563010000226e-07
deterministic,D,138,4.035965741806503e-07
deterministic,D,139,3.787302783695788e-07
deterministic,D,140,3.558113545495813e-07
deterministic,D,141,3.736576166173812e-07
deterministic,D,142,3.565454711244637e-07
deterministic,D,143,3.3645914398918895e-07
deterministic,D,144,3.52587492397922e-07
deterministic,D,145,3.243281619683662e-07
deterministic,D,146,3.3428179556112375e-07
deterministic,D,147,3.2460915162223547e-07
deterministic,D,148,3.1607312532498447e-07
deterministic,D,149,3.152812124308402e-07
deterministic,D,150,3.0068793080661183e-07
deterministic,D,151,2.969080664670037e-07
deterministic,D,152,3.0044060188262063e-07
deterministic,D,153,2.928499478102824e-07
deterministic,D,154,2.845170731595991e-07
deterministic,D,155,2.7607573554336746e-07
deterministic,D,156,2.9339406238399865e-07
deterministic,D,157,2.9482410978743785e-07
deterministic,D,158,2.890896884903826e-07
deterministic,D,159,2.879460136761333e-07
deterministic,D,160,2.7409906188489075e-07
deterministic,D,161,2.6841539263766364e-07
deterministic,D,162,2.815477143142527e-07
deterministic,D,163,2.5970310987174744e-07
deterministic,D,164,2.815862362930587e-07
deterministic,D,165,2.8183115564714623e-07
deterministic,D,166,2.833688190357963e-07
deterministic,D,167,2.6958329669789353e-07
deterministic,D,168,2.5857074579377863e-07
deterministic,D,169,2.570840127319602e-07
deterministic,D,170,2.71586990709606e-07
deterministic,D,171,2.6754559173944656e-07
deterministic,D,172,2.530604804995686e-07
deterministic,D,173,2.590549865993971e-07
deterministic,D,174,2.565161251043742e-07
deterministic,D,175,2.675912514990996e-07
deterministic,D,176,2.576634280294946e-07
deterministic,D,177,2.533756162618852e-07
deterministic,D,178,2.4994328079269844e-07
deterministic,D,179,2.4720336376348105e-07
deterministic,D,180,2.685570387843601e-07
deterministic,mean,0,4.190016218002179e-05
deterministic,mean,1,3.865794269373686e-05
deterministic,mean,2,3.286080298259019e-05
deterministic,mean,3,1.833136909337725e-05
deterministic,mean,4,1.4441103153092721e-05
deterministic,mean,5,1.1500929194660758e-05
deterministic,mean,6,1.1028185283320177e-05
deterministic,mean,7,1.0344096793955246e-05
deterministic,mean,8,7.741741875287374e-06
deterministic,mean,9,7.467401462438537e-06
deterministic,mean,10,7.3719884158766875e-06
deterministic,mean,11,6.60837220515487e-06
deterministic,mean,12,5.504436099245098e-06
deterministic,mean,13,5.370148965878519e-06
deterministic,mean,14,5.0720251646420596e-06
deterministic,mean,15,4.648561718795041e-06
deterministic,mean,16,4.421188854722039e-06
deterministic,mean,17,4.124968225607676e-06
deterministic,mean,18,4.380688787533153e-06
deterministic,mean,19,4.260836191778593e-06
deterministic,mean,20,4.0225202962381975e-06
deterministic,mean,21,3.97470998017292e-06
deterministic,mean,22,3.905849806366189e-06
deterministic,mean,23,3.935535720415105e-06
deterministic,mean,24,3.655161725230447e-06
deterministic,mean,25,3.4453435955326183e-06
deterministic,mean,26,3.5830453161015824e-06
deterministic,mean,27,3.426527590875427e-06
deterministic,mean,28,3.3671405326510392e-06
deterministic,mean,29,3.2625035190010705e-06
deterministic,mean,30,3.385559386642562e-06
deterministic,mean,31,3.1319738757794686e-06
deterministic,mean,32,3.2416680671876535e-06
deterministic,mean,33,3.146928284976985e-06
deterministic,mean,34,3.094755319754279e-06
deterministic,mean,35,2.995641139688975e-06
deterministic,mean,36,3.0136825425291597e-06
deterministic,mean,37,3.0955960050198204e-06
deterministic,mean,38,3.027271988705952e-06
deterministic,mean,39,2.995016421524758e-06
deterministic,mean,40,2.818385478894693e-06
deterministic,mean,41,2.9680781904735735e-06
deterministic,mean,42,2.746696509770209e-06
deterministic,mean,43,2.832179337429911e-06
deterministic,mean,44,2.7542188109680406e-06
deterministic,mean,45,2.686892270373879e-06
deterministic,mean,46,2.8055304025562385e-06
deterministic,mean,47,2.7737872801795943e-06
deterministic,mean,48,2.762444083865906e-06
deterministic,mean,49,2.6992852469667032e-06
deterministic,mean,50,2.6566471694013077e-06
deterministic,mean,51,2.6546900476121814e-06
deterministic,mean,52,2.5304545925213147e-06
deterministic,mean,53,2.5673776885163146e-06
deterministic,mean,54,2.605029221097352e-06
deterministic,mean,55,2.6509155268757144e-06
deterministic,mean,56,2.498085054688795e-06
deterministic,mean,57,2.4286565988239327e-06
deterministic,mean,58,2.5586740786904982e-06
deterministic,mean,59,2.5234580526504793e-06
deterministic,mean,60,2.4699705820916166e-06
deterministic,mean,61,2.40189057272104e-06
deterministic,mean,62,2.51816725333603e-06
deterministic,mean,63,2.4635962500241855e-06
deterministic,mean,64,2.433074756214762e-06
deterministic,mean,65,2.344647453905796e-06
deterministic,mean,66,2.4175275898467443e-06
deterministic,mean,67,2.3827715146752467e-06
deterministic,mean,68,2.2899019791488207e-06
deterministic,mean,69,2.259388175416488e-06
deterministic,mean,70,2.2491816215470805e-06
deterministic,mean,71,2.2148887872322614e-06
deterministic,mean,72,2.1416534359347186e-06
deterministic,mean,73,2.102168679470156e-06
deterministic,mean,74,2.072394601770076e-06
deterministic,mean,75,2.0179493238021013e-06
deterministic,mean,76,1.978765030902751e-06
deterministic,mean,77,1.9948618702132788e-06
deterministic,mean,78,1.9221819109587035e-06
deterministic,mean,79,1.909774050240348e-06
deterministic,mean,80,1.9186244456300042e-06
deterministic,mean,81,1.8404157839793587e-06
deterministic,mean,82,1.7319626339523007e-06
deterministic,mean,83,1.6787015430648549e-06
deterministic,mean,84,1.6455371383897292e-06
deterministic,mean,85,1.68048427706638e-06
deterministic,mean,86,1.6172950237505034e-06
deterministic,mean,87,1.6052081847749845e-06
deterministic,mean,88,1.5685509099471205e-06
deterministic,mean,89,1.5995198466868271e-06
deterministic,mean,90,1.5503130291689426e-06
deterministic,mean,91,1.4426714581989873e-06
deterministic,mean,92,1.4266832846029443e-06
