model,mode,region,lead_days,variable,normalized_rmse,levels,origins
ar,climatology,extratropics,5,so,0.0777864057377242,19,99
ar,climatology,extratropics,5,sst,0.07311200015655696,1,99
ar,climatology,extratropics,5,thetao,0.09191245807182817,18,99
ar,climatology,extratropics,5,uo,0.6899944050188863,19,99
ar,climatology,extratropics,5,vo,0.8581522497249952,19,99
ar,climatology,extratropics,5,zos,0.09039623453279517,1,99
ar,climatology,extratropics,10,so,0.07766487132575801,19,99
ar,climatology,extratropics,10,sst,0.07325496879953892,1,99
ar,climatology,extratropics,10,thetao,0.09190867208852849,18,99
ar,climatology,extratropics,10,uo,0.6897988226947476,19,99
ar,climatology,extratropics,10,vo,0.8585551809568069,19,99
ar,climatology,extratropics,10,zos,0.09025192833132181,1,99
ar,climatology,extratropics,15,so,0.07770432870522445,19,99
ar,climatology,extratropics,15,sst,0.07180806235736377,1,99
ar,climatology,extratropics,15,thetao,0.09176994969044584,18,99
ar,climatology,extratropics,15,uo,0.6900037526400353,19,99
ar,climatology,extratropics,15,vo,0.8574451772196329,19,99
ar,climatology,extratropics,15,zos,0.0904180735551498,1,99
ar,climatology,extratropics,20,so,0.07776024654812437,19,99
ar,climatology,extratropics,20,sst,0.07122408178494277,1,99
ar,climatology,extratropics,20,thetao,0.09170368607102192,18,99
ar,climatology,extratropics,20,uo,0.6903955443627035,19,99
ar,climatology,extratropics,20,vo,0.8567836422639872,19,99
ar,climatology,extratropics,20,zos,0.09022469200265096,1,99
ar,climatology,extratropics,25,so,0.07788612680775185,19,99
ar,climatology,extratropics,25,sst,0.07256555177331624,1,99
ar,climatology,extratropics,25,thetao,0.09187591139780336,18,99
ar,climatology,extratropics,25,uo,0.6903614915552616,19,99
ar,climatology,extratropics,25,vo,0.8563977976772311,19,99
ar,climatology,extratropics,25,zos,0.0904836876549467,1,99
ar,climatology,extratropics,30,so,0.07797176264748669,19,99
ar,climatology,extratropics,30,sst,0.07314194176830574,1,99
ar,climatology,extratropics,30,thetao,0.09198532301325942,18,99
ar,climatology,extratropics,30,uo,0.69013791069662,19,99
ar,climatology,extratropics,30,vo,0.8576966647899718,19,99
ar,climatology,extratropics,30,zos,0.09054624057807538,1,99
ar,climatology,global,5,so,0.07644210414477337,19,99
ar,climatology,global,5,sst,0.06835929325643829,1,99
ar,climatology,global,5,thetao,0.0844336950362575,18,99
ar,climatology,global,5,uo,0.6853895740507499,19,99
ar,climatology,global,5,vo,0.7899205729045795,19,99
ar,climatology,global,5,zos,0.08262124930873885,1,99
ar,climatology,global,10,so,0.07633027615099028,19,99
ar,climatology,global,10,sst,0.0681091770773959,1,99
ar,climatology,global,10,thetao,0.08436965259178023,18,99
ar,climatology,global,10,uo,0.6853624611495056,19,99
ar,climatology,global,10,vo,0.7901112800972054,19,99
ar,climatology,global,10,zos,0.08244427799102488,1,99
ar,climatology,global,15,so,0.0763561028604226,19,99
ar,climatology,global,15,sst,0.06705864384902022,1,99
ar,climatology,global,15,thetao,0.08428514810386635,18,99
ar,climatology,global,15,uo,0.6858246103837411,19,99
ar,climatology,global,15,vo,0.7888379893271225,19,99
ar,climatology,global,15,zos,0.08261114880742833,1,99
ar,climatology,global,20,so,0.07631692699833953,19,99
ar,climatology,global,20,sst,0.06662947637494432,1,99
ar,climatology,global,20,thetao,0.08419681250356019,18,99
ar,climatology,global,20,uo,0.6831585719331482,19,99
ar,climatology,global,20,vo,0.7877653033577998,19,99
ar,climatology,global,20,zos,0.08233251201809438,1,99
ar,climatology,global,25,so,0.0764453833852514,19,99
ar,climatology,global,25,sst,0.06762060417917864,1,99
ar,climatology,global,25,thetao,0.08435892546004878,18,99
ar,climatology,global,25,uo,0.6831993674824403,19,99
ar,climatology,global,25,vo,0.7875128134702445,19,99
ar,climatology,global,25,zos,0.08261238043577743,1,99
ar,climatology,global,30,so,0.07662199478358388,19,99
ar,climatology,global,30,sst,0.06844550905111267,1,99
ar,climatology,global,30,thetao,0.08454231653536613,18,99
ar,climatology,global,30,uo,0.6845750382517554,19,99
ar,climatology,global,30,vo,0.789518487959805,19,99
ar,climatology,global,30,zos,0.08275047973550655,1,99
ar,climatology,tropics,5,so,0.07461797863422093,19,99
ar,climatology,tropics,5,sst,0.059226151912158166,1,99
ar,climatology,tropics,5,thetao,0.07086486419218768,18,99
ar,climatology,tropics,5,uo,0.6830241430189998,19,99
ar,climatology,tropics,5,vo,0.6655967962814003,19,99
ar,climatology,tropics,5,zos,0.06704439653399763,1,99
ar,climatology,tropics,10,so,0.07452491452476968,19,99
ar,climatology,tropics,10,sst,0.05812214363678443,1,99
ar,climatology,tropics,10,thetao,0.0706667521886007,18,99
ar,climatology,tropics,10,uo,0.6833509510200916,19,99
ar,climatology,tropics,10,vo,0.6653111614134519,19,99
ar,climatology,tropics,10,zos,0.06678541012579786,1,99
ar,climatology,tropics,15,so,0.07452659679430838,19,99
ar,climatology,tropics,15,sst,0.057912421704860405,1,99
ar,climatology,tropics,15,thetao,0.0707037509530242,18,99
ar,climatology,tropics,15,uo,0.6842934811792902,19,99
ar,climatology,tropics,15,vo,0.6636689144640557,19,99
ar,climatology,tropics,15,zos,0.0669592871105956,1,99
ar,climatology,tropics,20,so,0.07431641037288808,19,99
ar,climatology,tropics,20,sst,0.057808302472422954,1,99
ar,climatology,tropics,20,thetao,0.07056615930989106,18,99
ar,climatology,tropics,20,uo,0.676365328089799,19,99
ar,climatology,tropics,20,vo,0.6616603369232852,19,99
ar,climatology,tropics,20,zos,0.06647163566034078,1,99
ar,climatology,tropics,25,so,0.0744494187231777,19,99
ar,climatology,tropics,25,sst,0.05806178366144246,1,99
