split,mode,channel,normalized_rmse,physical_rmse
validation,inferred,uo_0,0.31813157,0.04038506
validation,inferred,uo_1,0.30993783,0.03567678
validation,inferred,uo_2,0.3005951,0.031879462
validation,inferred,uo_3,0.3000858,0.03036076
validation,inferred,uo_4,0.29756412,0.030809479
validation,inferred,uo_5,0.301809,0.030280534
validation,inferred,uo_6,0.30796558,0.02636164
validation,inferred,uo_7,0.35478222,0.023727665
validation,inferred,uo_8,0.38000095,0.021969952
validation,inferred,uo_9,0.39426437,0.02006304
validation,inferred,uo_10,0.4107694,0.017769225
validation,inferred,uo_11,0.43196866,0.015216973
validation,inferred,uo_12,0.45448148,0.012633651
validation,inferred,uo_13,0.4790578,0.010460807
validation,inferred,uo_14,0.5026071,0.008619879
validation,inferred,uo_15,0.55749536,0.0077489414
validation,inferred,uo_16,0.6160837,0.007574374
validation,inferred,uo_17,0.6129972,0.0076917405
validation,inferred,uo_18,0.52543694,0.006820165
validation,inferred,vo_0,0.37069923,0.032371182
validation,inferred,vo_1,0.34492955,0.029021151
validation,inferred,vo_2,0.31039032,0.024738396
validation,inferred,vo_3,0.2984763,0.022444183
validation,inferred,vo_4,0.29514652,0.021378528
validation,inferred,vo_5,0.3132787,0.021324148
validation,inferred,vo_6,0.3200131,0.019950056
validation,inferred,vo_7,0.3214439,0.018403906
validation,inferred,vo_8,0.3289977,0.017095642
validation,inferred,vo_9,0.33977756,0.015464351
validation,inferred,vo_10,0.35927305,0.013748906
validation,inferred,vo_11,0.38990864,0.01202174
validation,inferred,vo_12,0.42799276,0.010383204
validation,inferred,vo_13,0.4685161,0.008980272
validation,inferred,vo_14,0.5103094,0.007967408
validation,inferred,vo_15,0.5729595,0.0076385527
validation,inferred,vo_16,0.61615056,0.00772796
validation,inferred,vo_17,0.6167731,0.007901386
validation,inferred,vo_18,0.55279356,0.0066913436
validation,inferred,thetao_0,0.0,0.0
validation,inferred,thetao_1,0.027259069,0.31679922
validation,inferred,thetao_2,0.042141423,0.48531437
validation,inferred,thetao_3,0.05561465,0.6246013
