model,mode,region,lead_days,predicted_mean_component_second_moment,target_mean_component_second_moment,second_moment_ratio,rms_amplitude_ratio,levels,origins
ar,inferred,global,5,0.004149623007657895,0.004523890232105263,0.9172687211128027,0.9577414688279936,19,99
ar,true,global,5,0.0043298282152105265,0.004523890303421052,0.9571028307066215,0.9783163244608676,19,99
ar,inferred_persistence,global,5,0.004216984305473684,0.004523890305789474,0.9321588324272528,0.9654837297579141,19,99
ar,climatology,global,5,0.002636752691894737,0.004523890303421052,0.5828507136657964,0.7634466017121279,19,99
ar,inferred,global,10,0.004132074559315789,0.004546820495526315,0.9087833054727801,0.9533012668998085,19,99
ar,true,global,10,0.0042685023831842105,0.004546820457105263,0.9387884178522755,0.9689109442318605,19,99
ar,inferred_persistence,global,10,0.004216984305473684,0.0045468205536842105,0.9274578258991845,0.9630461182618331,19,99
ar,climatology,global,10,0.0026317728095789474,0.004546820457105263,0.5788160835482973,0.7607996342982147,19,99
ar,inferred,global,15,0.004131564109815789,0.004546404415,0.9087542006127911,0.9532860014774114,19,99
ar,true,global,15,0.004246745100394737,0.004546404345,0.9340887387337601,0.9664826634419058,19,99
ar,inferred_persistence,global,15,0.004216984305473684,0.004546404459473684,0.9275427083233735,0.9630901870143697,19,99
ar,climatology,global,15,0.002631772799605263,0.004546404345,0.5788690578082014,0.7608344483579864,19,99
ar,inferred,global,20,0.004130848250894737,0.004543696308157895,0.9091382809801972,0.9534874309502969,19,99
ar,true,global,20,0.004234288624447369,0.0045436962526315796,0.9319039805961918,0.9653517393138067,19,99
ar,inferred_persistence,global,20,0.004216984305473684,0.004543696220789473,0.9280955637348874,0.9633771658778754,19,99
ar,climatology,global,20,0.0026317728801315793,0.0045436962526315796,0.5792140877831196,0.7610611590293644,19,99
ar,inferred,global,25,0.004129273042342106,0.004537481600789473,0.9100363165381554,0.9539582362651708,19,99
ar,true,global,25,0.004227605945263157,0.004537481590789473,0.9317075696449492,0.9652500037010874,19,99
ar,inferred_persistence,global,25,0.004216984290736842,0.004537481600789473,0.9293666975978772,0.9640366681811834,19,99
ar,climatology,global,25,0.0026315290441842106,0.004537481590789473,0.5799536574486361,0.7615468846030664,19,99
ar,inferred,global,30,0.004131316957263158,0.004534082273684211,0.9111693850906278,0.9545519289649086,19,99
ar,true,global,30,0.0042258561331578945,0.004534082373421053,0.932020149860975,0.9654119068361313,19,99
ar,inferred_persistence,global,30,0.004216984290736842,0.004534082273684211,0.9300634695607966,0.9643979829721735,19,99
ar,climatology,global,30,0.002636349682210526,0.004534082373421053,0.5814516510914973,0.7625297706263653,19,99
ar,inferred,tropics,5,0.005914041175736842,0.0065325211153947375,0.9053229329484498,0.9514845941729428,19,99
ar,true,tropics,5,0.006171086298789474,0.006532521045657895,0.9446714760898224,0.9719421156065944,19,99
ar,inferred_persistence,tropics,5,0.006035478609578947,0.0065325211153947375,0.923912606322168,0.9612037277924842,19,99
ar,climatology,tropics,5,0.004146633100184211,0.006532521045657895,0.634767660326244,0.7967230763108623,19,99
ar,inferred,tropics,10,0.005881992605736842,0.006590176349052632,0.8925394851660389,0.9447430789193636,19,99
ar,true,tropics,10,0.006056830651289474,0.006590176326210527,0.9190695895647247,0.9586811720090912,19,99
ar,inferred_persistence,tropics,10,0.006035478609578947,0.006590176349052632,0.9158296060539525,0.9569898672681715,19,99
ar,climatology,tropics,10,0.004132755066736843,0.006590176326210527,0.6271084204985533,0.7919017745267106,19,99
ar,inferred,tropics,15,0.005879918229815789,0.006606992144157895,0.8899538703122257,0.9433736642032285,19,99
ar,true,tropics,15,0.006014399575763158,0.006606992164026316,0.9103082653117556,0.9541007626617618,19,99
ar,inferred_persistence,tropics,15,0.006035478609578947,0.006606992144157895,0.9134986810776977,0.9557712493466717,19,99
ar,climatology,tropics,15,0.004132755084473684,0.006606992164026316,0.6255123332786237,0.7908933766814739,19,99
ar,inferred,tropics,20,0.005868704090394737,0.006590651329157894,0.8904588935589463,0.9436412949627344,19,99
ar,true,tropics,20,0.005981215456947369,0.00659065121381579,0.9075302671774105,0.95264383017863,19,99
ar,inferred_persistence,tropics,20,0.006035478609578947,0.006590651329157894,0.915763603344818,0.9569553821076602,19,99
ar,climatology,tropics,20,0.004132755103657895,0.00659065121381579,0.6270632399715708,0.7918732474149955,19,99
ar,inferred,tropics,25,0.005856002187921053,0.00657904164268421,0.8900995777147624,0.9434508878128011,19,99
ar,true,tropics,25,0.005957723590763158,0.0065790414475,0.9055610362550705,0.9516097079449486,19,99
ar,inferred_persistence,tropics,25,0.006035478609578947,0.006579041613131578,0.9173796070133232,0.9577993563441788,19,99
ar,climatology,tropics,25,0.004132092236973684,0.006579041533868421,0.628069030375014,0.7925080632870647,19,99
ar,inferred,tropics,30,0.005854384627,0.006557430108921053,0.8927864315374715,0.9448737648688694,19,99
ar,true,tropics,30,0.005949385893973685,0.006557430159447368,0.9072740005324087,0.9525093178192058,19,99
ar,inferred_persistence,tropics,30,0.006035478609578947,0.006557430284657895,0.9204030157514396,0.9593763681430972,19,99
ar,climatology,tropics,30,0.00414518299768421,0.0065574302769210524,0.6321352759591249,0.7950693529240861,19,99
ar,inferred,extratropics,5,0.0031369365952368423,0.0033696952363157892,0.9309259073133775,0.9648450172506347,19,99
ar,true,extratropics,5,0.0032721448615789473,0.003369695195263158,0.971050695083241,0.9854190454234386,19,99
ar,inferred_persistence,extratropics,5,0.003173179830394737,0.0033696952363157892,0.9416815491789371,0.9704027767782495,19,99
ar,climatology,extratropics,5,0.0017665805346052633,0.003369695195263158,0.5242552908312235,0.7240547567906888,19,99
ar,inferred,extratropics,10,0.0031276038221052633,0.003372561484473684,0.9273674732110485,0.9629992072743614,19,99
ar,true,extratropics,10,0.0032411972626315787,0.0033725615134210527,0.9610491164455528,0.9803311259189686,19,99
ar,inferred_persistence,extratropics,10,0.003173179830394737,0.003372561484473684,0.9408812396758833,0.9699903296816331,19,99
ar,climatology,extratropics,10,0.0017667578327631578,0.0033725615134210527,0.5238623004302143,0.723783324227779,19,99
ar,inferred,extratropics,15,0.003127916921052632,0.003362132192631579,0.9303372805827649,0.9645399320830449,19,99
ar,true,extratropics,15,0.0032313024639473685,0.0033621322373684212,0.9610872612424505,0.9803505807834514,19,99
ar,inferred_persistence,extratropics,15,0.003173179830394737,0.003362132192631579,0.943799841466392,0.9714936137033491,19,99
ar,climatology,extratropics,15,0.0017667578532368424,0.0033621322373684212,0.5254873183155055,0.7249050408953613,19,99
ar,inferred,extratropics,20,0.0031332576057894737,0.0033673281407894736,0.9304877561041255,0.9646179327091766,19,99
ar,true,extratropics,20,0.003230800571315789,0.003367328156578947,0.9594552182280138,0.97951784987718,19,99
ar,inferred_persistence,extratropics,20,0.003173179830394737,0.0033673281407894736,0.9423435132314671,0.970743793815581,19,99
ar,climatology,extratropics,20,0.0017667578315526315,0.003367328156578947,0.5246764643656167,0.7243455421037784,19,99
ar,inferred,extratropics,25,0.0031381167834210527,0.0033642583460526316,0.9327811543079275,0.9658059610024818,19,99
ar,true,extratropics,25,0.003233827417631579,0.003364258273157895,0.9612304273524501,0.9804235958770322,19,99
ar,inferred_persistence,extratropics,25,0.003173179830394737,0.0033642583460526316,0.9432033761966907,0.9711865815571644,19,99
ar,climatology,extratropics,25,0.001766754246526316,0.003364258273157895,0.52515416566634,0.7246752139174762,19,99
ar,inferred,extratropics,30,0.003142272607894737,0.0033713811489473684,0.9320431209256286,0.965423803790661,19,99
ar,true,extratropics,30,0.003235864614342105,0.003371381067631579,0.9598038754531315,0.9796958076123076,19,99
ar,inferred_persistence,extratropics,30,0.003173179830394737,0.0033713811489473684,0.941210646380189,0.9701601137854458,19,99
ar,climatology,extratropics,30,0.0017667890772368423,0.003371381067631579,0.5240549916470953,0.723916425871865,19,99
direct,inferred,global,5,0.0028461252454736845,0.004523890232105263,0.6291322511044207,0.7931785745369202,19,99
direct,true,global,5,0.0028634487722368424,0.004523890303421052,0.6329615839870051,0.7955888284704639,19,99
direct,inferred_persistence,global,5,0.004233764141605263,0.004523890305789474,0.9358679931268624,0.9674027047341053,19,99
direct,climatology,global,5,0.002636752691894737,0.004523890303421052,0.5828507136657964,0.7634466017121279,19,99
