job,role,state,start_utc,end_utc,seconds,gpus,gpu_hours,exit_code
18079867,qualification-1,FAILED,2026-09-20T19:00:34,2026-09-20T19:05:42,308,4,0.3422222222222222,1:0
18079868,qualification-1,FAILED,2026-09-20T19:00:34,2026-09-20T19:05:12,278,4,0.3088888888888889,1:0
18079869,qualification-1,CANCELLED,None,2026-09-20T19:05:43,0,0,0.0,0:0
18094385,container-restore-cpu,COMPLETED,2026-09-20T20:03:02,2026-09-20T20:03:31,29,0,0.0,0:0
18096965,qualification-2,COMPLETED,2026-09-20T20:15:33,2026-09-20T20:19:15,222,4,0.24666666666666667,0:0
18096966,qualification-2,COMPLETED,2026-09-20T20:15:33,2026-09-20T20:24:10,517,4,0.5744444444444444,0:0
18096967,qualification-2,COMPLETED,2026-09-20T20:19:17,2026-09-20T20:22:54,217,4,0.2411111111111111,0:0
18097624,A,COMPLETED,2026-09-20T20:28:55,2026-09-21T00:00:43,12708,4,14.12,0:0
18097625,B,COMPLETED,2026-09-20T20:28:55,2026-09-21T00:01:01,12726,4,14.14,0:0
18097626,C,COMPLETED,2026-09-21T00:00:47,2026-09-21T03:32:35,12708,4,14.12,0:0
18097627,D,COMPLETED,2026-09-21T00:01:03,2026-09-21T03:32:53,12710,4,14.122222222222222,0:0
18097633,E,COMPLETED,2026-09-21T03:32:57,2026-09-21T07:04:37,12700,4,14.11111111111111,0:0
18160437,F,COMPLETED,2026-09-21T04:57:04,2026-09-21T08:29:07,12723,4,14.136666666666667,0:0
18160463,checkpoint-audit-cpu,COMPLETED,2026-09-21T08:29:10,2026-09-21T08:29:35,25,0,0.0,0:0
