arm,mode,region,lead_days,velocity_second_moment_ratio,velocity_normalized_rmse,ssh_physical_rmse,sst_physical_rmse,fixed_oracle_ts_rmse,fixed_oracle_rmse_gap_closed_pct
A,inferred,global,5,0.924198791737656,0.4662935375066828,0.021219643241707626,0.2963253132390299,0.019210320833072884,2.0496646764972852
A,inferred,global,10,0.91346240596762,0.48140962808336313,0.023850788972945104,0.3588924592297627,0.025075919856276524,2.643930383910112
A,inferred,global,15,0.9135886533134608,0.4979354608361645,0.026681497282586532,0.4087059219412319,0.03071652603243807,3.703979242910015
A,inferred,global,20,0.9128373754394544,0.5156520872004215,0.02851525942497626,0.4479494746507396,0.03495350292338484,4.4653847822912
A,inferred,global,25,0.9126411043705754,0.5316923574040107,0.03019437381426297,0.481393732578886,0.03884485170881658,5.311862005530428
A,inferred,global,30,0.9132416750925305,0.547386043292097,0.03189152408152439,0.5134213742165131,0.04224222808205065,6.0624616259219115
A,inferred,tropics,5,0.9137592156588611,0.5085256171799596,0.011833614647627201,0.2554026613160586,0.01952611093692313,2.346953596614505
A,inferred,tropics,10,0.8998084125985764,0.5144007304581939,0.013963513042691552,0.3074057609200135,0.02561090487847409,3.326063202558617
A,inferred,tropics,15,0.8997590614216807,0.5196288651527452,0.016143834287449303,0.3506702540554838,0.031249325973887715,4.76095030022912
A,inferred,tropics,20,0.900946131562512,0.5277506241611563,0.017838251819917144,0.3850746423873751,0.03534441770244866,5.999824328962616
A,inferred,tropics,25,0.900627788083434,0.5354447659722936,0.018983095648386832,0.41320955538497955,0.038964144024329454,7.2715955245328185
A,inferred,tropics,30,0.9041090634758538,0.5439091490497315,0.020229251196026702,0.43882908723865394,0.042145340090050255,8.494286395461065
A,inferred,extratropics,5,0.9361284904526143,0.4402059154770701,0.025085572110455652,0.3175478784470262,0.019060527263926187,1.8695931288167522
A,inferred,extratropics,10,0.9290736221861285,0.461943763672322,0.0280106230921258,0.3854849064305513,0.024807759578743357,2.2849860334884675
A,inferred,extratropics,15,0.9294640919292104,0.4861486788712976,0.031181682266234554,0.43871419791610716,0.03045964382093733,3.1800441949688723
A,inferred,extratropics,20,0.926429247827821,0.5101493654980452,0.033146565301879975,0.4805004306475687,0.03478859726988819,3.7387079404806016
A,inferred,extratropics,25,0.9263417990640774,0.5315125126900931,0.03506898013365403,0.516659096390162,0.03884760346712425,4.409432640930439
A,inferred,extratropics,30,0.9236161172277324,0.5516882063032185,0.03698386676024151,0.5518942455153563,0.042377570737944945,4.969303746606273
B,inferred,global,5,0.9158000741708324,0.4430265446629554,0.021118104746624934,0.2908675459877396,0.019210320833072884,2.149289248255721
B,inferred,global,10,0.9062730039821708,0.4616914115961634,0.023491115629763866,0.35438329857122997,0.025075919856276524,3.243108014520505
B,inferred,global,15,0.9050249376706471,0.47941286240407593,0.02622024505936545,0.4083075597885405,0.03071652603243807,4.249140515991463
B,inferred,global,20,0.9048059103420828,0.4961701854353794,0.0280299000477513,0.4483487654009261,0.03495350292338484,4.821624544564091
B,inferred,global,25,0.9051393307279632,0.511159249629715,0.029331783186987623,0.48360035359981535,0.03884485170881658,5.043092958797346
B,inferred,global,30,0.9062030735221437,0.5255183340831718,0.031044318865822644,0.5164595127830172,0.04224222808205065,4.888459201404036
B,inferred,tropics,5,0.9102365045696763,0.4805397622009397,0.011306047881733502,0.24571163161968249,0.01952611093692313,2.872689823292213
B,inferred,tropics,10,0.896561285260036,0.48791518073638895,0.013527925920567356,0.2992316405458903,0.02561090487847409,4.547567891357603
B,inferred,tropics,15,0.8924647542540882,0.4951534049372247,0.01556999339492307,0.34248016580054164,0.031249325973887715,6.29201943678784
B,inferred,tropics,20,0.8928434543008229,0.504482273107065,0.01715294294238592,0.3769526300693081,0.03534441770244866,7.460433595793401
B,inferred,tropics,25,0.8920342256460411,0.5138369383416931,0.01823272121466444,0.40414988927003676,0.038964144024329454,8.371128539594467
B,inferred,tropics,30,0.8951544567072512,0.523146803457926,0.019428184299024497,0.4295610861921774,0.042145340090050255,8.835394351324332
B,inferred,extratropics,5,0.9222915199639311,0.4201670047910757,0.02509084522233824,0.3139822668155757,0.019060527263926187,1.7854323337354665
B,inferred,extratropics,10,0.9174691543743764,0.4468254540578843,0.027652339830634462,0.3826065341967261,0.024807759578743357,2.6089772977532237
B,inferred,extratropics,15,0.9195121874837094,0.4715652713170351,0.030729747959140418,0.44185130177544824,0.03045964382093733,3.2869409106316896
B,inferred,extratropics,20,0.9185442621505882,0.4931543778274405,0.03269939917648793,0.4847848110395049,0.03478859726988819,3.607703565069909
B,inferred,extratropics,25,0.9201458130518372,0.5117623086121482,0.03413169234459131,0.5239918723576412,0.03884760346712425,3.5421306414456617
B,inferred,extratropics,30,0.9188083844634672,0.5292845518445075,0.03608394887958191,0.5605047482197978,0.042377570737944945,3.1378390010362485
C,inferred,global,5,0.915717635621427,0.45730155686412055,0.021160922256461615,0.2818553602426502,0.019210320833072884,5.582922751036933
C,inferred,global,10,0.9071933966762605,0.4731594421783813,0.02356823814137023,0.3434104736882114,0.025075919856276524,7.17089399776047
C,inferred,global,15,0.9067287462121795,0.48983712738438817,0.02623713744253851,0.39680619870714606,0.03071652603243807,9.256131241952897
C,inferred,global,20,0.9069493189543733,0.5066108945691723,0.028071951580373438,0.4363753656174024,0.03495350292338484,10.773203624362038
C,inferred,global,25,0.907880108361379,0.521640712374065,0.029415765796604407,0.4705138422073966,0.03884485170881658,12.324393352122978
C,inferred,global,30,0.9092737626866433,0.5360746459323333,0.03116357945983787,0.5029076006024457,0.04224222808205065,13.55993750146404
C,inferred,tropics,5,0.9074489287619338,0.49990828374621227,0.011405686564704936,0.24049583106318523,0.01952611093692313,6.8408411504435005
C,inferred,tropics,10,0.895649548328528,0.5054960878559758,0.013564718916420797,0.29220002426276553,0.02561090487847409,9.20819142266479
C,inferred,tropics,15,0.8929903106159275,0.5117791944836195,0.015574385507556122,0.3348569025694381,0.031249325973887715,12.192329964819912
C,inferred,tropics,20,0.8941878379644995,0.5203773523293945,0.0171310230145611,0.368759137967626,0.03534441770244866,14.40955362086467
