model,region,lead_days,variable,normalized_mse,normalized_rmse
E,extratropics,0,so,0.005650364563296311,0.0751689068917216
E,extratropics,0,sst,0.0,0.0
E,extratropics,0,thetao,0.005347102718071296,0.07312388609798645
E,extratropics,0,velocity,0.1991261367372681,0.44623551711766296
E,extratropics,0,zos,0.0,0.0
E,extratropics,5,so,0.005695405239556164,0.07546790867352933
E,extratropics,5,sst,0.0008073392423513657,0.028413715743481453
E,extratropics,5,thetao,0.005554813763964715,0.07453062299461018
E,extratropics,5,velocity,0.2844223805298709,0.5333126480122807
E,extratropics,5,zos,0.0019571017568008587,0.044239142812681834
E,extratropics,10,so,0.0058120007744055496,0.07623647928915363
E,extratropics,10,sst,0.0023422749110995596,0.04839705477712006
E,extratropics,10,thetao,0.005950241724230869,0.07713780995225927
E,extratropics,10,velocity,0.40257057170287086,0.6344844928781718
E,extratropics,10,zos,0.0032660167668992625,0.05714907494351298
E,extratropics,15,so,0.005978402487808816,0.07732012990036176
E,extratropics,15,sst,0.0043820915120474585,0.06619736786343894
E,extratropics,15,thetao,0.006448050189891824,0.08029975211600485
E,extratropics,15,velocity,0.5086702733146644,0.7132112403171058
E,extratropics,15,zos,0.004260685682917593,0.06527392804878218
E,extratropics,20,so,0.006172776529760976,0.07856701935138545
E,extratropics,20,sst,0.006858784112740592,0.08281777655033122
E,extratropics,20,thetao,0.0070124458918539795,0.08374034805190375
E,extratropics,20,velocity,0.600228386062184,0.7747440777845185
E,extratropics,20,zos,0.00518992470549132,0.07204113203921299
E,extratropics,25,so,0.0063943440537227855,0.07996464252232223
E,extratropics,25,sst,0.009848433455000723,0.0992392737528884
E,extratropics,25,thetao,0.007634587984821604,0.08737612937651566
E,extratropics,25,velocity,0.679486080857587,0.8243094569744951
E,extratropics,25,zos,0.0059416582055314094,0.07708215231512032
E,extratropics,30,so,0.006641920369043145,0.08149797769910089
E,extratropics,30,sst,0.013398058270339361,0.11574998172932625
E,extratropics,30,thetao,0.008307393464546155,0.09114490366743581
E,extratropics,30,velocity,0.7480768333092641,0.864914350273635
E,extratropics,30,zos,0.006787142434129156,0.08238411518083541
E,global,0,so,0.005596005953246739,0.07480645662806613
E,global,0,sst,0.0,0.0
E,global,0,thetao,0.0048000640413860835,0.06928249448010719
E,global,0,velocity,0.22667829894967242,0.4761074447534636
E,global,0,zos,0.0,0.0
E,global,5,so,0.00563639806371112,0.07507594863677128
E,global,5,sst,0.0006431060163491869,0.025359535018394698
E,global,5,thetao,0.0049849844368278174,0.0706044222186388
E,global,5,velocity,0.325245718537557,0.5703031812444649
E,global,5,zos,0.0014111399015580607,0.03756514210751852
E,global,10,so,0.005746324057579348,0.0758045121188663
E,global,10,sst,0.0018451112302518302,0.04295475794660971
E,global,10,thetao,0.00531685283051132,0.072916752742503
E,global,10,velocity,0.45752484558159084,0.676405829056485
E,global,10,zos,0.0024554079193903596,0.049552072806194086
E,global,15,so,0.005898524590981763,0.07680185278352185
E,global,15,sst,0.00338926241436799,0.05821737210118635
E,global,15,thetao,0.005726328371215446,0.07567250736704477
E,global,15,velocity,0.5613261870584356,0.749217049364492
E,global,15,zos,0.003300508627705608,0.057450053330746424
E,global,20,so,0.0060787173103791165,0.077966129250971
E,global,20,sst,0.005234123540411869,0.07234724279757916
E,global,20,thetao,0.006182065555526837,0.07862611242791313
E,global,20,velocity,0.6319148065655996,0.7949306929321572
E,global,20,zos,0.0040787027048115885,0.06386472191133058
E,global,25,so,0.006285398053874224,0.07928050235634373
E,global,25,sst,0.00743844932547267,0.08624644529180707
E,global,25,thetao,0.006674685140085953,0.08169874625773613
E,global,25,velocity,0.6853320934096275,0.8278478685178984
E,global,25,zos,0.00471159857415561,0.06864108517612182
E,global,30,so,0.006527841297373847,0.08079505738208154
E,global,30,sst,0.010055743804615361,0.10027833168045508
E,global,30,thetao,0.007212629011156894,0.08492719830040842
E,global,30,velocity,0.7401918335315206,0.86034402045433
E,global,30,zos,0.005412730204900958,0.07357125936737088
E,tropics,0,so,0.005539666260342554,0.0744289342953569
E,tropics,0,sst,0.0,0.0
E,tropics,0,thetao,0.003927044082834313,0.06266613186430381
E,tropics,0,velocity,0.27428147944600445,0.5237188935354581
E,tropics,0,zos,0.0,0.0
E,tropics,5,so,0.005572581249280501,0.07464972370531923
E,tropics,5,sst,0.00035848081769826164,0.01893358966752638
E,tropics,5,thetao,0.004074789669622558,0.06383407921809915
E,tropics,5,velocity,0.39722828383239134,0.6302604888713803
E,tropics,5,zos,0.0004649578865306535,0.021562882148049075
