model,region,box_width_cells,variable,prediction_anomaly_energy,target_anomaly_energy,cross_anomaly_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation
E,extratropics,0,so,0.0037330910828358103,0.0060622746614476,0.0020725005877490843,0.005650364560635027,0.7847231930818365,0.4356548615596622
E,extratropics,0,sst,0.0053585917016284,0.0053585917016284,0.0053585917016284,0.0,1.0,1.0
E,extratropics,0,thetao,0.00538024510696995,0.008439573906043206,0.004236358177815972,0.005347102720292467,0.7984372133948466,0.6286825137494143
E,extratropics,0,velocity,0.5146552847697341,0.6052613654141729,0.46039525684066307,0.19912613680361432,0.9221185140038729,0.8248997001600594
E,extratropics,0,zos,0.0081600304269655,0.0081600304269655,0.0081600304269655,0.0,1.0,1.0
E,extratropics,3,so,0.0008355043506271473,0.0009373131444178054,0.00028493281491483044,0.0012029518641928632,0.9441304488323472,0.321977672804068
E,extratropics,3,sst,0.0003471269379275,0.0003471269379275,0.0003471269379275,0.0,1.0,1.0
E,extratropics,3,thetao,0.0012880584571821501,0.0014739693815193037,0.000847566623296978,0.0010668945949579333,0.9348104437008072,0.6151228050034054
E,extratropics,3,velocity,0.31560711104943673,0.40509180172461895,0.28362555693337915,0.1534477988929388,0.8826665384158038,0.7932229020829189
E,extratropics,3,zos,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0
E,extratropics,9,so,0.0019091449432147051,0.0025095795711831473,0.0007988242624483942,0.0028210759904903054,0.8722057904098094,0.3649482715828447
E,extratropics,9,sst,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0
E,extratropics,9,thetao,0.002857646862422211,0.0035871181333156665,0.0019681367529271413,0.0025084914845245614,0.8925477097292301,0.6147211449948226
E,extratropics,9,velocity,0.49985412670648965,0.5864680843791197,0.44999948154059516,0.18632324865896893,0.9232077670058968,0.8311285119205366
E,extratropics,9,zos,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0
E,global,0,so,0.0036022403851610997,0.005848825363852453,0.0019275299029429,0.005596005954670216,0.7847873938551311,0.4199334323549707
E,global,0,sst,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0
E,global,0,thetao,0.0049450698123897335,0.007122614420689051,0.003633810090195411,0.004800064041712739,0.8332330661970357,0.6122887721109932
E,global,0,velocity,0.44578613079034674,0.5455007161123204,0.38230427396362415,0.22667829879519472,0.9039941370269424,0.7752614950373912
E,global,0,zos,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0
E,global,3,so,0.0007311826563961632,0.0008034343685033046,0.00020107733781863442,0.0011324623468146895,0.9539766347875854,0.2623463239810976
E,global,3,sst,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0
E,global,3,thetao,0.0010353042938615112,0.001031713265675866,0.0005471062972262855,0.0009728049687900554,1.0017388110423984,0.5293686261583107
E,global,3,velocity,0.22407924546872532,0.29718395700041506,0.19500794431025328,0.1312473144071302,0.8683366589381267,0.7556815289811893
E,global,3,zos,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0
E,global,9,so,0.0017559788287645265,0.0023167754722177142,0.0006279836866523134,0.002816786924027979,0.870597998547435,0.3113484808382379
E,global,9,sst,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0
E,global,9,thetao,0.002368010591514839,0.002720648763092356,0.001382455696094682,0.0023237479604916334,0.9329440115751775,0.5446570921435192
E,global,9,velocity,0.41088209540079657,0.5032851217965191,0.35422697305829837,0.20571327136788894,0.9035486939506935,0.7789614647402143
