model,region,variable,mse,mean_bias_mse,amplitude_mse,pattern_mse,prediction_temporal_variance,target_temporal_variance,mean_bias_mse_fraction,amplitude_mse_fraction,pattern_mse_fraction
E,extratropics,so,0.0056503645564452845,0.0024463227338429737,0.0007140260161552263,0.0024900158064469946,0.0036593764997249843,0.004810231485344918,0.4329495396987245,0.1263681323607249,0.4406823279405347
E,extratropics,sst,0.0,0.0,0.0,0.0,0.0395987010529111,0.0395987010529111,,,
E,extratropics,thetao,0.005347102719277955,0.002751047012926528,0.0005741480887252539,0.0020219076176260613,0.0074620429070680495,0.008584017120690556,0.5144930175005157,0.10737554875377145,0.3781314337456919
E,extratropics,velocity,0.19912613655900344,0.014838647104386675,0.01530664810390075,0.1689808413507159,0.4746131886618458,0.5661219879573923,0.07451883193640835,0.07686910602699916,0.8486120620365919
E,extratropics,zos,0.0,0.0,0.0,0.0,0.0079720057078608,0.0079720057078608,,,
E,global,so,0.005596005961823937,0.0022578684397962737,0.0007745620180332789,0.002563575503994295,0.0037390363348137525,0.005105903925794543,0.40347856224591194,0.13841336541050103,0.45810807234357104
E,global,sst,0.0,0.0,0.0,0.0,0.0290446103502794,0.0290446103502794,,,
E,global,thetao,0.004800064045189178,0.0023645172237308446,0.0005456210096662844,0.0018899258117919444,0.006369130655058689,0.007286285770838206,0.4926011822906116,0.1136695270166506,0.39372929069271606
E,global,velocity,0.22667829902529305,0.013953464074778698,0.0168838969357107,0.1958409380148035,0.4685633535424484,0.5712124760068399,0.061556241311047394,0.07448395813940166,0.8639598005495503
E,global,zos,0.0,0.0,0.0,0.0,0.0073459313602027,0.0073459313602027,,,
E,tropics,so,0.005539666255008784,0.0019620374745172686,0.0008777454904771895,0.0026998832900142155,0.0038811991494043787,0.005630860117206612,0.35417972567268996,0.15844735947469055,0.48737291485259965
E,tropics,sst,0.0,0.0,0.0,0.0,0.0107537894778553,0.0107537894778553,,,
E,tropics,thetao,0.003927044084758195,0.00174589517508465,0.0004994527876059815,0.001681696122067461,0.0045077579561271,0.005098728842885167,0.44458252502458284,0.12718288280604698,0.42823459216934423
E,tropics,velocity,0.2742814799430344,0.012661274034066566,0.019617379663875497,0.24200282624509226,0.46496009536768274,0.5871802942143879,0.046161607545271335,0.07152280083930507,0.8823155916154233
E,tropics,zos,0.0,0.0,0.0,0.0,0.0062609109913306,0.0062609109913306,,,
original,extratropics,so,0.005583435290136868,0.0023610103605486736,0.0007866662622631579,0.0024357586673249315,0.0036014125800477525,0.004810231485344918,0.42285980545335516,0.1408928771240177,0.43624731742260836
original,extratropics,sst,0.0,0.0,0.0,0.0,0.0395987010529111,0.0395987010529111,,,
original,extratropics,thetao,0.005580396320928695,0.0028802042766027055,0.0006254482839695314,0.0020747437603563556,0.007733830620944478,0.008584017120690556,0.5161289827750764,0.11207954560930607,0.3717914716155993
original,extratropics,velocity,0.16984541931389735,0.01407085050843443,0.019741929229593586,0.13603263957586925,0.45548532225579297,0.5661219879573923,0.08284503971478673,0.11623468745487817,0.8009202728303346
original,extratropics,zos,0.0,0.0,0.0,0.0,0.0079720057078608,0.0079720057078608,,,
original,global,so,0.005524172767699995,0.002172184095776558,0.0008443202616355053,0.0025076684102878317,0.003684564732625484,0.005105903925794543,0.3932143665884934,0.15284103107206773,0.4539446023394208
original,global,sst,0.0,0.0,0.0,0.0,0.0290446103502794,0.0290446103502794,,,
original,global,thetao,0.005025422280342439,0.002476963137556589,0.000607365164435799,0.0019410939783499445,0.0066104506437998055,0.007286285770838206,0.49288656741256087,0.12085853298569216,0.38625489960172577
original,global,velocity,0.19392904036774503,0.013651169608181945,0.02319822198566765,0.15707964877389535,0.4444274793767312,0.5712124760068399,0.07039260124370963,0.11962221821794804,0.8099851805383419
original,global,zos,0.0,0.0,0.0,0.0,0.0073459313602027,0.0073459313602027,,,
original,tropics,so,0.005458325966502142,0.0018748016432495842,0.0009419283103820842,0.002641596012870395,0.003832650435083079,0.005630860117206612,0.34347557378494437,0.17256725160108016,0.48395717461396104
original,tropics,sst,0.0,0.0,0.0,0.0,0.0107537894778553,0.0107537894778553,,,
original,tropics,thetao,0.004137579602997651,0.0018290799068219944,0.0005779884647857976,0.0017305112313897389,0.004696090911035372,0.005098728842885167,0.4420651884248553,0.13969240963172008,0.4182424019433957
original,tropics,velocity,0.23550268439048308,0.01312745163987499,0.029032790581722076,0.19334244216888594,0.432394401042378,0.5871802942143879,0.055742259048345205,0.12328008343880824,0.8209776575128462
original,tropics,zos,0.0,0.0,0.0,0.0,0.0062609109913306,0.0062609109913306,,,
