model,region,box_width_cells,channel,prediction_anomaly_energy,target_anomaly_energy,cross_anomaly_moment,anomaly_mse
original,global,0,uo_0,0.35759269995520815,0.4472110235329831,0.34667016385179583,0.11146339864441844
original,global,0,uo_1,0.4053397305083998,0.48928506928260884,0.39459950333893906,0.1054257925110634
original,global,0,uo_2,0.440450278797535,0.5141384291528451,0.428554973216972,0.09747876610719797
original,global,0,uo_3,0.4248323389376053,0.49941418899430173,0.41453602217664626,0.09517448990031926
original,global,0,uo_4,0.34465700568574853,0.4187718542537304,0.33496932670323537,0.09349019983501146
original,global,0,uo_5,0.28324921429157257,0.35726736470906423,0.271259014805158,0.09799855277694838
original,global,0,uo_6,0.2680848693907863,0.3377714331703957,0.25113960468407837,0.1035770918383743
original,global,0,uo_7,0.3495354920324653,0.43619542952739837,0.3250562611854438,0.135618403027154
original,global,0,uo_8,0.3782099590759085,0.47828742651024253,0.35051862037543097,0.15546014649097367
original,global,0,uo_9,0.3677945525357218,0.47488512384771103,0.3376171363122536,0.1674454054146102
original,global,0,uo_10,0.34483958645300433,0.4659835334980127,0.3138513297143609,0.1831204632315973
original,global,0,uo_11,0.3306013595576238,0.46230046737073655,0.2944533666878036,0.203995095057921
original,global,0,uo_12,0.31436855142766784,0.4591639156293388,0.27141181402134174,0.2307088426267258
original,global,0,uo_13,0.302376748937549,0.4531179103586409,0.2505230497230183,0.2544485584955023
original,global,0,uo_14,0.3149886031945547,0.4730939139621427,0.2555084156267571,0.27706568454853214
original,global,0,uo_15,0.3442905786061528,0.5348082880179088,0.271579990934844,0.3359388835502394
original,global,0,uo_16,0.36471704220530965,0.591971294446425,0.2789891360685079,0.39871005969818196
original,global,0,uo_17,0.328188849217964,0.5408051128339286,0.24115805162323847,0.3866778591064492
original,global,0,uo_18,0.25845256538102124,0.4628845456272665,0.19905524226752197,0.32322662526910956
original,global,0,vo_0,0.5391455060905881,0.6371854534654907,0.5147601992192895,0.14681056962169783
original,global,0,vo_1,0.5502971374627316,0.6362425067810098,0.5301048505787898,0.1263299561811216
original,global,0,vo_2,0.5756548724391244,0.648544268174605,0.5609865823779444,0.10222597849188429
original,global,0,vo_3,0.593677795595593,0.6636316661882883,0.5817001218145544,0.09390920995160787
original,global,0,vo_4,0.5840807219948432,0.6494225721166592,0.5706291644260137,0.09224496826981055
original,global,0,vo_5,0.5505938517926919,0.6217725180616283,0.5356899782864735,0.10098642494642374
original,global,0,vo_6,0.5331054862701532,0.6010017714115105,0.5149147597828297,0.10427773879332977
original,global,0,vo_7,0.5410995329871323,0.6081744083250412,0.5219268482742888,0.10542024243058581
original,global,0,vo_8,0.5477348012153549,0.6197710308161649,0.5273309271745008,0.11284399303522978
original,global,0,vo_9,0.5401236261382248,0.621162817935751,0.5191742925330847,0.12293785690057159
original,global,0,vo_10,0.5214133196406895,0.6176243183588741,0.49954953699400934,0.1399385550557965
original,global,0,vo_11,0.5013794489581176,0.6179243880088884,0.4776309990521634,0.16404184684006856
original,global,0,vo_12,0.47279488046964013,0.6115481636740945,0.4442571576195534,0.1958287325170305
original,global,0,vo_13,0.4453081964242338,0.6008604271243317,0.4057758173557243,0.23461698612781487
original,global,0,vo_14,0.4349059920118313,0.6120739320311884,0.38468589174627055,0.2776081381422101
original,global,0,vo_15,0.43840830133418845,0.6541493498917782,0.3709322623532228,0.3506931186926486
original,global,0,vo_16,0.421486995135895,0.6619076939544293,0.3411336411731412,0.40112741637711574
original,global,0,vo_17,0.3806797913228623,0.6014474726686575,0.29711079492111403,0.3879056699348219
original,global,0,vo_18,0.32115746492689307,0.5472261285541034,0.25792589557893353,0.3525318051829483
original,global,0,thetao_0,0.004692449471960315,0.004692449471960315,0.004692449471960315,0.0
original,global,0,thetao_1,0.004658947435367589,0.004617655645077578,0.004227608903264157,0.0008213852797964155
original,global,0,thetao_2,0.0045165920070363115,0.004567033011522709,0.0036785889021826515,0.0017264471706849608
original,global,0,thetao_3,0.004743306728249247,0.00510615485043011,0.003343024917859396,0.0031634117547196874
original,global,0,thetao_4,0.00551684694176521,0.006511206004881498,0.003887005832347304,0.004254041354858665
original,global,0,thetao_5,0.006846061220975838,0.008594779946813078,0.005185593585154475,0.0050696539175179274
original,global,0,thetao_6,0.006658889729567249,0.009852218935548357,0.005244003613526472,0.00602310136750792
original,global,0,thetao_7,0.006505414956446851,0.010582081841850522,0.005223866674409371,0.006639763331887398
original,global,0,thetao_8,0.007666573262387756,0.012330281416499857,0.0063482154715768626,0.007300423843917823
original,global,0,thetao_9,0.008718823553110013,0.01264511344182973,0.007048529309380536,0.007266878362067721
original,global,0,thetao_10,0.007777157662944361,0.011373987120359835,0.0061350819193805115,0.006880980878692084
original,global,0,thetao_11,0.00568470223853835,0.01085738843363343,0.0039288782693370425,0.008684334147608642
original,global,0,thetao_12,0.003693000538124129,0.008741263996320543,0.001998596421367668,0.008437071752856778
original,global,0,thetao_13,0.002819537674312038,0.0033583817721316313,0.0009708729663139417,0.004236173519695348
original,global,0,thetao_14,0.0026661453796832852,0.0020707660469913274,0.0008645796703852036,0.003007752136468436
original,global,0,thetao_15,0.002928044115466,0.0014909403198727906,0.000863614472715805,0.0026917555181290766
original,global,0,thetao_16,0.004293527416508607,0.002429430452975059,0.001038179162541649,0.004646599523233946
original,global,0,thetao_17,0.00465372458072097,0.005719828687495355,0.0026588202124894268,0.005055912913792212
original,global,0,thetao_18,0.004232840621938007,0.00735854764817038,0.003519736994716405,0.0045519141960098895
original,global,0,so_0,0.0070803230722444235,0.010010514530644875,0.002910426106407411,0.01126998548179564
original,global,0,so_1,0.00618709744227053,0.008220969642879385,0.0027103448872256913,0.008987377171940876
original,global,0,so_2,0.005434258328280365,0.007238024323614259,0.0026357695671983743,0.007400743573941667
original,global,0,so_3,0.004519954558951085,0.0063998075343216915,0.002334900623695417,0.006249960808252747
original,global,0,so_4,0.004152812757482282,0.006201809065209495,0.0020875847190524443,0.00617945237517959
original,global,0,so_5,0.003973923924595419,0.00602066975952399,0.0017720632045764967,0.00645046727731824
original,global,0,so_6,0.004597448071257936,0.008865191380145274,0.0025079959128616438,0.008446647663309118
original,global,0,so_7,0.005676890530557645,0.011169775596095458,0.00371466581521537,0.009417334590295348
original,global,0,so_8,0.005367982365905938,0.009192689622968738,0.0035790766993857395,0.007402518538363052
original,global,0,so_9,0.003822080856847643,0.005987436049664864,0.0022914933259457803,0.005226530285194667
original,global,0,so_10,0.00227764809052601,0.0032470731271637813,0.0009829805119696894,0.0035587601819912894
