model,region,channel,mse,mean_bias_mse,amplitude_mse,pattern_mse,prediction_temporal_variance,target_temporal_variance
original,global,uo_0,0.11146339882539372,0.007830892933124037,0.009649600389489116,0.09398290550278057,0.5115969161951299,0.5990345021066248
original,global,uo_1,0.10542579347677407,0.007018480863138896,0.007505441129738051,0.09090187148389711,0.5732883064569698,0.6540295873389004
original,global,uo_2,0.09747876613735543,0.0066591550829126385,0.0062125589317593285,0.08460705212268346,0.6066149366817014,0.672473366622728
original,global,uo_3,0.09517448918179101,0.006636887763820086,0.006010034858360233,0.08252756655961069,0.5659993768052458,0.6330916375132282
original,global,uo_4,0.09349019958463875,0.006755053608179193,0.0065113240202152685,0.08022382195624429,0.4352505030213284,0.5045496848794151
original,global,uo_5,0.09799855262283999,0.00994802220300875,0.007678764393112275,0.08037176602671899,0.32611445422693247,0.3926780588079272
original,global,uo_6,0.1035770914665085,0.009100142005346838,0.008470657776328014,0.08600629168483365,0.2784951165940475,0.3424953634955388
original,global,uo_7,0.1356184021724974,0.009389594579385433,0.01124010365149507,0.11498870394161688,0.3554695970014145,0.43941640146928007
original,global,uo_8,0.15546014687299156,0.009978770121046317,0.014049726794012967,0.1314316499579323,0.38997682708731896,0.48970509474469537
original,global,uo_9,0.16744540679290645,0.010720469357740962,0.015429339802344616,0.1412955976328209,0.388817174485002,0.49808748768768746
original,global,uo_10,0.1831204639653039,0.011459311892713332,0.01878451427912236,0.1528766377934682,0.37802712046587933,0.5021850676160491
original,global,uo_11,0.20399509474107505,0.013476197807554114,0.021297338416263974,0.16922155851725693,0.37037644321595087,0.5075078014036235
original,global,uo_12,0.23070883934424213,0.015783788216184844,0.025751416424258586,0.1891736347037987,0.36106096382386804,0.515987118091078
original,global,uo_13,0.2544485584213683,0.019047117060062915,0.02799629516902502,0.20740514619228043,0.3491434065206919,0.5109175247328925
original,global,uo_14,0.2770656839783649,0.02315977551041627,0.029335429843627983,0.22457047862432064,0.3441759738878053,0.5108992247592519
original,global,uo_15,0.3359388826827839,0.028410291236600237,0.03940260286846465,0.2681259885777189,0.35841938809789514,0.5620886447805769
original,global,uo_16,0.39871005741704807,0.034073339763563686,0.05236651742045144,0.3122702002330329,0.36193758726151537,0.603570314527994
original,global,uo_17,0.38667786340079047,0.031177117831385198,0.05126284721191709,0.3042378983574882,0.31707694895057564,0.5400868597540659
original,global,uo_18,0.3232266272240602,0.028346207107203425,0.046544176543088164,0.2483362435737686,0.24758023295727494,0.4443803396291085
original,global,vo_0,0.14681056950888297,0.008289559114665019,0.01142956112596375,0.1270914492682542,0.5922227194591496,0.6928473415522045
