reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A,D,extratropics,0,so,99,9,4000,0.07521742544180111,0.06682469510327137,-0.008392730338529747,-0.00933477203011358,-0.007531831593285211,11.157960125906675,9.93578912788446,12.537888448155435
A,D,extratropics,0,sst,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A,D,extratropics,0,thetao,99,9,4000,0.07346651837004727,0.06685759104606884,-0.006608927323978428,-0.007325530458486025,-0.005958199777743544,8.995835750225133,7.932970600050719,10.199130012142428
A,D,extratropics,0,ts,99,9,4000,0.07434712641222055,0.06684114509839191,-0.0075059813138286385,-0.00828652023071378,-0.006789743290810787,10.095859350651203,8.990006925917987,11.35851115265417
A,D,extratropics,0,uo,99,9,4000,0.45611708427357894,0.37804069589120237,-0.07807638838237657,-0.08005960122389111,-0.07630193503327133,17.11761981174693,16.82344964999777,17.444554965625795
A,D,extratropics,0,vo,99,9,4000,0.45251833740410047,0.3921283549374222,-0.06038998246667826,-0.062276599334094594,-0.05827936233377684,13.34531166474029,12.960939327283654,13.673905817257719
A,D,extratropics,0,zos,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A,D,extratropics,5,so,99,9,4000,0.07434297879486124,0.06596047270765655,-0.008382506087204686,-0.009265982482252976,-0.007580542742163446,11.275450920973995,10.088430010713939,12.602301606305893
A,D,extratropics,5,sst,99,9,4000,0.025790920823650858,0.025550721987942584,-0.0002401988357082739,-0.0003542057326474636,-0.00010074730260369754,0.9313309801951886,0.39308496063353304,1.3704344410621472
A,D,extratropics,5,thetao,99,9,4000,0.07220649839470332,0.06637452306147223,-0.005831975333231085,-0.006520197000878751,-0.0052054046115640774,8.076801206107076,7.042114599063844,9.241878299047777
A,D,extratropics,5,ts,99,9,4000,0.07328252488321303,0.06616782175444276,-0.007114703128770272,-0.007856973315173658,-0.0064301506418829365,9.708594429720652,8.633649665230374,10.92032537510621
A,D,extratropics,5,uo,99,9,4000,0.4407152482220401,0.3887817353935707,-0.05193351282846942,-0.053340390192894306,-0.050500459107547975,11.783915586760996,11.514612839298161,12.02039527060354
A,D,extratropics,5,vo,99,9,4000,0.45123189938316594,0.4219293210283174,-0.029302578354848563,-0.030601687490356185,-0.028033741663705505,6.493906657509186,6.255515902922569,6.735031674958629
A,D,extratropics,5,zos,99,9,4000,0.03698289731744404,0.035945057635766574,-0.0010378396816774632,-0.0012512450038389344,-0.0008442427020763016,2.8062692675728695,2.3005357884243316,3.3176498987369123
A,D,extratropics,10,so,99,9,4000,0.07420245628273373,0.06636140098062998,-0.007841055302103744,-0.008688017185055213,-0.007058702106478919,10.5671101671176,9.423927152635375,11.84582171701513
A,D,extratropics,10,sst,99,9,4000,0.03153285791335918,0.031237482408421807,-0.0002953755049373702,-0.0003961558721820451,-0.00019195835832562844,0.936722912172927,0.6103306448922907,1.2536983535127662
A,D,extratropics,10,thetao,99,9,4000,0.0724195041638693,0.0670334462256832,-0.005386057938186098,-0.006039650861671358,-0.0047868942285936925,7.437302975726867,6.462731891222704,8.531430362919831
A,D,extratropics,10,ts,99,9,4000,0.07331640028578762,0.06669827004129686,-0.006618130244490761,-0.007324236552405906,-0.00595438285677426,9.026807397380754,7.9930243959613385,10.18337813094383
A,D,extratropics,10,uo,99,9,4000,0.44455920435443974,0.4093015134852415,-0.03525769086919822,-0.0362861720794915,-0.034319154425791,7.930932601068774,7.749753008761304,8.12504229828479
A,D,extratropics,10,vo,99,9,4000,0.4819487300574373,0.46366275702108006,-0.01828597303635726,-0.019344104247723565,-0.017181248321812632,3.794173922644839,3.587271370924801,3.985892974058648
A,D,extratropics,10,zos,99,9,4000,0.04097131220246184,0.03985969795508649,-0.0011116142473753532,-0.0014133376974958187,-0.0007866916527862044,2.71315266126273,1.933903492515315,3.4233354506284783
A,D,extratropics,15,so,99,9,4000,0.07437978350337347,0.06679773669298933,-0.007582046810384144,-0.008382984596012846,-0.006835290794754229,10.19369303493638,9.107845063028003,11.399772879112195
A,D,extratropics,15,sst,99,9,4000,0.036749024328524026,0.0362920202120085,-0.00045700411651552336,-0.000548950663891367,-0.0003609473899084441,1.2435816320728876,0.9852299702774691,1.493281899055389
A,D,extratropics,15,thetao,99,9,4000,0.07286976979208462,0.06783848918176234,-0.005031280610322278,-0.005650761940349556,-0.004466288977752808,6.904482647163235,5.998372581979537,7.91337005164583
A,D,extratropics,15,ts,99,9,4000,0.07362864776552712,0.0673201241894651,-0.006308523576062014,-0.006975689401790342,-0.005679812574023856,8.568028569737852,7.59224832744998,9.649312565653407
A,D,extratropics,15,uo,99,9,4000,0.4549887723420139,0.43037505715696717,-0.024613715185046736,-0.025490410750331698,-0.02386470010760705,5.409741224678988,5.262913636841378,5.583556905845586
A,D,extratropics,15,vo,99,9,4000,0.5114281729206027,0.49940473841005495,-0.01202343451054777,-0.013240495114564387,-0.010933100023086695,2.3509527138260267,2.15100157670788,2.5676786217214933
A,D,extratropics,15,zos,99,9,4000,0.04544718221463442,0.04444782570038641,-0.0009993565142480051,-0.0014385115754760281,-0.0006428669657440722,2.198940540534111,1.4036613038544927,3.1381798085590162
A,D,extratropics,20,so,99,9,4000,0.07469253003856821,0.06737888274016508,-0.007313647298403128,-0.008048751150773584,-0.006624138854285207,9.791671663319823,8.782638669135213,10.894327364044106
A,D,extratropics,20,sst,99,9,4000,0.04046863144913718,0.03997779185484312,-0.0004908395942940583,-0.0006585824977577445,-0.0003374645595942994,1.2128890370581624,0.8378123417970444,1.6194844179746397
A,D,extratropics,20,thetao,99,9,4000,0.0735552497906655,0.06879955319488766,-0.0047556965957778335,-0.005333276114847737,-0.004221983124494905,6.46547542060193,5.620265569170466,7.396096052690933
A,D,extratropics,20,ts,99,9,4000,0.07412607103890509,0.0680929231239528,-0.006033147914952283,-0.0066582845437331405,-0.005445209217479676,8.139036415117406,7.2252155303838315,9.139692915113232
A,D,extratropics,20,uo,99,9,4000,0.46794904037151397,0.4509481859507266,-0.01700085442078736,-0.017695855752444242,-0.016230868316833624,3.633056797656864,3.4933867206234757,3.760478961976895
A,D,extratropics,20,vo,99,9,4000,0.5367666457422201,0.5297372895746564,-0.007029356167563727,-0.007685497078135159,-0.006332037332820742,1.309573950490872,1.1891658473388722,1.4236607187604784
A,D,extratropics,20,zos,99,9,4000,0.04846484195535862,0.047200039397248254,-0.0012648025581103658,-0.0015235637567973031,-0.0009892063460106416,2.609732142065757,2.0661263311540665,3.1042974884666608
A,D,extratropics,25,so,99,9,4000,0.07524725462086214,0.06810286887832237,-0.007144385742539769,-0.007817621627015239,-0.006511378182349131,9.494546716072483,8.56568762134125,10.50836235064852
A,D,extratropics,25,sst,99,9,4000,0.043797445004236775,0.04325489380232929,-0.000542551201907486,-0.0006781947696467103,-0.00043186741105382363,1.2387736358936086,0.9896578160309928,1.5430409164269043
A,D,extratropics,25,thetao,99,9,4000,0.0744132400183227,0.06985769885987826,-0.004555541158444434,-0.00510328667234229,-0.004037918982501957,6.121949746204747,5.317373573646156,6.988914181688148
A,D,extratropics,25,ts,99,9,4000,0.07483140924104452,0.06898586391230958,-0.005845545328734936,-0.00642941620508818,-0.005306032240632532,7.811619997567398,6.963883206551847,8.729501535133656
A,D,extratropics,25,uo,99,9,4000,0.48051166497342135,0.4683224083722342,-0.012189256601187137,-0.01287516199153679,-0.011362248370828054,2.5367243897942315,2.382324471327211,2.6577824715053353
A,D,extratropics,25,vo,99,9,4000,0.5588451151334387,0.555479774900815,-0.0033653402326236925,-0.004090806400068925,-0.002689371058365908,0.6021955174145388,0.4839989667157382,0.7280006869591503
A,D,extratropics,25,zos,99,9,4000,0.05080669391746568,0.04970620586140827,-0.0011004880560574123,-0.0013139712335235153,-0.0008509691278483758,2.166029653189261,1.6695076991507238,2.5939901919204367
A,D,extratropics,30,so,99,9,4000,0.07588054717812595,0.0688931912321559,-0.006987355945970053,-0.00762053388040377,-0.006396508501595297,9.20836262496575,8.337848579658615,10.165720839633655
A,D,extratropics,30,sst,99,9,4000,0.04688130298065589,0.046198572172643906,-0.0006827308080119832,-0.0008347144865844111,-0.0005152622599287805,1.4562965715643417,1.1066938832908775,1.7674109482309865
A,D,extratropics,30,thetao,99,9,4000,0.07535905632988892,0.07095103314366749,-0.004408023186221424,-0.0049150554461900595,-0.00392958472526266,5.8493609141349046,5.113275432753908,6.649073915121117
A,D,extratropics,30,ts,99,9,4000,0.0756202512921743,0.06992968218969756,-0.005690569102476742,-0.006230783330129447,-0.005180354108136254,7.525192002457204,6.745452950757772,8.371292390867918
A,D,extratropics,30,uo,99,9,4000,0.4932126359116411,0.484651750034405,-0.00856088587723608,-0.009370546956872202,-0.0075193644844163635,1.7357393655197728,1.5284511382567356,1.8918585342271583
A,D,extratropics,30,vo,99,9,4000,0.5794740874823642,0.5790951753443425,-0.0003789121380216587,-0.0012502977068749894,0.0004819068466442228,0.06538897013805833,-0.08249055759979176,0.21603086388508916
A,D,extratropics,30,zos,99,9,4000,0.05372865376379648,0.05247834852679413,-0.0012503052370023485,-0.0014433802571019818,-0.0010688886048150215,2.32707345041433,2.0009162820704303,2.6758110316869117
A,D,global,0,so,99,9,4000,0.07439786258390453,0.06600795288547684,-0.008389909698427692,-0.009189892041289782,-0.007673857392859479,11.277084323445052,10.249670409901299,12.448041288206438
A,D,global,0,sst,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A,D,global,0,thetao,99,9,4000,0.0692459856026964,0.06175396570676856,-0.007492019895927841,-0.00829088363432579,-0.0067973905225596504,10.819428492091687,9.669174492432445,12.145723804018266
A,D,global,0,ts,99,9,4000,0.07186810307480772,0.0639163598957422,-0.007951743179065524,-0.008732850068089274,-0.007259733610812852,11.064356562727873,9.995630596375523,12.302500989368088
A,D,global,0,uo,99,9,4000,0.485202592921062,0.40852008875749013,-0.07668250416357186,-0.07939364722260893,-0.07427632877651041,15.804223902003633,15.397813489237688,16.25942913165192
A,D,global,0,vo,99,9,4000,0.48655570150512367,0.41694760942310355,-0.06960809208202012,-0.07162776857606101,-0.06775161617912186,14.30629460649473,14.000191207355583,14.627631461576534
A,D,global,0,zos,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A,D,global,5,so,99,9,4000,0.07312462372959985,0.06503383013660478,-0.008090793592995069,-0.008850198629288972,-0.007394256581718828,11.064390051309115,10.04971640347783,12.211284770838159
A,D,global,5,sst,99,9,4000,0.023924283210961045,0.023750145185139567,-0.00017413802582147767,-0.0002592606054728999,-5.6214179489659823e-05,0.7278714446153023,0.2345912545323631,1.080241560574154
A,D,global,5,thetao,99,9,4000,0.06761633014775259,0.061114788338533434,-0.0065015418092191565,-0.007286420487002537,-0.005820323890660927,9.615342617696399,8.478224836219791,10.94303051195926
A,D,global,5,ts,99,9,4000,0.07042435196097097,0.06310473998005423,-0.00731961198091674,-0.008072775297251535,-0.006649711163397922,10.393580880905029,9.319368110546685,11.613541393595463
