region,variable,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,mean_bias_mse_fraction,temporal_amplitude_mse_fraction,temporal_pattern_mse_fraction,run
extratropics,so,0.005657660914157695,0.0024031115025592367,0.0006986117185094737,0.0025559376930889056,0.4247535402034621,0.1234806626111636,0.45176579718536036,A
extratropics,sst,0.0,0.0,0.0,0.0,,,,A
extratropics,thetao,0.0053973292149528665,0.002755580869411122,0.000580883194902346,0.002060865150639283,0.5105452640867277,0.10762419184900855,0.3818305440642423,A
extratropics,uo,0.2080427911232337,0.014988907054786787,0.015553274121420511,0.1775006099470263,0.07204723111942937,0.0747599762406935,0.8531927926398766,A
extratropics,vo,0.20477284250508865,0.01382479385445398,0.014059764434377021,0.17688828421625757,0.0675128287781151,0.0686602982230304,0.8638268729988542,A
extratropics,zos,0.0,0.0,0.0,0.0,,,,A
global,so,0.005535042060356911,0.0021750426793132054,0.0007482406252640683,0.0026117587557795315,0.39295865426051596,0.13518246421705063,0.4718588815224143,A
global,sst,0.0,0.0,0.0,0.0,,,,A
global,thetao,0.00479500661804455,0.0023437978192634612,0.0005476519818139448,0.0019035568169670498,0.4887997047685588,0.11421297725701214,0.39698731797440956,A
global,uo,0.2354215605569838,0.014404171098847562,0.0162208700524826,0.2047965194056535,0.061184587617076104,0.06890137850630863,0.8699140338766147,A
global,vo,0.23673645517455694,0.01265382888860202,0.015431908083877156,0.20865071820207767,0.05345112090688254,0.06518602330384006,0.8813628557892771,A
global,zos,0.0,0.0,0.0,0.0,,,,A
tropics,so,0.005367769987780432,0.0018171415074021526,0.0008328140871033052,0.0027178143932748942,0.3385281991476574,0.15515085202964762,0.5063209488226801,A
tropics,sst,0.0,0.0,0.0,0.0,,,,A
tropics,thetao,0.0038346092064104223,0.0016864343010786834,0.0004935845932922227,0.0016545903120394278,0.4397930037458379,0.12871835608882481,0.4314886401653142,A
tropics,uo,0.2825602338951834,0.013605947716004032,0.017448475035031236,0.251505811144148,0.04815237986054046,0.06175134694114035,0.8900962731983186,A
tropics,vo,0.2921423018220041,0.010898205328907251,0.01784684329822297,0.2633972531948738,0.03730444122928588,0.06108955528493322,0.9016060034857805,A
tropics,zos,0.0,0.0,0.0,0.0,,,,A
extratropics,so,0.004465539721010521,0.0019480694313312526,0.00047781115026835263,0.002039659139410816,0.4362450124820338,0.10699964172756865,0.45675534579037513,D
extratropics,sst,0.0,0.0,0.0,0.0,,,,D
extratropics,thetao,0.004469937397317627,0.002364393595049517,0.0004148059230278817,0.0016907378792401777,0.5289545210338673,0.09279904530135105,0.3782464336647703,D
extratropics,uo,0.14291476589908503,0.010336640968696948,0.011506430735682263,0.12107169419470573,0.07232731274244858,0.08051253950768938,0.8471601477498615,D
extratropics,vo,0.1537646445088462,0.009877102937715968,0.011500979415917469,0.13238656215521263,0.064235201591792,0.07479599392079893,0.8609688044874083,D
extratropics,zos,0.0,0.0,0.0,0.0,,,,D
global,so,0.004357049933418784,0.0017459433638102474,0.0005126183793799578,0.0020984881902285,0.40071685899644555,0.11765262900664737,0.48163051199688894,D
global,sst,0.0,0.0,0.0,0.0,,,,D
global,thetao,0.003813552346578155,0.0018952583923275057,0.00036878300255730807,0.0015495109516932499,0.4969797763568379,0.09670327533020798,0.4063169483129302,D
global,uo,0.1668886664727852,0.010564697968639363,0.01307294773063359,0.14325102077351215,0.06330386713445377,0.07833334645744452,0.8583627864081012,D
global,vo,0.17384531230010297,0.009041077528804878,0.013260648285829667,0.15154358648546828,0.05200644992484806,0.07627843460592301,0.8717151154692281,D
global,zos,0.0,0.0,0.0,0.0,,,,D
tropics,so,0.004208708478135216,0.0014268747872800789,0.0005728681904599578,0.0022089655003950798,0.33902913321102607,0.1361149610233358,0.5248559057656146,D
tropics,sst,0.0,0.0,0.0,0.0,,,,D
tropics,thetao,0.0027625336957255333,0.00114312860101585,0.00029391043331273913,0.001325494661396861,0.4137971612019112,0.10639161931943367,0.47981121947862504,D
tropics,uo,0.20779806111014557,0.011052503638811684,0.01573949000191957,0.18100606746941422,0.05318867548505752,0.07574416198992678,0.8710671625250153,D
tropics,vo,0.2090495660759638,0.0077767125382206,0.016279476728948673,0.18499337680879444,0.03720032853545709,0.07787376474645771,0.8849259067180847,D
tropics,zos,0.0,0.0,0.0,0.0,,,,D
