reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
C,A,extratropics,0,so,99,9,4000,0.06772532688875063,0.07540341632707503,0.007678089438324404,0.007058195825002375,0.008241209325914866,-11.337102072518391,-12.39559748020274,-10.235430518640374
C,A,extratropics,0,sst,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
C,A,extratropics,0,thetao,99,9,4000,0.06806104730422091,0.07479105361989985,0.006730006315678938,0.006182855939182263,0.007255063287918807,-9.888190943634756,-10.975676536768571,-8.825476512111441
C,A,extratropics,0,ts,99,9,4000,0.0678933946063073,0.07509785914181884,0.007204464535511532,0.006641585467586683,0.007709565798856763,-10.611436616607527,-11.651167010850939,-9.546518324650743
C,A,extratropics,0,uo,99,9,4000,0.412122416012588,0.4400514897708152,0.02792907375822723,0.02668620494360857,0.02911623130238734,-6.7768878064070615,-7.071110688939694,-6.478413664939651
C,A,extratropics,0,vo,99,9,4000,0.4130786934727809,0.4343791738793463,0.021300480406565403,0.020129501684933743,0.022355517724023593,-5.156518780354125,-5.39927259915319,-4.888350527400899
C,A,extratropics,0,zos,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
C,A,extratropics,5,so,99,9,4000,0.06899376301608053,0.07605709966460161,0.0070633366485210874,0.006440535563752767,0.0076250550303915065,-10.23764517218002,-11.248758045888634,-9.164072754897552
C,A,extratropics,5,sst,99,9,4000,0.025250236865870843,0.026126969779210717,0.0008767329133398741,0.0008061607458119553,0.0009576159935016242,-3.4721769858915508,-3.8124835768963985,-3.190537416583615
C,A,extratropics,5,thetao,99,9,4000,0.06875419711683904,0.07493905675728554,0.006184859640446502,0.0056585616613022555,0.006691340522731663,-8.995610304249668,-10.01474897306072,-8.006792015505692
C,A,extratropics,5,ts,99,9,4000,0.06887408422730658,0.07550014780469905,0.006626063577392469,0.006071540956726462,0.007125586318341263,-9.620546903424998,-10.597234726797886,-8.622109665001902
C,A,extratropics,5,uo,99,9,4000,0.4174647254143018,0.43727405598931995,0.019809330575018158,0.01894892209000547,0.020707456181427962,-4.7451507562366935,-4.983242223589178,-4.530694210818728
