region,variable,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,mean_bias_mse_fraction,temporal_amplitude_mse_fraction,temporal_pattern_mse_fraction,run
extratropics,so,0.005685674992396627,0.002294851073719847,0.0007225685288660315,0.002668255389810658,0.40361981238616684,0.1270857954125609,0.4692943922012564,A
extratropics,sst,0.0,0.0,0.0,0.0,,,,A
extratropics,thetao,0.005593701590017278,0.0027815542920642832,0.0006063995019556034,0.0022057477959972834,0.4972654059752393,0.10840755306607808,0.39432704095866333,A
extratropics,uo,0.1936453107545209,0.014450318093838259,0.016780143457764712,0.16241484920291782,0.0746226078882775,0.08665401394117135,0.8387233781705505,A
extratropics,vo,0.1886852638746287,0.013012364150777053,0.015547647851684058,0.1601252518721675,0.06896333016988054,0.08239990517762236,0.8486367646524967,A
extratropics,zos,0.0,0.0,0.0,0.0,,,,A
global,so,0.005571542028121673,0.0020840923307976476,0.0007742925734240369,0.002713157123899884,0.37406023687489887,0.1389727600574294,0.48696700306765295,A
global,sst,0.0,0.0,0.0,0.0,,,,A
global,thetao,0.004939197148479801,0.002322963200828372,0.0005911412084347559,0.00202509273921655,0.4703119011038747,0.11968366328861745,0.41000443560748295,A
global,uo,0.22077958505945333,0.014203480527567836,0.01809692160909836,0.188479182922787,0.06433330565297968,0.08196827439559266,0.8536984199514271,A
global,vo,0.21656198451123387,0.011948774319861421,0.018483331949443252,0.18612987824192911,0.05517484680808138,0.08534892211649664,0.8594762310754216,A
global,zos,0.0,0.0,0.0,0.0,,,,A
tropics,so,0.00541639616541841,0.0017530635766112002,0.0008619473425030841,0.002801385246304049,0.3236586695419053,0.15913668723242286,0.5172046432256576,A
tropics,sst,0.0,0.0,0.0,0.0,,,,A
tropics,thetao,0.003892537903431011,0.0015878825349296165,0.0005661061985413911,0.001738549169959922,0.4079298838760194,0.1454337022749108,0.44663641384904884,A
tropics,uo,0.2673990868427541,0.013961022195686554,0.020401148136909037,0.23303691651015845,0.05221043332842954,0.07629475619303844,0.8714948104785318,A
tropics,vo,0.265057963683528,0.010362505991038917,0.023464897727272088,0.23123055996521694,0.03909524485524029,0.08852742019586529,0.8723773349488941,A
tropics,zos,0.0,0.0,0.0,0.0,,,,A
extratropics,so,0.005141824575458105,0.0020130673003835365,0.0006940533245481422,0.0024347039505263316,0.3915083587238455,0.13498191436962945,0.47350972690650656,B
extratropics,sst,0.0,0.0,0.0,0.0,,,,B
extratropics,thetao,0.0051031754785684225,0.002476637983910661,0.0005788134148351212,0.0020477240798225443,0.4853131142191145,0.11342220491259569,0.40126468086827105,B
extratropics,uo,0.14910401536831838,0.010953707636646942,0.012402724230313363,0.12574758350135798,0.07346353221668091,0.08318169165113372,0.8433547761321847,B
extratropics,vo,0.15882897748953587,0.010838181646751262,0.01285450121975341,0.1351362946230311,0.06823806221043836,0.08093297220024163,0.8508289655893193,B
extratropics,zos,0.0,0.0,0.0,0.0,,,,B
