reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A-s2718,D-s2718,extratropics,0,so,99,9,4000,0.07542398802374053,0.0649216605407172,-0.010502327483023335,-0.011412169883716931,-0.009604421601666828,13.924386336768102,12.593669881466628,15.276070529314149
A-s2718,D-s2718,extratropics,0,sst,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A-s2718,D-s2718,extratropics,0,thetao,99,9,4000,0.0741264585531018,0.06644974308373301,-0.0076767154693687945,-0.008559856414137467,-0.006579287401571222,10.356242047998887,8.69630478576283,11.792984880409486
A-s2718,D-s2718,extratropics,0,ts,99,9,4000,0.07477803764150963,0.06569014523982361,-0.009087892401686018,-0.009967531814203344,-0.008114892399917698,12.153157114464431,10.656052293008658,13.568996253577353
A-s2718,D-s2718,extratropics,0,uo,99,9,4000,0.4379559155190684,0.36894642934081,-0.06900948617825836,-0.07043938764377201,-0.0677366997749112,15.75717640358113,15.539141509227841,15.986509047846726
A-s2718,D-s2718,extratropics,0,vo,99,9,4000,0.43000581643040087,0.3813762158041798,-0.04862960062622107,-0.04976920125193948,-0.04748307529174181,11.30905647507493,11.060569428435088,11.54724195686134
A-s2718,D-s2718,extratropics,0,zos,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A-s2718,D-s2718,extratropics,5,so,99,9,4000,0.07608146781246003,0.06620522398673394,-0.009876243825726091,-0.010738700749234924,-0.009002663811366204,12.981142595817053,11.70346562838918,14.256667237616867
A-s2718,D-s2718,extratropics,5,sst,99,9,4000,0.025979686265759677,0.025335464821032903,-0.0006442214447267731,-0.0007362975891981166,-0.0005447512299058902,2.47971218026537,2.0833230958088502,2.8468401402638372
A-s2718,D-s2718,extratropics,5,thetao,99,9,4000,0.07428903064923224,0.06705313784359235,-0.007235892805639896,-0.008087558011845523,-0.006168149864294735,9.740190095904389,8.133890989396395,11.119137564179088
A-s2718,D-s2718,extratropics,5,ts,99,9,4000,0.07519059056591111,0.0666305297060041,-0.008560060859907015,-0.009406767566677991,-0.007607164848691924,11.384484142870743,9.946989898299078,12.72259365278612
A-s2718,D-s2718,extratropics,5,uo,99,9,4000,0.4362665321654106,0.3860675725746818,-0.05019895959072879,-0.05120837859203925,-0.04928519273791108,11.506488783718073,11.34426901658143,11.692844393141417
A-s2718,D-s2718,extratropics,5,vo,99,9,4000,0.44652925461558163,0.41830482520492446,-0.02822442941065717,-0.029186962396583846,-0.02742355849683982,6.3208466453011365,6.163112613700783,6.496080773411372
A-s2718,D-s2718,extratropics,5,zos,99,9,4000,0.037047132753901965,0.035897881722219846,-0.0011492510316821192,-0.0014175587429117943,-0.0008869102237855093,3.1021321928377144,2.396156438926973,3.808277499381231
A-s2718,D-s2718,extratropics,10,so,99,9,4000,0.07631597924383914,0.06713507301469561,-0.009180906229143526,-0.010008195457853104,-0.00835304769312777,12.030123075285948,10.821062004216312,13.24052098534114
A-s2718,D-s2718,extratropics,10,sst,99,9,4000,0.03203044886038212,0.03147063009897803,-0.0005598187614040961,-0.0006608191723864883,-0.00046218736196056186,1.7477705786899667,1.4328372921315813,2.0789649391305325
A-s2718,D-s2718,extratropics,10,thetao,99,9,4000,0.0749291900972658,0.06805764152744839,-0.006871548569817407,-0.007698609261018598,-0.00583237064857959,9.170723133264126,7.629817197984588,10.479605961203957
A-s2718,D-s2718,extratropics,10,ts,99,9,4000,0.07562576352202427,0.06759793117754119,-0.00802783234448308,-0.008834594468695972,-0.007107672694457965,10.615208324006087,9.241086457122885,11.882420472667162
A-s2718,D-s2718,extratropics,10,uo,99,9,4000,0.44579559738996627,0.40801190989303054,-0.037783687496935725,-0.038710073058195946,-0.036775899240410255,8.475563176969626,8.282373945312857,8.649397365958736
A-s2718,D-s2718,extratropics,10,vo,99,9,4000,0.482991731840764,0.46232094798724027,-0.020670783853523722,-0.021621736930706067,-0.01976893600907501,4.2797386561347235,4.109296026524165,4.4545228059335535
A-s2718,D-s2718,extratropics,10,zos,99,9,4000,0.041392727763109885,0.04019623312461133,-0.001196494638498552,-0.0013971679689227497,-0.0009652573470790752,2.8905914230781704,2.3120266638367113,3.3724296532751947
A-s2718,D-s2718,extratropics,15,so,99,9,4000,0.07697062658725436,0.06829165219777654,-0.008678974389477817,-0.00949208123877546,-0.007849025149046014,11.2756966836424,10.075221517468881,12.460687336041293
A-s2718,D-s2718,extratropics,15,sst,99,9,4000,0.03743791725068004,0.03692840535284081,-0.0005095118978392307,-0.0005873519642291929,-0.00042821350205978593,1.3609515038659814,1.144016252043708,1.5670492955199844
A-s2718,D-s2718,extratropics,15,thetao,99,9,4000,0.07589211799985959,0.0693587649716183,-0.00653335302824129,-0.007328341871820701,-0.0055350765740586885,8.608737244957876,7.1510588597224,9.845668962302476
A-s2718,D-s2718,extratropics,15,ts,99,9,4000,0.07643327459863002,0.06882727670876662,-0.0076059978898633945,-0.00839182797463619,-0.006698623984365639,9.951160577385131,8.622006616201306,11.161999847138924
A-s2718,D-s2718,extratropics,15,uo,99,9,4000,0.4599158445273237,0.4302352844171504,-0.029680560110173282,-0.030689296153986568,-0.028808655314263194,6.453476318189766,6.285162427454297,6.644131710712475
