region,variable,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,mean_bias_mse_fraction,temporal_amplitude_mse_fraction,temporal_pattern_mse_fraction,run
extratropics,so,0.005688777774493747,0.0022805120261489894,0.0007740493572235474,0.0026342163911211316,0.400879084497537,0.13606602119247507,0.4630548943099741,A-s2718
extratropics,sst,0.0,0.0,0.0,0.0,,,,A-s2718
extratropics,thetao,0.005494731757704511,0.0027003163121603166,0.0006144533541004337,0.002179962091443667,0.4914373314719198,0.11182590546642605,0.396736763061637,A-s2718
extratropics,uo,0.1918053806757855,0.014455607166160737,0.016312142760897395,0.1610376307487273,0.07536601483873641,0.08504528237646423,0.8395887027847989,A-s2718
extratropics,vo,0.18490499905303076,0.012729171677032079,0.01590583695345591,0.15626999042254272,0.06884168487722364,0.08602167077642998,0.845136644346346,A-s2718
extratropics,zos,0.0,0.0,0.0,0.0,,,,A-s2718
global,so,0.005597103009890705,0.002090895452977821,0.0008123089789633474,0.0026938985779494315,0.3735674418146272,0.1451302535486495,0.4813023046367044,A-s2718
global,sst,0.0,0.0,0.0,0.0,,,,A-s2718
global,thetao,0.00491603300361395,0.00230549976111785,0.0005900303762509717,0.0020205028662450444,0.46897564752372406,0.1200216466848818,0.4110027057913772,A-s2718
global,uo,0.21808517415688866,0.014156615515737521,0.01803854974917553,0.18589000889197552,0.06491324121626613,0.08271332436472159,0.8523734344190118,A-s2718
global,vo,0.21213935692303523,0.011816014403385935,0.0196869051978582,0.18063643732179097,0.05569930339551665,0.09280175769082144,0.8514989389136612,A-s2718
global,zos,0.0,0.0,0.0,0.0,,,,A-s2718
tropics,so,0.0054756534405986474,0.0017915392496327843,0.0008775796317449158,0.0028065345592208483,0.3271827315347622,0.16026938908116342,0.5125478793840563,A-s2718
tropics,sst,0.0,0.0,0.0,0.0,,,,A-s2718
tropics,thetao,0.003992808744151306,0.0016736196649661333,0.0005507347217301351,0.0017684543574549279,0.4191584852186228,0.13793165588931727,0.4429098588920323,A-s2718
tropics,uo,0.26327585231901,0.013845529223630085,0.0210077273727338,0.22842259572264598,0.05258943842237961,0.07979359742905263,0.8676169641485671,A-s2718
tropics,vo,0.25952749531963265,0.01046048053165059,0.026048143531997973,0.223018871255984,0.04030586631588887,0.10036756799088752,0.8593265656932232,A-s2718
tropics,zos,0.0,0.0,0.0,0.0,,,,A-s2718
extratropics,so,0.004214821867250726,0.0016972613560893685,0.00046121157572302107,0.0020563489354382208,0.4026887516355395,0.10942611342762712,0.48788513493680596,D-s2718
extratropics,sst,0.0,0.0,0.0,0.0,,,,D-s2718
extratropics,thetao,0.004415568265473288,0.0022551916737224877,0.00039294234806468164,0.0017674342436860334,0.5107364529626998,0.08899021019269954,0.4002733368445814,D-s2718
extratropics,uo,0.13612146601346137,0.009599661641975564,0.011417672862669764,0.11510413150881593,0.07052276120083978,0.08387856226541554,0.8455986765337439,D-s2718
extratropics,vo,0.14544781665787085,0.009031421981579968,0.011349809656423926,0.12506658501986687,0.06209389861673964,0.07803355125722841,0.8598725501260314,D-s2718
extratropics,zos,0.0,0.0,0.0,0.0,,,,D-s2718
global,so,0.004168995884326584,0.0015621154607756895,0.0004969794579869527,0.002109900965563811,0.3746982496788953,0.11920843094505225,0.506093319376021,D-s2718
global,sst,0.0,0.0,0.0,0.0,,,,D-s2718
global,thetao,0.0037691474995819,0.001795557737726063,0.0003680429267305992,0.0016055468351251446,0.4763829852573397,0.09764619898038616,0.4259708157622494,D-s2718
global,uo,0.16080665770271987,0.009978578386009731,0.013284705991638078,0.13754337332507197,0.062053266503784524,0.08261291031990264,0.8553338231763122,D-s2718
global,vo,0.16519309884612765,0.008329206667282296,0.01375321122929171,0.14311068094955354,0.05042103287281207,0.08325536190892822,0.866323605218259,D-s2718
global,zos,0.0,0.0,0.0,0.0,,,,D-s2718
tropics,so,0.004121970808096116,0.0013521639381708212,0.0005580955612588106,0.0022117113086663896,0.32803821305939035,0.13539532113197753,0.5365664658086091,D-s2718
tropics,sst,0.0,0.0,0.0,0.0,,,,D-s2718
tropics,thetao,0.002733585980289828,0.001057753460728168,0.00032731143734229427,0.0013485210822192777,0.3869472072051013,0.11973701932272536,0.4933157734721412,D-s2718
tropics,uo,0.20288122619211793,0.0107239478817372,0.016445714286027747,0.17571156402435287,0.05285825644400523,0.08106079894477035,0.8660809446112239,D-s2718
tropics,vo,0.1998271059498932,0.007290583633956321,0.017824279427310078,0.17471224288862675,0.0364844578982415,0.08919850659189114,0.8743170355098671,D-s2718
tropics,zos,0.0,0.0,0.0,0.0,,,,D-s2718
