region,variable,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,mean_bias_mse_fraction,temporal_amplitude_mse_fraction,temporal_pattern_mse_fraction,run
extratropics,so,0.011266489212418048,0.007538241036012437,0.0016049669098245369,0.0021232812665809577,0.6690851865107815,0.14245492802278856,0.18845988546641965,E-lr1
extratropics,sst,0.0,0.0,0.0,0.0,,,,E-lr1
extratropics,thetao,0.009589214484617267,0.006447548574741517,0.000984676195841161,0.0021569897140344724,0.6723750506451267,0.10268580366209865,0.22493914569276255,E-lr1
extratropics,uo,0.3847007022132798,0.07634396610180373,0.13170699853423581,0.17664973757724017,0.19845029047926796,0.34236225142426924,0.45918745809646266,E-lr1
extratropics,vo,0.5098105384112941,0.09138384102719749,0.15750034199697455,0.260926355387122,0.17925059241021962,0.30893896875452537,0.5118104388352549,E-lr1
extratropics,zos,0.0,0.0,0.0,0.0,,,,E-lr1
global,so,0.010864328907830642,0.006747159308344664,0.001779422404139458,0.0023377471953464155,0.6210378354323882,0.16378576341304527,0.21517640115455694,E-lr1
global,sst,0.0,0.0,0.0,0.0,,,,E-lr1
global,thetao,0.009995716709586277,0.006900776491172433,0.0009802036813705056,0.0021147365370432223,0.6903733560750399,0.09806237109845786,0.21156427282649062,E-lr1
global,uo,0.3805416226379372,0.06705763488273384,0.12201294367788404,0.1914710440773193,0.17621629512663112,0.32062969309922795,0.5031540117741408,E-lr1
global,vo,0.46577218387134695,0.07392383372737654,0.16790823392344725,0.223940116220523,0.15871242699155128,0.36049433550936555,0.48079323749908287,E-lr1
global,zos,0.0,0.0,0.0,0.0,,,,E-lr1
tropics,so,0.010235431907434048,0.005444175770901547,0.0020771799777424002,0.0027140761587900212,0.5318950700016297,0.2029401393637071,0.2651647906346554,E-lr1
tropics,sst,0.0,0.0,0.0,0.0,,,,E-lr1
tropics,thetao,0.010680162679418471,0.007648665928333532,0.0009783851118664612,0.0020531116392183946,0.716156313149904,0.09160769748871782,0.19223598936137043,E-lr1
tropics,uo,0.3770445932328518,0.05227059817181799,0.1066926001638031,0.21808139489723058,0.13863240346092748,0.2829707734276217,0.5783968231114505,E-lr1
tropics,vo,0.39652955672038526,0.04566476101410491,0.18578756681577285,0.16507722889050735,0.11516105228520364,0.46853396844458145,0.4163049792702146,E-lr1
tropics,zos,0.0,0.0,0.0,0.0,,,,E-lr1
extratropics,so,0.008950828009264273,0.005551593463068848,0.0011231730715514788,0.0022760614746438314,0.6202323916092283,0.12548258891679898,0.25428501947395993,F-lr1
extratropics,sst,0.0,0.0,0.0,0.0,,,,F-lr1
extratropics,thetao,0.008521900254038421,0.005072082356276856,0.0009502383574341944,0.0024995795403272777,0.5951820844034474,0.11150545407802542,0.2933124615185162,F-lr1
extratropics,uo,0.28409145631618055,0.04677885123381622,0.06031861235228388,0.17699399273008035,0.16466123916712772,0.21232110650012678,0.6230176543327451,F-lr1
extratropics,vo,0.36182878341275215,0.06163010140929507,0.06839984992019198,0.231798832083265,0.1703294603265192,0.1890392723183816,0.6406312673550989,F-lr1
extratropics,zos,0.0,0.0,0.0,0.0,,,,F-lr1
global,so,0.00848635934606351,0.004865932773234126,0.001216411468536321,0.002404015104292979,0.5733828341232382,0.14333725675905612,0.28327990911769574,F-lr1
global,sst,0.0,0.0,0.0,0.0,,,,F-lr1
global,thetao,0.008557544377770227,0.005346533947681472,0.0009003589794478833,0.00231065145064075,0.6247743174514016,0.1052123062062908,0.2700133763422935,F-lr1
global,uo,0.28831614713504655,0.04268496371930886,0.05816148078444386,0.1874697026312937,0.1480491611151953,0.2017281423964131,0.6502226964883911,F-lr1
global,vo,0.3428096322226381,0.05111542794876133,0.07996553757024817,0.2117286667036285,0.14910732705306354,0.2332651420900404,0.6176275308568957,F-lr1
global,zos,0.0,0.0,0.0,0.0,,,,F-lr1
tropics,so,0.007754500612882748,0.0037446551764512056,0.0013749926564558684,0.0026348527799755703,0.48290088084203836,0.17731543591234725,0.339783683245601,F-lr1
tropics,sst,0.0,0.0,0.0,0.0,,,,F-lr1
tropics,thetao,0.008627071761488428,0.005798701682170028,0.0008210203582877611,0.0020073497210305554,0.672151784810189,0.0951679064445513,0.23268030874525003,F-lr1
tropics,uo,0.2976019720016278,0.036263077606521595,0.055059341556203616,0.2062795528389025,0.12185093184235771,0.18501000240651114,0.6931390657511309,F-lr1
tropics,vo,0.31428845395139504,0.034210039329651054,0.09932517241458476,0.18075324220715916,0.10884917628867671,0.3160318846136978,0.5751189390976252,F-lr1
tropics,zos,0.0,0.0,0.0,0.0,,,,F-lr1
