job_id,group,name,arm,stage,phase,seed,learning_rate,state,gpu,allocated_gpu_hours,seconds,exit_code,output_path,wandb_url
18218850,2026-09-21-initializer-wave3-joint-qualification,A,A,qualification,joint,1729,0.0001,COMPLETED,h200,0.18555555555555556,334,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-joint-qualification/A,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-joint-qualification-A
18218851,2026-09-21-initializer-wave3-joint-qualification,F,F,qualification,joint,1729,0.0001,COMPLETED,h200,0.18555555555555556,334,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-joint-qualification/F,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-joint-qualification-F
18216271,2026-09-21-initializer-wave3-pilots,A-lr1,A,pilot,reconstruction,1729,0.0001,COMPLETED,rtx6000,1.116111111111111,2009,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/A-lr1,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-A-lr1
18216272,2026-09-21-initializer-wave3-pilots,A-lr3,A,pilot,reconstruction,1729,0.0003,COMPLETED,rtx6000,1.1155555555555556,2008,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/A-lr3,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-A-lr3
18216273,2026-09-21-initializer-wave3-pilots,B-lr1,B,pilot,reconstruction,1729,0.0001,COMPLETED,rtx6000,1.1033333333333333,1986,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/B-lr1,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-B-lr1
18216274,2026-09-21-initializer-wave3-pilots,B-lr3,B,pilot,reconstruction,1729,0.0003,COMPLETED,rtx6000,1.1066666666666667,1992,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/B-lr3,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-B-lr3
18216275,2026-09-21-initializer-wave3-pilots,C-lr1,C,pilot,reconstruction,1729,0.0001,COMPLETED,rtx6000,1.1166666666666667,2010,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/C-lr1,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-C-lr1
18216276,2026-09-21-initializer-wave3-pilots,C-lr3,C,pilot,reconstruction,1729,0.0003,COMPLETED,rtx6000,1.1494444444444445,2069,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/C-lr3,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-C-lr3
18216278,2026-09-21-initializer-wave3-pilots,D-lr1,D,pilot,reconstruction,1729,0.0001,COMPLETED,rtx6000,1.1477777777777778,2066,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/D-lr1,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-D-lr1
18216279,2026-09-21-initializer-wave3-pilots,D-lr3,D,pilot,reconstruction,1729,0.0003,COMPLETED,rtx6000,1.1205555555555555,2017,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/D-lr3,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-D-lr3
18216428,2026-09-21-initializer-wave3-pilots,E-lr1,E,pilot,reconstruction,1729,0.0001,COMPLETED,rtx6000,1.1116666666666666,2001,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/E-lr1,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-E-lr1
18216430,2026-09-21-initializer-wave3-pilots,E-lr3,E,pilot,reconstruction,1729,0.0003,COMPLETED,rtx6000,1.1694444444444445,2105,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/E-lr3,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-E-lr3
18218824,2026-09-21-initializer-wave3-pilots,F-lr1,F,pilot,reconstruction,1729,0.0001,COMPLETED,rtx6000,1.1216666666666666,2019,0:0,/scratch/jr7309/runs/2026-09-21-initializer-wave3-pilots/F-lr1,https://wandb.ai/ocean_emulators/surface-initialized-ocean/runs/2026-09-21-initializer-wave3-pilots-F-lr1
