region,channel,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,origins
global,uo_0,0.11235593285499496,0.005565125584725219,0.006518524495257372,0.10027228277501236,99
global,uo_1,0.10408200406205036,0.004972580881881971,0.0054310692039120645,0.0936783539762563,99
global,uo_2,0.09226476016156931,0.00415896626221691,0.004611111947277417,0.08349468195207499,99
global,uo_3,0.08902603496317708,0.003836373730784249,0.0044298732710735585,0.08075978796131927,99
global,uo_4,0.08819355909033039,0.0042310049250286344,0.0047320695897494405,0.07923048457555232,99
global,uo_5,0.09146798586094482,0.006493479416996408,0.006226203968188941,0.07874830247575948,99
global,uo_6,0.09925375777587767,0.006498413410049568,0.007292876394355575,0.08546246797147253,99
global,uo_7,0.13203219433746877,0.0078002001333283355,0.009338669321357958,0.11489332488278246,99
global,uo_8,0.15234602539160408,0.008163312713010741,0.01147296400274705,0.13270974867584628,99
global,uo_9,0.16385337125467614,0.008969311986106213,0.013493189071057584,0.14139087019751234,99
global,uo_10,0.17930050794655789,0.00942140174037855,0.01618925707139479,0.15368984913478456,99
global,uo_11,0.19949786203691555,0.010684619607439005,0.01794395295198776,0.17086928947748878,99
global,uo_12,0.22720918351151492,0.012055799104310224,0.021516926434718586,0.19363645797248613,99
global,uo_13,0.2507146923101679,0.015139637918051955,0.02284864020904631,0.21272641418306962,99
global,uo_14,0.2702683872179051,0.018002907990675308,0.022527509820561585,0.22973796940666816,99
global,uo_15,0.328294217644809,0.021375601528491786,0.028528073507294815,0.27839054260902235,99
global,uo_16,0.3922425306652521,0.022588229479464404,0.034689022359053454,0.33496527882673427,99
global,uo_17,0.3890686498018675,0.02449459571071243,0.035264567519550705,0.32930948657160436,99
global,uo_18,0.3197152544278404,0.02435706115020099,0.03615879375875266,0.2591993995188867,99
global,vo_0,0.15485455885540603,0.006640710404187331,0.007235647088202891,0.1409782013630158,99
global,vo_1,0.13051666839897824,0.005545674011852638,0.006408941100415935,0.11856205328670967,99
global,vo_2,0.10274085299413585,0.004779782312330845,0.005311112946206887,0.09264995773559813,99
global,vo_3,0.09136945230661965,0.0036012587760628164,0.004927365373614983,0.08284082815694185,99
global,vo_4,0.08895972938333913,0.0031967765237876002,0.005423018631458392,0.08033993422809313,99
global,vo_5,0.09673351087603811,0.0035759258632983228,0.007850844407919472,0.08530674060482034,99
global,vo_6,0.10362586310363216,0.0041509362467283305,0.008824130470981314,0.09065079638592254,99
global,vo_7,0.10644310418640703,0.003941348164138525,0.009056306423382692,0.09344544959888583,99
global,vo_8,0.11478165359278983,0.004473170932173853,0.009961320046459958,0.10034716261415601,99
global,vo_9,0.12599694196789268,0.005284286783605084,0.011267305260628947,0.10944534992365866,99
global,vo_10,0.14316540035157052,0.006447951498388539,0.013847063305204447,0.12287038554797754,99
global,vo_11,0.1690054042531607,0.007577431576389438,0.016818005978738594,0.14460996669803267,99
global,vo_12,0.20323528011831843,0.009503463553026021,0.020919305074490493,0.17281251149080193,99
global,vo_13,0.24324738375708657,0.012612613371286696,0.023742464797547835,0.20689230558825206,99
global,vo_14,0.28666316503994393,0.01569460801238792,0.025104695279798216,0.24586386174775784,99
global,vo_15,0.3602709591052147,0.01788053368935085,0.03248370893307523,0.3099067164827886,99
global,vo_16,0.4122301398668928,0.018568115652468995,0.03710942875510859,0.3565525954593152,99
global,vo_17,0.4006317821564887,0.02171681516181575,0.03406755309669416,0.3448474138979788,99
global,vo_18,0.35712267134208736,0.02360673041199354,0.03759674651240481,0.29591919441768905,99
global,thetao_0,0.0,0.0,0.0,0.0,99
global,thetao_1,0.00036705928309311165,8.004658613935184e-05,2.7794893921485962e-05,0.0002592178030322735,99
global,thetao_2,0.00110309605825415,0.00014081530448285232,0.0001277014176497551,0.0008345793361215395,99
global,thetao_3,0.002035190447121559,0.00026552115523286265,0.0001860900758706786,0.0015835792160180156,99
global,thetao_4,0.0028758563688403207,0.000527132994058607,0.00026624191757180403,0.002082481457209912,99
global,thetao_5,0.003517994914073636,0.0008463262698171513,0.00034232429865704877,0.0023293443455994346,99
global,thetao_6,0.004557636533947252,0.0013489580703071528,0.00046390900107106054,0.0027447694625690375,99
global,thetao_7,0.005349886861773947,0.001990571842481546,0.0004659877372041081,0.002893327282088293,99
global,thetao_8,0.005809586921108429,0.0024907768848011504,0.00045592987746496917,0.00286288015884231,99
global,thetao_9,0.005788624866603698,0.0024039566805824915,0.0004930533586172649,0.002891614827403943,99
global,thetao_10,0.00574780610027771,0.0028114016159389928,0.00041119779421680867,0.0025252066901219053,99
global,thetao_11,0.007704713815906737,0.00422892175899061,0.000719880756381857,0.0027559113005342748,99
global,thetao_12,0.007301386904939369,0.004993196045272352,0.0005199455862787625,0.001788245273388248,99
global,thetao_13,0.003167269265959647,0.0020946052263350933,0.0002198242628926085,0.000852839776731945,99
global,thetao_14,0.0020705104523106466,0.0011964360007399666,0.00022352774289668357,0.0006505467086740009,99
global,thetao_15,0.0017677026878386542,0.0008171618229054202,0.00029596055081245224,0.0006545803141207745,99
global,thetao_16,0.0034257743221177265,0.0017539876215199263,0.0005544615923081603,0.0011173251082896333,99
global,thetao_17,0.004396567378351634,0.0028430108360511684,0.0006888967585838687,0.0008646597837166002,99
global,thetao_18,0.004453212145728023,0.0030963535376759724,0.0006817396996503842,0.0006751189084016712,99
global,so_0,0.009181707331015667,0.0015516430566138036,0.0010852917123556844,0.006544772562046181,99
global,so_1,0.007420389933633832,0.0013131865349843047,0.0007758133532359668,0.005331390045413558,99
global,so_2,0.005901460752678715,0.0010135048344812978,0.0006571531215500465,0.0042308027966473745,99
global,so_3,0.004960897185944283,0.0008396325231841045,0.0005781811513800952,0.0035430835113800943,99
global,so_4,0.004895119298802003,0.0009740894894742361,0.000669476724257304,0.003251553085070458,99
global,so_5,0.005054120301616672,0.0013021790082537493,0.0006624153918374209,0.0030895259015255123,99
global,so_6,0.006899307719181765,0.0020759183842311074,0.0010094592626454387,0.003813930072305215,99
global,so_7,0.007888729020679035,0.0029949723857793822,0.001004387633847401,0.003889369001052257,99
global,so_8,0.005905564684519974,0.0025169740570871587,0.0006602296516939464,0.0027283609757388825,99
global,so_9,0.004093129921781713,0.0018473234613182203,0.0004739387477844078,0.0017718677126790767,99
global,so_10,0.00273112602105622,0.0014154971608378044,0.0002811945876523947,0.0010344342725659957,99
global,so_11,0.0037801361297326243,0.0022667649018051207,0.00044101884939461486,0.0010723523785328831,99
global,so_12,0.0030442650165860806,0.0022021937475154804,0.0002591653593038921,0.0005829059097667204,99
global,so_13,0.0008580404861038031,0.0005453119700146213,0.00011210903790302414,0.00020061947818617766,99
global,so_14,0.0005367901942874015,0.0002622751056120652,0.00013896678553526872,0.00013554830314007178,99
global,so_15,0.0007160293585227936,0.0003202750441431682,0.00022297038783221365,0.0001727839265473982,99
global,so_16,0.0012841294528320637,0.000599920907444247,0.00032851064602554676,0.0003556978993622539,99
global,so_17,0.0053585663563766855,0.004102090322999494,0.0005265285741344216,0.0007299474592427729,99
global,so_18,0.004796232041403508,0.003912042495161203,0.0004022860376039703,0.0004819035086383272,99
global,zos,0.0,0.0,0.0,0.0,99
tropics,uo_0,0.1781084595605191,0.008326806444131227,0.009174707817519745,0.16060694529886813,99
tropics,uo_1,0.18384902065180694,0.00811661906932273,0.00915765627886532,0.16657474530361893,99
tropics,uo_2,0.15751711152794529,0.006505319801261124,0.00665649689347269,0.1443552948332115,99
tropics,uo_3,0.15162702832099484,0.00601866967724294,0.005794541816285647,0.13981381682746624,99
tropics,uo_4,0.15784813096053954,0.007339803049020972,0.007143092635289151,0.1433652352762294,99
tropics,uo_5,0.1650850634513078,0.013330109974410101,0.010914730005458399,0.14084022347143932,99
tropics,uo_6,0.16008495229630512,0.01182487477927756,0.011832447325251327,0.1364276301917762,99
