region,channel,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,origins
global,uo_0,0.0433143643265144,0.002337282158706737,0.0021303640598451016,0.038846718107962565,99
global,uo_1,0.04935883096694741,0.0026253879412651295,0.0023104267627042374,0.04442301626297804,99
global,uo_2,0.053627112662473886,0.0029591635352842157,0.0024209338801272867,0.048247015247062375,99
global,uo_3,0.062392897667979966,0.0032745684772968985,0.002835443989526816,0.05628288520115624,99
global,uo_4,0.0687346159334702,0.004057014023964802,0.0038732107081182045,0.0608043912013872,99
global,uo_5,0.0749803816279797,0.006495966797672724,0.005111226464346225,0.06337318836596076,99
global,uo_6,0.07988056449618502,0.006341994910462642,0.005482758736819393,0.06805581084890298,99
global,uo_7,0.10242105790216381,0.005833513730072514,0.0068058772086339175,0.0897816669634574,99
global,uo_8,0.11884494493391708,0.006724669601344275,0.008442371849333921,0.1036779034832389,99
global,uo_9,0.12930253687570759,0.007673706934941273,0.009748172147128744,0.11188065779363757,99
global,uo_10,0.14465231235779166,0.008532135800771284,0.011934293501275518,0.12418588305574488,99
global,uo_11,0.16542552218233175,0.009837600209973601,0.01421683819365093,0.14137108377870722,99
global,uo_12,0.19315798117442676,0.011104577115270008,0.0174392803686681,0.16461412369048867,99
global,uo_13,0.21762264935605494,0.013490605097312793,0.018628378508662523,0.18550366575007968,99
global,uo_14,0.23976196556877116,0.015789050722093596,0.019201941820042038,0.20477097302663552,99
global,uo_15,0.29698554991888065,0.018503346522055437,0.024992127815842428,0.25349007558098285,99
global,uo_16,0.35994395873147045,0.020129854031562217,0.030044489576969733,0.3097696151229385,99
global,uo_17,0.3590674143051201,0.02133245053004537,0.03200753841603312,0.3057274253590416,99
global,uo_18,0.2958518353634915,0.022550101194090216,0.034783739833395805,0.23851799433600548,99
global,vo_0,0.0642792763951941,0.003155731893979857,0.0029887932425715215,0.05813475125864273,99
global,vo_1,0.06345160965965661,0.0029062817657484717,0.002783810257186598,0.05776151763672155,99
global,vo_2,0.05666589346328493,0.0024727697383524895,0.0026757217036768805,0.05151740202125555,99
global,vo_3,0.060330816803708325,0.0024897370431470633,0.0029479207931246212,0.054893158967436635,99
global,vo_4,0.0683574088160971,0.002927092754282323,0.004021682372302822,0.06140863368951196,99
global,vo_5,0.08195227321015135,0.0034513929581725714,0.006596873626926715,0.07190400662505209,99
global,vo_6,0.08779214041611513,0.003785945050343765,0.007916054482717753,0.07609014088305362,99
global,vo_7,0.09016381921044471,0.003422710680226784,0.007906029452461875,0.07883507907775604,99
global,vo_8,0.09802601250516843,0.004030088551008747,0.008541316693159277,0.08545460726100042,99
global,vo_9,0.1085095602800516,0.004748753782609333,0.009437631332165491,0.09432317516527679,99
global,vo_10,0.12524861530970294,0.0058051400286463556,0.011433205106772098,0.10801027017428451,99
global,vo_11,0.14952486962454048,0.006965814678589051,0.013366379680064827,0.1291926752658866,99
global,vo_12,0.18275059994027082,0.00905453867424938,0.016507675942026703,0.1571883853239947,99
global,vo_13,0.22328799823919815,0.012488296341892482,0.020144068128429483,0.19065563376887618,99
global,vo_14,0.264238733330878,0.015053742543649277,0.021308651773675014,0.2278763390135537,99
global,vo_15,0.32974406072471907,0.016029379100620186,0.025937817050896022,0.28777686457320284,99
global,vo_16,0.3802925715792819,0.01706953149939876,0.03037059365939127,0.33285244642049194,99
global,vo_17,0.37227546232127107,0.01997326219957254,0.030428500284811928,0.3218736998368867,99
global,vo_18,0.3317771562466912,0.022424717393875353,0.035998287774182514,0.27335415107863337,99
global,thetao_0,0.0,0.0,0.0,0.0,99
global,thetao_1,0.0003691683697671263,7.467115178973966e-05,2.4828245506785725e-05,0.0002696689724706005,99
global,thetao_2,0.0009974427047279234,0.00014335738964168688,0.00011095409654755452,0.0007431312185386807,99
global,thetao_3,0.001782153459287999,0.00022789982570730062,0.0001620312867645656,0.0013922223468161314,99
global,thetao_4,0.002488052652568671,0.0004049741903975512,0.00024037546876790546,0.001842702993403215,99
global,thetao_5,0.0031123021757725987,0.0006502345348552706,0.00031832409884285343,0.0021437435420744748,99
global,thetao_6,0.004131084491035559,0.001112910399765208,0.00040772930582491705,0.002610444785445432,99
global,thetao_7,0.004896907867068478,0.0017223168958638868,0.00042968525094879827,0.002744905720255791,99
global,thetao_8,0.005461651009562694,0.0022625575337726716,0.0004254063801546478,0.002773687095635375,99
global,thetao_9,0.005617738316613861,0.002325710652639668,0.00046869664411056285,0.0028233310198636278,99
global,thetao_10,0.005725339994434051,0.00288024262303443,0.00038332152494274124,0.0024617758464568784,99
global,thetao_11,0.007888746349165008,0.0045081671930462,0.0006868028899799551,0.002693776266138854,99
global,thetao_12,0.007531566789795495,0.005263115710448586,0.00048369309316855153,0.0017847579861783604,99
global,thetao_13,0.002910398582063903,0.0018909463805182145,0.0002075966907892669,0.0008118555107564191,99
global,thetao_14,0.001917095657639334,0.0010912780681545896,0.00020859622302047055,0.0006172213664642772,99
global,thetao_15,0.0016686022614702172,0.0007776193609632337,0.0002756490835355665,0.0006153338169714107,99
global,thetao_16,0.0031921672826964406,0.0016054065849145983,0.0005199798665309423,0.0010667808312508908,99
global,thetao_17,0.004139164648969847,0.0026755052266249336,0.0006222107507675939,0.0008414486715773182,99
global,thetao_18,0.004015072379835995,0.0027031255569322,0.000648891780948068,0.000663055041955726,99
global,so_0,0.0077994167123512795,0.0013114002564941457,0.0008484787013526668,0.00563953775450447,99
global,so_1,0.006467668741202773,0.0011604580038165485,0.0006457331113666405,0.0046614776260195815,99
global,so_2,0.005396055001013443,0.0009397948616936609,0.0006030762423276132,0.0038531838969921707,99
global,so_3,0.004638739064307616,0.0008188403570287755,0.0005312619672460972,0.0032886367400327444,99
global,so_4,0.00463710737288903,0.0009414212182035914,0.0006305108129994938,0.0030651753416859515,99
global,so_5,0.004792556620857375,0.001211487672275771,0.0006359291956744768,0.0029451397529071223,99
global,so_6,0.006596691794580448,0.0019143028398977985,0.0009543563417601881,0.0037280326129224667,99
global,so_7,0.007508046501497348,0.002799404465294498,0.0009386753961544343,0.003769966640048407,99
global,so_8,0.005677653384217621,0.002367414840981596,0.0006271662259895043,0.002683072317246508,99
global,so_9,0.003945394831290544,0.0017782634130716886,0.00046497952932717104,0.0017021518888916873,99
global,so_10,0.0027074869424022654,0.001410067238914905,0.0002828150702126797,0.0010146046332746952,99
global,so_11,0.003932500016012683,0.0024536479054483506,0.0004157954556784252,0.0010630566548858883,99
global,so_12,0.0031386222509727,0.002293397954126633,0.0002507124203820012,0.0005945118764640741,99
global,so_13,0.0008505359972058734,0.0005334062029791839,0.00011192621638664726,0.00020520357784001474,99
global,so_14,0.00053363807986432,0.0002621384016116599,0.00013514945265678916,0.00013635022559585792,99
global,so_15,0.0007034558252250973,0.00032244522760371445,0.0002122282196758357,0.0001687823779455269,99
global,so_16,0.0012871604352617664,0.0006510534817155859,0.00030401607517649133,0.0003320908783696559,99
global,so_17,0.004785619937357118,0.0035715966616982945,0.0004752176703697781,0.0007388056052890444,99
global,so_18,0.00381257229369676,0.002939652751882965,0.0003745815970162484,0.0004983379447975429,99
global,zos,0.0,0.0,0.0,0.0,99
tropics,uo_0,0.08437737169333312,0.004348017463531141,0.003956295596695596,0.07607305863310637,99
tropics,uo_1,0.0971166722416193,0.004922712409105128,0.004383381227973215,0.08781057860454093,99
tropics,uo_2,0.10257313302175716,0.005534336873552359,0.004193338371628209,0.09284545777657661,99
tropics,uo_3,0.12278881994326804,0.006129973047306153,0.0049106045794104596,0.11174824231655144,99
