region,channel,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,origins
global,uo_0,0.042696603253087766,0.002529121033151165,0.002194578885362481,0.03797290333457413,99
global,uo_1,0.04846180636608032,0.0030254804813808185,0.0024049326335516615,0.04303139325114784,99
global,uo_2,0.05234383375400876,0.0034348453607141957,0.0024350029608413057,0.046473985432453256,99
global,uo_3,0.06127661220655061,0.0038822883322142854,0.002924080624063829,0.054470243250272506,99
global,uo_4,0.06696607587406189,0.004236762766243092,0.003714258876707304,0.059015054231111495,99
global,uo_5,0.07365759256724144,0.006955827254413091,0.004809217755145656,0.061892547557682684,99
global,uo_6,0.0782438167289399,0.006970247085316631,0.005527800014940796,0.06574576962868248,99
global,uo_7,0.10039953838473147,0.007057848197420035,0.006756373862318826,0.0865853163249926,99
global,uo_8,0.1155890237286769,0.007399270497614973,0.008639070188756367,0.09955068304230555,99
global,uo_9,0.1257855157386193,0.008419155084651292,0.00983246501563581,0.1075338956383322,99
global,uo_10,0.1404040522756026,0.008784288538975626,0.012051854130976565,0.11956790960565042,99
global,uo_11,0.15955116095264457,0.009677284299609677,0.014303770569881453,0.13557010608315342,99
global,uo_12,0.18682526366444024,0.01100263513849423,0.01789624631431541,0.15792638221163063,99
global,uo_13,0.21025763355949328,0.013455273906237124,0.019633758787930625,0.17716860086532557,99
global,uo_14,0.2291789425458017,0.015981603601421444,0.020481339215024895,0.19271599972935535,99
global,uo_15,0.2831734132083004,0.018877747151830198,0.027527533184585427,0.2367681328718848,99
global,uo_16,0.34201624667845715,0.020295529221110054,0.03353779254493088,0.28818292491241615,99
global,uo_17,0.3398367551664513,0.02109809976559576,0.03586314174593974,0.28287551365491576,99
global,uo_18,0.2869582497005151,0.023196435421773142,0.03734947014822068,0.22641234413052125,99
global,vo_0,0.06350947747256779,0.0034855160684536526,0.003164184873685156,0.05685977653042897,99
global,vo_1,0.06266352746416817,0.0035288988153440275,0.0029534098540084015,0.05618121879481574,99
global,vo_2,0.055878787068257614,0.0029359233666935844,0.0028053133387413213,0.050137550362822705,99
global,vo_3,0.05966097410257657,0.0026121411778462066,0.003082349378087976,0.053966483546642394,99
global,vo_4,0.06788631296466967,0.0037033805127143285,0.004196490487122598,0.05998644196483275,99
global,vo_5,0.0798863227502309,0.004349254521098917,0.00674974688212653,0.06878732134700545,99
global,vo_6,0.08523058772030437,0.004019159575520479,0.008317323237728344,0.07289410490705556,99
global,vo_7,0.08769822820895047,0.0037803964203925663,0.00851693241396111,0.07540089937459678,99
global,vo_8,0.09512812874656106,0.00435837426441425,0.009334150094481292,0.08143560438766552,99
global,vo_9,0.10512450687228651,0.005043122208613833,0.010442392801335904,0.08963899186233677,99
global,vo_10,0.12089926556534575,0.00602571523518275,0.012640520284977424,0.10223303004518557,99
global,vo_11,0.14377447585171502,0.007010123907129612,0.015021637231775313,0.1217427147128101,99
global,vo_12,0.17497582214502955,0.008725143008303548,0.018728579094525574,0.14752210004220045,99
global,vo_13,0.21279120026781717,0.011597685788531566,0.02295067402686887,0.17824284045241676,99
global,vo_14,0.2504149413610133,0.01414807968086999,0.024778948727377976,0.2114879129527653,99
global,vo_15,0.31405348289081053,0.016932267007921765,0.02999082496119897,0.26713039092168983,99
global,vo_16,0.3608763959943462,0.017873561911759935,0.035672004745387675,0.30733082933719863,99
global,vo_17,0.35370194226841,0.020665209002086925,0.033759023402935136,0.29927770986338803,99
global,vo_18,0.3199964910505465,0.024267888161258397,0.03644980522861448,0.25927879766067363,99
global,thetao_0,0.0,0.0,0.0,0.0,99
global,thetao_1,0.0004774696958200408,0.00015082633129666595,2.827708944603913e-05,0.00029836627507733444,99
global,thetao_2,0.0010748095508504667,0.000179755463744442,0.00011941666311732073,0.0007756374239887024,99
global,thetao_3,0.0019024498965847171,0.0002913178489277802,0.00017318558028111338,0.0014379464673758217,99
global,thetao_4,0.002582911110030497,0.0004366620614303857,0.00025729540470735074,0.001888953643892762,99
global,thetao_5,0.00316001185886441,0.0006672295825782206,0.00032257662015614723,0.002170205656130042,99
global,thetao_6,0.004189629183953474,0.001176560334489968,0.00043016570740583913,0.0025829031420576683,99
global,thetao_7,0.004902190234367559,0.0016718627342846,0.00045986450562512796,0.0027704629944578303,99
global,thetao_8,0.005479856550190015,0.002273260446937066,0.0004441794245569464,0.0027624166786960024,99
global,thetao_9,0.005723601986168672,0.0024477989543515177,0.0005101161902766011,0.0027656868415405537,99
global,thetao_10,0.005822801746837355,0.0029413948370301634,0.00043732163390668535,0.0024440852759005046,99
global,thetao_11,0.007742474615910572,0.004348022169257953,0.0007986528443109178,0.0025957996023416984,99
global,thetao_12,0.00734253018740164,0.005120858063363839,0.0005348027995259383,0.0016868693245118574,99
global,thetao_13,0.003113080883799608,0.0020908775533368725,0.00020564220292625771,0.0008165611275364798,99
global,thetao_14,0.0020723704436051817,0.0012520021051175977,0.00021179255372388628,0.0006085757847636954,99
global,thetao_15,0.001682777675779443,0.0007909470870418861,0.000274801204952043,0.0006170293837855084,99
global,thetao_16,0.003138570892902514,0.0015735593620379406,0.0005239313858150892,0.001041080145049483,99
global,thetao_17,0.004172475903311352,0.00273041446296516,0.0006273257694014099,0.0008147356709447898,99
global,thetao_18,0.003821842780149881,0.002588872184800322,0.0006079810563140033,0.0006249895390355551,99
global,so_0,0.007755300988519092,0.00121926437179428,0.0009166982884317517,0.005619338328293059,99
global,so_1,0.006381012616205342,0.0010912989000804033,0.0006401443741453741,0.004649569341979564,99
global,so_2,0.005365732086158427,0.0009391075879457524,0.0006105010669693265,0.0038161234312433555,99
global,so_3,0.004682361669648741,0.0008663689378057298,0.0005790622781795664,0.0032369304536634417,99
global,so_4,0.004717096472652596,0.0010118368414981996,0.0006843502931241073,0.003020909338030287,99
global,so_5,0.004924925601071124,0.001331541441267755,0.0006668411224612187,0.002926543037342151,99
global,so_6,0.006698604469757421,0.00205406015064822,0.0009872890568665,0.0036572552622427027,99
global,so_7,0.0075493222769246,0.00279658536240582,0.0009819528522305861,0.0037707840622881973,99
global,so_8,0.005749713466697913,0.002440611889335498,0.0006586546992291217,0.0026504468781332947,99
global,so_9,0.004024873111792312,0.0018241681422032803,0.0004928716748590572,0.0017078332947299628,99
global,so_10,0.00273958028038024,0.0014163215377404142,0.0003024403171710374,0.001020818425468787,99
global,so_11,0.003794075335833964,0.0023075821466390736,0.0004750783416096156,0.0010114148475852734,99
global,so_12,0.0031187808797171084,0.0022643162173686367,0.0002837013054334218,0.0005707633569150631,99
global,so_13,0.0008888634166087562,0.0005440501717195696,0.00012807320875253425,0.00021674003613664675,99
global,so_14,0.0005780432351392509,0.0002593930779175145,0.00016601653345046068,0.00015263362377127378,99
