run,arm,phase,learning_rate,step,elapsed_hours,split,ts_rmse
A,A,reconstruction,0.0003,0,0.0,validation,1.0216055628585514
A,A,reconstruction,0.0003,22512,0.3333348781247332,validation,0.06612918710319425
A,A,reconstruction,0.0003,22512,0.3333348781247332,train probe,0.05788847330794815
A,A,reconstruction,0.0003,44933,0.6667776408511176,validation,0.06527768099589704
A,A,reconstruction,0.0003,44933,0.6667776408511176,train probe,0.05566556200718184
A,A,reconstruction,0.0003,67298,1.000221885770556,validation,0.06479089547635648
A,A,reconstruction,0.0003,67298,1.000221885770556,train probe,0.054843978871169555
A,A,reconstruction,0.0003,89360,1.3336612370877832,validation,0.06499435302844567
A,A,reconstruction,0.0003,89360,1.3336612370877832,train probe,0.05422776132227661
A,A,reconstruction,0.0003,111776,1.6670155645277798,validation,0.06529549816023679
A,A,reconstruction,0.0003,111776,1.6670155645277798,train probe,0.053763680137982585
A,A,reconstruction,0.0003,134211,2.0003666099239004,validation,0.0648780097424055
A,A,reconstruction,0.0003,134211,2.0003666099239004,train probe,0.053423600623490455
A,A,reconstruction,0.0003,156608,2.333721404293901,validation,0.06484453964901597
A,A,reconstruction,0.0003,156608,2.333721404293901,train probe,0.05307326874781528
A,A,reconstruction,0.0003,179151,2.6670716236994485,validation,0.06487489104790074
A,A,reconstruction,0.0003,179151,2.6670716236994485,train probe,0.05278562113245885
A,A,reconstruction,0.0003,201688,3.000427296998063,validation,0.06467332936992815
A,A,reconstruction,0.0003,201688,3.000427296998063,train probe,0.052812485331612306
A,A,reconstruction,0.0003,224103,3.3338814957808385,validation,0.06476234545646926
A,A,reconstruction,0.0003,224103,3.3338814957808385,train probe,0.05242158037279112
A,A,reconstruction,0.0003,245499,3.6672474197413893,validation,0.06479533338380146
A,A,reconstruction,0.0003,245499,3.6672474197413893,train probe,0.05234210159424867
A,A,reconstruction,0.0003,266868,4.000599494405,validation,0.06469345081526615
A,A,reconstruction,0.0003,266868,4.000599494405,train probe,0.05224666416890713
A,A,reconstruction,0.0003,288174,4.333953161357511,validation,0.0646936595559559
A,A,reconstruction,0.0003,288174,4.333953161357511,train probe,0.0522845340744466
A,A,reconstruction,0.0003,309380,4.667310934659181,validation,0.06467336897104843
A,A,reconstruction,0.0003,309380,4.667310934659181,train probe,0.052064177845002016
A,A,reconstruction,0.0003,330693,5.000679284466945,validation,0.0649715511370461
A,A,reconstruction,0.0003,330693,5.000679284466945,train probe,0.05210856134645896
B,B,reconstruction,0.0003,0,0.0,validation,1.0209907812548602
B,B,reconstruction,0.0003,18570,0.33333704369445005,validation,0.06502034473569189
B,B,reconstruction,0.0003,18570,0.33333704369445005,train probe,0.05700088894719732
B,B,reconstruction,0.0003,37129,0.6667985698036177,validation,0.06388288080553059
B,B,reconstruction,0.0003,37129,0.6667985698036177,train probe,0.05411176886496937
B,B,reconstruction,0.0003,55669,1.0002538380058346,validation,0.06303067222485491
B,B,reconstruction,0.0003,55669,1.0002538380058346,train probe,0.0529311447365246
B,B,reconstruction,0.0003,74114,1.333711001370846,validation,0.06321687765054719
B,B,reconstruction,0.0003,74114,1.333711001370846,train probe,0.05223935297681946
B,B,reconstruction,0.0003,92617,1.6670774362433358,validation,0.06310642606528
B,B,reconstruction,0.0003,92617,1.6670774362433358,train probe,0.051753455554469
B,B,reconstruction,0.0003,111140,2.000443396206958,validation,0.06265660127698264
B,B,reconstruction,0.0003,111140,2.000443396206958,train probe,0.051373714224563376
B,B,reconstruction,0.0003,129630,2.3339017720569486,validation,0.06273413181257796
B,B,reconstruction,0.0003,129630,2.3339017720569486,train probe,0.05110688978938616
B,B,reconstruction,0.0003,148144,2.6672630212736195,validation,0.06309803560306226
B,B,reconstruction,0.0003,148144,2.6672630212736195,train probe,0.05097286815703042
B,B,reconstruction,0.0003,166676,3.00063205063723,validation,0.0632329852399437
B,B,reconstruction,0.0003,166676,3.00063205063723,train probe,0.05115001235097236
B,B,reconstruction,0.0003,185179,3.3340010873197268,validation,0.06251913388741802
B,B,reconstruction,0.0003,185179,3.3340010873197268,train probe,0.05050449655110998
B,B,reconstruction,0.0003,203479,3.6674501671541817,validation,0.06281205224000938
B,B,reconstruction,0.0003,203479,3.6674501671541817,train probe,0.05038542258590743
B,B,reconstruction,0.0003,221816,4.000817873012792,validation,0.06293243697593053
B,B,reconstruction,0.0003,221816,4.000817873012792,train probe,0.05021831610613246
B,B,reconstruction,0.0003,240131,4.33418265084196,validation,0.06285431758634166
B,B,reconstruction,0.0003,240131,4.33418265084196,train probe,0.05017476867449968
B,B,reconstruction,0.0003,258446,4.667542572370569,validation,0.06262555400832716
B,B,reconstruction,0.0003,258446,4.667542572370569,train probe,0.05004308248895112
B,B,reconstruction,0.0003,276773,5.000906639193337,validation,0.06276362298489013
B,B,reconstruction,0.0003,276773,5.000906639193337,train probe,0.04998119483038736
B,B,reconstruction,0.0003,295047,5.334266338978891,validation,0.0631625736004472
B,B,reconstruction,0.0003,295047,5.334266338978891,train probe,0.05008172373033463
C,C,reconstruction,0.0003,0,0.0,validation,1.043722901592143
C,C,reconstruction,0.0003,8657,0.33334710716693533,validation,0.06052344199459167
C,C,reconstruction,0.0003,8657,0.33334710716693533,train probe,0.05207284608201711
C,C,reconstruction,0.0003,17290,0.6670270853835973,validation,0.05844630325850831
C,C,reconstruction,0.0003,17290,0.6670270853835973,train probe,0.04777591428317286
C,C,reconstruction,0.0003,25808,1.0006810269719346,validation,0.05807784770371355
C,C,reconstruction,0.0003,25808,1.0006810269719346,train probe,0.04632982228002106
C,C,reconstruction,0.0003,34227,1.3343437050872147,validation,0.056749089979314674
C,C,reconstruction,0.0003,34227,1.3343437050872147,train probe,0.045158960461530374
C,C,reconstruction,0.0003,42581,1.6680014880344323,validation,0.056514614206792727
C,C,reconstruction,0.0003,42581,1.6680014880344323,train probe,0.04437031799284401
C,C,reconstruction,0.0003,51038,2.001653323143045,validation,0.056310307109169226
C,C,reconstruction,0.0003,51038,2.001653323143045,train probe,0.04359976361483303
C,C,reconstruction,0.0003,59479,2.3353435272224954,validation,0.05673032883806318
