duacs_example_cap,validation_checks,variant,seed,update,duacs_examples_lower,duacs_examples_upper,preceding_gpu_hours,rmse_5d,rmse_10d,rmse_20d,rmse_30d
4096,4,D0,15,512,2048,2048,0.2672220451113147,0.055507657932957255,0.10212355425739385,0.15737732967154738,0.18996642291268823
4096,4,D0,16,768,3072,3072,0.38891142413641017,0.05302043905968107,0.09483022231565168,0.14216239244515438,0.1679499253452394
4096,4,D0,17,256,1024,1024,0.13873469616493417,0.05618243918273643,0.10137576577201216,0.15379454084877012,0.18851919853074775
4096,6,D4,15,512,1192,1200,0.2213058336213645,0.06380192434680267,0.11586400191727803,0.17413185408904058,0.21011327365559906
4096,6,D4,16,1280,2964,2964,0.4550357238544772,0.05542447524837041,0.09909771147537035,0.14445127177847353,0.1669348482052575
4096,6,D4,17,768,1868,1900,0.28408804890699685,0.06140615053381309,0.11081693232792665,0.15880846905964086,0.18160477825728108
16384,16,D0,15,512,2048,2048,0.2672220451113147,0.055507657932957255,0.10212355425739385,0.15737732967154738,0.18996642291268823
16384,16,D0,16,768,3072,3072,0.38891142413641017,0.05302043905968107,0.09483022231565168,0.14216239244515438,0.1679499253452394
16384,16,D0,17,256,1024,1024,0.13873469616493417,0.05618243918273643,0.10137576577201216,0.15379454084877012,0.18851919853074775
16384,27,D4,15,3840,9032,9032,1.4472855703584435,0.055699816501717826,0.10362537886407809,0.1608099587386852,0.19364144073198364
16384,26,D4,16,2816,6548,6572,0.9655896018786977,0.05268194069656838,0.09445492463971591,0.14169123089727143,0.16690681262995416
16384,26,D4,17,768,1868,1900,0.28408804890699685,0.06140615053381309,0.11081693232792665,0.15880846905964086,0.18160477825728108
65536,64,D0,15,512,2048,2048,0.2672220451113147,0.055507657932957255,0.10212355425739385,0.15737732967154738,0.18996642291268823
65536,64,D0,16,768,3072,3072,0.38891142413641017,0.05302043905968107,0.09483022231565168,0.14216239244515438,0.1679499253452394
65536,64,D0,17,256,1024,1024,0.13873469616493417,0.05618243918273643,0.10137576577201216,0.15379454084877012,0.18851919853074775
65536,107,D4,15,3840,9032,9032,1.4472855703584435,0.055699816501717826,0.10362537886407809,0.1608099587386852,0.19364144073198364
65536,107,D4,16,2816,6548,6572,0.9655896018786977,0.05268194069656838,0.09445492463971591,0.14169123089727143,0.16690681262995416
65536,105,D4,17,26368,63868,63900,9.855899781868276,0.05976853902704049,0.10822523844523058,0.158877515867545,0.1862379096790157
262144,256,D0,15,512,2048,2048,0.2672220451113147,0.055507657932957255,0.10212355425739385,0.15737732967154738,0.18996642291268823
262144,256,D0,16,768,3072,3072,0.38891142413641017,0.05302043905968107,0.09483022231565168,0.14216239244515438,0.1679499253452394
262144,256,D0,17,256,1024,1024,0.13873469616493417,0.05618243918273643,0.10137576577201216,0.15379454084877012,0.18851919853074775
262144,426,D4,15,105216,252564,252588,35.66049594971558,0.05820275469118418,0.10160050880147072,0.14420857476864407,0.16673112488582878
262144,428,D4,16,2816,6548,6572,0.9655896018786977,0.05268194069656838,0.09445492463971591,0.14169123089727143,0.16690681262995416
262144,425,D4,17,89344,215428,215444,35.90883457412633,0.0581314165618282,0.10146119339772151,0.14608017136137436,0.17020510193876012
524288,512,D0,15,512,2048,2048,0.2672220451113147,0.055507657932957255,0.10212355425739385,0.15737732967154738,0.18996642291268823
524288,512,D0,16,768,3072,3072,0.38891142413641017,0.05302043905968107,0.09483022231565168,0.14216239244515438,0.1679499253452394
524288,512,D0,17,256,1024,1024,0.13873469616493417,0.05618243918273643,0.10137576577201216,0.15379454084877012,0.18851919853074775
524288,853,D4,15,189696,455268,455292,63.9976755721329,0.05759062892834733,0.10055947253593599,0.14365092070344002,0.1660768177269207
524288,855,D4,16,2816,6548,6572,0.9655896018786977,0.05268194069656838,0.09445492463971591,0.14169123089727143,0.16690681262995416
524288,850,D4,17,162560,392064,392064,60.90090889988571,0.05754739842485258,0.10088827695238868,0.14593303556817994,0.17010577928170137
671272,655,D0,15,512,2048,2048,0.2672220451113147,0.055507657932957255,0.10212355425739385,0.15737732967154738,0.18996642291268823
671272,655,D0,16,768,3072,3072,0.38891142413641017,0.05302043905968107,0.09483022231565168,0.14216239244515438,0.1679499253452394
671272,655,D0,17,256,1024,1024,0.13873469616493417,0.05618243918273643,0.10137576577201216,0.15379454084877012,0.18851919853074775
671272,1092,D4,15,234752,562988,562996,79.02469351072796,0.05761279593550138,0.10026464970459141,0.14400754802446478,0.1670922643642661
671272,1095,D4,16,2816,6548,6572,0.9655896018786977,0.05268194069656838,0.09445492463971591,0.14169123089727143,0.16690681262995416
671272,1089,D4,17,162560,392064,392064,60.90090889988571,0.05754739842485258,0.10088827695238868,0.14593303556817994,0.17010577928170137
