split,variant,seed,region,lead_step,method,weighted_squared_error,weight,weighted_bias_u,weighted_bias_v,vector_rmse_m_per_s,bias_u_m_per_s,bias_v_m_per_s,forecast_dates,minimum_valid_cells,maximum_valid_cells,minimum_lead_days,maximum_lead_days
test,D0,15,global_outside_5deg,1,damped_linear,27433.24774169922,3845924.107421875,-96.93379259633457,14.2399168461144,0.0844575069837466,-2.5204291579563796e-05,3.702599543926041e-06,118,624489,624500,5.0,5.0
test,D0,15,global_outside_5deg,1,persistence,31544.43113708496,3845924.107421875,-131.30033182287653,14.999974189893774,0.09056512585202303,-3.414012553432679e-05,3.900226257961456e-06,118,624489,624500,5.0,5.0
test,D0,15,global_outside_5deg,1,samudra,12013.820503234863,3845924.107421875,-6438.944460980918,-2032.6920149859836,0.05589078565097227,-0.001674225564814195,-0.0005285314941767282,118,624489,624500,5.0,5.0
test,D0,15,global_outside_5deg,1,seasonal_climatology,140708.361328125,3845924.107421875,-2012.4686375502622,893.7283722568222,0.19127561089773085,-0.0005232731019487864,0.0002323832575198514,118,624489,624500,5.0,5.0
test,D0,15,global_outside_5deg,2,damped_linear,89074.21203613281,3845923.544921875,-189.48336549861529,31.83424637260531,0.15218633957135283,-4.926862515215819e-05,8.277399693667593e-06,118,624487,624500,10.0,10.0
test,D0,15,global_outside_5deg,2,persistence,87412.56359863281,3845923.544921875,-258.1695160167038,33.37373716113186,0.15076016545388077,-6.712809368183845e-05,8.67769126747157e-06,118,624487,624500,10.0,10.0
test,D0,15,global_outside_5deg,2,samudra,41182.53762817383,3845923.544921875,-16364.270465170608,-3977.446686882229,0.10347995441835486,-0.004254965101107601,-0.0010341980646323603,118,624487,624500,10.0,10.0
test,D0,15,global_outside_5deg,2,seasonal_climatology,140706.06982421875,3845923.544921875,-2088.5202316307355,905.5235078057755,0.1912740673710968,-0.0005430477770127282,0.00023545021039261715,118,624487,624500,10.0,10.0
test,D0,15,global_outside_5deg,4,damped_linear,204122.14624023438,3845922.880859375,-362.99495999104704,94.06405395543142,0.23038000178998325,-9.438435747051056e-05,2.4458122762568945e-05,118,624487,624500,20.0,20.0
test,D0,15,global_outside_5deg,4,persistence,163141.49682617188,3845922.880859375,-500.4077811982921,97.46058417649199,0.20595955063406624,-0.00013011383657450653,2.5341273654118185e-05,118,624487,624500,20.0,20.0
