run,stage,variant,seed,job_id,complete,started,approx_training_gpu_hours,best_checkpoint_approx_gpu_hours,best_checkpoint_approx_duacs_examples,best_checkpoint_rmse_5d,best_checkpoint_rmse_10d,best_checkpoint_rmse_20d,best_checkpoint_rmse_30d,latest_validation_rmse_10d
screen-D0-s15,screen,D0,15,17428065,True,True,46.557404045064466,0.362984086155581,2040,0.05550627240945982,0.10212144009958771,0.1575537157951996,0.1902590300014321,0.12424932869109871
screen-D1-s15,screen,D1,15,17425534,True,True,46.55931087347162,0.1915005576496737,1192,0.05934192678869898,0.1087401081806968,0.16608206521395869,0.19826821143539372,0.18286187591132472
screen-D2-s15,screen,D2,15,17428066,True,True,46.556487206405336,1.1840427431844485,8416,0.056253164753712934,0.10365186005184211,0.15898559766321746,0.19206095710505355,0.11158638426475499
screen-D3-s15,screen,D3,15,17425536,True,True,46.55653458875604,0.8794046388680322,5996,0.056598221331794894,0.10395320897342271,0.15538761676475366,0.18166795142476494,0.11172466598286035
screen-D4-s15,screen,D4,15,17428067,True,True,46.55768934660539,16.870140523842224,118040,0.05822107324237516,0.10251994910658659,0.14743998489990645,0.17086731267181973,0.11156569230238451
screen-D5-s15,screen,D5,15,17592843,True,True,46.55692099214946,19.256720790634347,476,0.06705218192079102,0.12139208734685357,0.18648638244934337,0.22460849025372337,0.1636647989073992
confirm-D0-s15,confirm,D0,15,17685810,False,True,96.31649128122463,0.2672220451113147,2040,0.055507657932957255,0.10212355425739385,0.15737732967154738,0.18996642291268823,0.1292938252342397
confirm-D0-s16,confirm,D0,16,17756074,False,True,16.191357365538263,0.38891142413641017,3040,0.05302043905968107,0.09483022231565168,0.14216239244515438,0.1679499253452394,0.11123911705704327
confirm-D0-s17,confirm,D0,17,17756078,False,False,,,,,,,,
confirm-D4-s15,confirm,D4,15,17685811,False,True,96.31042573902549,79.02469351072796,562988,0.05761279593550138,0.10026464970459141,0.14400754802446478,0.1670922643642661,0.1056778953886836
confirm-D4-s16,confirm,D4,16,17756076,False,True,16.18220560860406,0.9655896018786977,6548,0.05268194069656838,0.09445492463971591,0.14169123089727143,0.16690681262995416,0.10426437067773267
confirm-D4-s17,confirm,D4,17,17756079,False,False,,,,,,,,
