Timestamp,Epoch,Batch,Total Batches,ETA,Learning Rate,Current Loss,Average Loss,Time,Avg Time,Data Time,Avg Data Time,Max CPU Mem,Max GPU Mem
2025-03-28 20:53:32.997,1,0,2821,15:24:53,0.0002,2.8905,2.8905,19.672,19.672,12.487,12.487,1775,32192
2025-03-28 20:53:33.657,1,1,2821,7:57:46,0.0002,2.8905,2.97,0.659,0.659,0.0,0.0,1850,32192
2025-03-28 20:53:34.319,1,2,2821,5:28:45,0.0002,3.0496,3.0526,0.661,0.661,0.0,0.0,1853,32192
2025-03-28 20:53:34.984,1,3,2821,4:14:16,0.0002,2.8905,2.9405,0.664,0.664,0.0,0.0,1853,32192
2025-03-28 20:53:37.086,1,4,2821,3:43:04,0.0002,2.8905,2.7812,2.101,2.101,1.439,1.439,1855,32192
2025-03-28 20:53:37.749,1,5,2821,3:11:00,0.0002,2.6043,2.6007,0.662,0.662,0.0,0.0,1855,32192
2025-03-28 20:53:38.419,1,6,2821,2:48:08,0.0002,2.6043,2.4417,0.669,0.669,0.0,0.0,1855,32192
2025-03-28 20:53:39.079,1,7,2821,2:30:56,0.0002,2.1441,2.3068,0.659,0.659,0.0,0.0,1855,32192
2025-03-28 20:53:47.861,1,8,2821,2:59:52,0.0002,2.1441,2.1861,8.781,8.781,8.089,8.089,1855,32192
2025-03-28 20:53:48.522,1,9,2821,2:44:55,0.0002,1.6983,2.088,0.66,0.66,0.0,0.0,1855,32192
2025-03-28 20:53:49.182,1,10,2821,2:32:40,0.0002,1.6983,1.9963,0.659,0.659,0.0,0.0,1855,32192
2025-03-28 20:53:49.851,1,11,2821,2:22:30,0.0002,1.4878,1.9127,0.668,0.668,0.0,0.0,1855,32192
2025-03-28 20:53:58.309,1,12,2821,2:41:57,0.0002,1.4878,1.8383,8.457,8.457,7.775,7.775,1855,32192
2025-03-28 20:53:58.964,1,13,2821,2:32:31,0.0002,1.3624,1.7671,0.655,0.655,0.0,0.0,1855,32192
2025-03-28 20:53:59.625,1,14,2821,2:24:21,0.0002,1.3624,1.7038,0.66,0.66,0.0,0.0,1855,32192
2025-03-28 20:54:00.281,1,15,2821,2:17:12,0.0002,1.22,1.6456,0.656,0.656,0.0,0.0,1855,32192
2025-03-28 20:54:08.843,1,16,2821,2:32:38,0.0002,1.22,1.5989,8.561,8.561,7.867,7.867,1855,32192
2025-03-28 20:54:09.501,1,17,2821,2:25:48,0.0002,1.2058,1.55,0.657,0.657,0.0,0.0,1855,32192
2025-03-28 20:54:10.157,1,18,2821,2:19:41,0.0002,1.2058,1.5077,0.655,0.655,0.0,0.0,1855,32192
2025-03-28 20:54:10.811,1,19,2821,2:14:11,0.0002,1.0791,1.4667,0.654,0.654,0.0,0.0,1855,32192
2025-03-28 20:54:19.399,1,20,2821,2:26:50,0.0002,0.9926,1.4283,8.587,8.587,7.904,7.904,1855,32192
2025-03-28 20:54:20.055,1,21,2821,2:21:30,0.0002,0.9461,1.3929,0.655,0.655,0.0,0.0,1855,32192
2025-03-28 20:54:20.714,1,22,2821,2:16:38,0.0002,0.8524,1.3606,0.659,0.659,0.0,0.0,1855,32192
2025-03-28 20:54:21.370,1,23,2821,2:12:10,0.0002,0.8407,1.3288,0.655,0.655,0.0,0.0,1855,32192
2025-03-28 20:54:30.096,1,24,2821,2:23:06,0.0002,0.8177,1.3001,8.725,8.725,8.048,8.048,1855,32192
2025-03-28 20:54:30.750,1,25,2821,2:18:43,0.0002,0.7731,1.2722,0.653,0.653,0.0,0.0,1855,32192
2025-03-28 20:54:31.404,1,26,2821,2:14:40,0.0002,0.7476,1.2457,0.653,0.653,0.0,0.0,1855,32192
2025-03-28 20:54:32.066,1,27,2821,2:10:54,0.0002,0.7175,1.2225,0.661,0.661,0.0,0.0,1855,32192
2025-03-28 20:54:41.102,1,28,2821,2:20:51,0.0002,0.6873,1.1989,9.035,9.035,8.321,8.321,1855,32192
2025-03-28 20:54:41.756,1,29,2821,2:17:07,0.0002,0.6605,1.1767,0.654,0.654,0.0,0.0,1855,32192
2025-03-28 20:54:42.412,1,30,2821,2:13:38,0.0002,0.6514,1.1563,0.655,0.655,0.0,0.0,1855,32192
2025-03-28 20:54:43.067,1,31,2821,2:10:22,0.0002,0.6485,1.1363,0.654,0.654,0.0,0.0,1855,32192
2025-03-28 20:54:51.180,1,32,2821,2:17:48,0.0002,0.6113,1.1193,8.113,8.113,7.419,7.419,1855,32192
2025-03-28 20:54:51.834,1,33,2821,2:14:35,0.0002,0.5966,1.1008,0.653,0.653,0.0,0.0,1855,32192
2025-03-28 20:54:52.489,1,34,2821,2:11:34,0.0002,0.5964,1.0826,0.654,0.654,0.0,0.0,1855,32192
2025-03-28 20:54:53.149,1,35,2821,2:08:42,0.0002,0.5763,1.0664,0.659,0.659,0.0,0.0,1855,32192
2025-03-28 20:55:01.558,1,36,2821,2:15:44,0.0002,0.5753,1.0502,8.408,8.408,7.713,7.713,1855,32192
2025-03-28 20:55:02.858,1,37,2821,2:13:42,0.0002,0.5547,1.0353,1.299,1.299,0.63,0.63,1855,32192
2025-03-28 20:55:03.525,1,38,2821,2:11:01,0.0002,0.5454,1.022,0.666,0.666,0.0,0.0,1855,32192
2025-03-28 20:55:04.188,1,39,2821,2:08:28,0.0002,0.5404,1.0099,0.662,0.662,0.0,0.0,1855,32192
2025-03-28 20:55:13.014,1,40,2821,2:15:16,0.0002,0.5375,0.9971,8.825,8.825,8.121,8.121,1855,32192
2025-03-28 20:55:13.971,1,41,2821,2:13:03,0.0002,0.5375,0.9864,0.956,0.956,0.302,0.302,1855,32192
2025-03-28 20:55:14.628,1,42,2821,2:10:37,0.0002,0.5313,0.9748,0.656,0.656,0.0,0.0,1855,32192
2025-03-28 20:55:15.284,1,43,2821,2:08:17,0.0002,0.5169,0.9631,0.655,0.655,0.0,0.0,1855,32192
2025-03-28 20:55:23.557,1,44,2821,2:13:54,0.0002,0.516,0.9521,8.272,8.272,7.559,7.559,1855,32192
2025-03-28 20:55:24.748,1,45,2821,2:12:08,0.0002,0.4998,0.9412,1.191,1.191,0.523,0.523,1855,32192
2025-03-28 20:55:25.407,1,46,2821,2:09:56,0.0002,0.488,0.9304,0.658,0.658,0.0,0.0,1855,32192
2025-03-28 20:55:26.065,1,47,2821,2:07:48,0.0002,0.4842,0.9201,0.657,0.657,0.0,0.0,1855,32192
2025-03-28 20:55:34.933,1,48,2821,2:13:31,0.0002,0.4842,0.9113,8.867,8.867,8.161,8.161,1855,32192
2025-03-28 20:55:35.773,1,49,2821,2:11:35,0.0002,0.4838,0.9015,0.839,0.839,0.138,0.138,1855,32192
2025-03-28 20:55:36.429,1,50,2821,2:09:33,0.0002,0.4836,0.8932,0.655,0.655,0.0,0.0,1855,32192
2025-03-28 20:55:37.088,1,51,2821,2:07:35,0.0002,0.4836,0.8854,0.658,0.658,0.0,0.0,1855,32192
2025-03-28 20:55:46.021,1,52,2821,2:12:55,0.0002,0.4751,0.877,8.932,8.932,8.238,8.238,1855,32192
2025-03-28 20:55:46.774,1,53,2821,2:11:03,0.0002,0.4751,0.8699,0.752,0.752,0.091,0.091,1855,32192
2025-03-28 20:55:47.470,1,54,2821,2:09:12,0.0002,0.4751,0.8622,0.694,0.694,0.0,0.0,1855,32192
2025-03-28 20:55:48.160,1,55,2821,2:07:25,0.0002,0.4677,0.8546,0.689,0.689,0.0,0.0,1855,32192
