phase,store,workers,seconds
cold,compact__lz4-5__byteshuffle.zarr,16,16.7140
cold,compact__lz4-5__byteshuffle.zarr,32,14.7052
cold,compact__zstd-3__bitshuffle.zarr,16,16.5833
cold,compact__zstd-3__bitshuffle.zarr,32,14.3626
cold,packed__lz4hc-5__byteshuffle.zarr,16,10.8857
cold,packed__lz4hc-5__byteshuffle.zarr,32,9.1850
cold,compact__lz4-5__bitshuffle.zarr,16,16.5820
cold,compact__lz4-5__bitshuffle.zarr,32,15.8050
cold,compact__lz4hc-5__byteshuffle.zarr,16,26.7135
cold,compact__lz4hc-5__byteshuffle.zarr,32,21.0680
cold,packed__lz4hc-5__bitshuffle.zarr,16,14.5583
cold,packed__lz4hc-5__bitshuffle.zarr,32,14.8326
cold,compact__zstd-3__byteshuffle.zarr,16,24.8132
cold,compact__zstd-3__byteshuffle.zarr,32,21.0600
cold,packed__lz4-5__bitshuffle.zarr,16,14.1962
cold,packed__lz4-5__bitshuffle.zarr,32,12.3055
cold,packed__zstd-3__byteshuffle.zarr,16,13.3851
cold,packed__zstd-3__byteshuffle.zarr,32,12.1948
cold,packed__zstd-3__bitshuffle.zarr,16,13.1335
cold,packed__zstd-3__bitshuffle.zarr,32,8.4058
cold,packed__lz4-5__byteshuffle.zarr,16,10.2488
cold,packed__lz4-5__byteshuffle.zarr,32,9.1724
cold,compact__lz4hc-5__bitshuffle.zarr,16,16.8215
cold,compact__lz4hc-5__bitshuffle.zarr,32,13.9000
cold,packed__zstd-3__bitshuffle.zarr,16,9.0379
cold,packed__zstd-3__bitshuffle.zarr,32,8.5664
cold,packed__lz4-5__bitshuffle.zarr,16,10.0278
cold,packed__lz4-5__bitshuffle.zarr,32,8.7739
cold,compact__lz4hc-5__bitshuffle.zarr,16,17.2380
cold,compact__lz4hc-5__bitshuffle.zarr,32,14.0442
cold,compact__lz4-5__byteshuffle.zarr,16,25.9573
cold,compact__lz4-5__byteshuffle.zarr,32,22.5115
cold,compact__zstd-3__bitshuffle.zarr,16,23.3152
cold,compact__zstd-3__bitshuffle.zarr,32,20.9674
cold,packed__zstd-3__byteshuffle.zarr,16,13.5678
cold,packed__zstd-3__byteshuffle.zarr,32,11.4760
cold,compact__lz4-5__bitshuffle.zarr,16,25.4142
cold,compact__lz4-5__bitshuffle.zarr,32,21.2528
cold,packed__lz4-5__byteshuffle.zarr,16,15.0390
cold,packed__lz4-5__byteshuffle.zarr,32,12.8216
cold,compact__zstd-3__byteshuffle.zarr,16,18.3486
cold,compact__zstd-3__byteshuffle.zarr,32,20.6909
cold,packed__lz4hc-5__bitshuffle.zarr,16,13.5316
cold,packed__lz4hc-5__bitshuffle.zarr,32,12.9085
cold,compact__lz4hc-5__byteshuffle.zarr,16,25.2297
cold,compact__lz4hc-5__byteshuffle.zarr,32,19.2944
cold,packed__lz4hc-5__byteshuffle.zarr,16,17.1796
cold,packed__lz4hc-5__byteshuffle.zarr,32,13.2068
cold,compact__lz4-5__bitshuffle.zarr,16,26.4193
cold,compact__lz4-5__bitshuffle.zarr,32,21.6708
cold,packed__lz4-5__byteshuffle.zarr,16,15.9930
cold,packed__lz4-5__byteshuffle.zarr,32,11.5864
cold,compact__lz4hc-5__byteshuffle.zarr,16,16.1616
cold,compact__lz4hc-5__byteshuffle.zarr,32,13.6084
cold,compact__lz4-5__byteshuffle.zarr,16,19.3693
cold,compact__lz4-5__byteshuffle.zarr,32,16.0106
cold,packed__lz4-5__bitshuffle.zarr,16,10.7791
cold,packed__lz4-5__bitshuffle.zarr,32,9.9501
cold,packed__lz4hc-5__bitshuffle.zarr,16,10.8872
cold,packed__lz4hc-5__bitshuffle.zarr,32,10.3709
cold,compact__zstd-3__bitshuffle.zarr,16,21.3001
cold,compact__zstd-3__bitshuffle.zarr,32,23.0060
cold,packed__zstd-3__byteshuffle.zarr,16,13.1164
cold,packed__zstd-3__byteshuffle.zarr,32,13.7840
cold,compact__zstd-3__byteshuffle.zarr,16,24.5124
cold,compact__zstd-3__byteshuffle.zarr,32,21.9929
cold,packed__lz4hc-5__byteshuffle.zarr,16,15.3083
cold,packed__lz4hc-5__byteshuffle.zarr,32,16.7655
cold,packed__zstd-3__bitshuffle.zarr,16,13.9899
cold,packed__zstd-3__bitshuffle.zarr,32,10.9646
cold,compact__lz4hc-5__bitshuffle.zarr,16,26.0971
cold,compact__lz4hc-5__bitshuffle.zarr,32,18.0719
warm,compact__lz4-5__bitshuffle.zarr,32,1.8920
warm,compact__lz4-5__byteshuffle.zarr,32,1.8563
warm,compact__lz4hc-5__bitshuffle.zarr,32,1.8960
warm,compact__lz4hc-5__byteshuffle.zarr,32,1.7833
warm,compact__zstd-3__bitshuffle.zarr,32,2.1653
warm,compact__zstd-3__byteshuffle.zarr,32,2.0037
warm,packed__lz4-5__bitshuffle.zarr,32,1.5997
warm,packed__lz4-5__byteshuffle.zarr,32,1.5674
warm,packed__lz4hc-5__bitshuffle.zarr,32,1.5346
warm,packed__lz4hc-5__byteshuffle.zarr,32,1.3451
warm,packed__zstd-3__bitshuffle.zarr,32,1.9195
warm,packed__zstd-3__byteshuffle.zarr,32,1.6669
