Timestamp,Epoch,Batch,Total Batches,ETA,Learning Rate,Current Loss,Average Loss,Time,Avg Time,Data Time,Avg Data Time,Max CPU Mem,Max GPU Mem
2025-03-28 18:37:57.061,1,0,2821,14:33:10,0.0002,2.8905,2.8905,18.572,18.572,11.423,11.423,1775,32193
2025-03-28 18:37:57.716,1,1,2821,7:31:48,0.0002,2.8905,2.9701,0.654,0.654,0.0,0.0,1852,32193
2025-03-28 18:37:58.371,1,2,2821,5:11:20,0.0002,3.0496,3.054,0.654,0.654,0.0,0.0,1853,32193
2025-03-28 18:37:59.030,1,3,2821,4:01:08,0.0002,2.8905,2.9409,0.658,0.658,0.0,0.0,1853,32193
2025-03-28 18:38:00.423,1,4,2821,3:25:55,0.0002,2.8905,2.7815,1.392,1.392,0.738,0.738,1853,32193
2025-03-28 18:38:01.078,1,5,2821,2:56:39,0.0002,2.6016,2.6009,0.654,0.654,0.0,0.0,1853,32193
2025-03-28 18:38:01.736,1,6,2821,2:35:46,0.0002,2.6016,2.4418,0.656,0.656,0.0,0.0,1853,32193
2025-03-28 18:38:02.393,1,7,2821,2:20:06,0.0002,2.1439,2.3068,0.657,0.657,0.0,0.0,1853,32193
2025-03-28 18:38:10.707,1,8,2821,2:47:47,0.0002,2.1439,2.1859,8.312,8.312,7.633,7.633,1855,32193
2025-03-28 18:38:11.360,1,9,2821,2:34:00,0.0002,1.6978,2.0877,0.653,0.653,0.0,0.0,1855,32193
2025-03-28 18:38:12.017,1,10,2821,2:22:45,0.0002,1.6978,1.996,0.656,0.656,0.0,0.0,1855,32193
2025-03-28 18:38:12.673,1,11,2821,2:13:22,0.0002,1.487,1.9123,0.655,0.655,0.0,0.0,1855,32193
2025-03-28 18:38:20.496,1,12,2821,2:31:14,0.0002,1.487,1.838,7.822,7.822,7.135,7.135,1855,32193
2025-03-28 18:38:21.157,1,13,2821,2:22:35,0.0002,1.3619,1.7667,0.66,0.66,0.0,0.0,1855,32193
2025-03-28 18:38:21.819,1,14,2821,2:15:06,0.0002,1.3619,1.7035,0.662,0.662,0.0,0.0,1855,32193
2025-03-28 18:38:22.489,1,15,2821,2:08:34,0.0002,1.219,1.6453,0.669,0.669,0.0,0.0,1855,32193
2025-03-28 18:38:30.459,1,16,2821,2:22:52,0.0002,1.219,1.5987,7.97,7.97,7.248,7.248,1855,32193
2025-03-28 18:38:31.125,1,17,2821,2:16:37,0.0002,1.204,1.5497,0.664,0.664,0.0,0.0,1855,32193
2025-03-28 18:38:31.784,1,18,2821,2:11:00,0.0002,1.204,1.5075,0.658,0.658,0.0,0.0,1855,32193
2025-03-28 18:38:32.453,1,19,2821,2:05:58,0.0002,1.0786,1.4664,0.668,0.668,0.0,0.0,1855,32193
2025-03-28 18:38:40.561,1,20,2821,2:17:56,0.0002,0.9923,1.428,8.107,8.107,7.399,7.399,1855,32193
2025-03-28 18:38:41.216,1,21,2821,2:13:01,0.0002,0.946,1.3926,0.654,0.654,0.0,0.0,1855,32193
2025-03-28 18:38:41.871,1,22,2821,2:08:31,0.0002,0.852,1.3605,0.654,0.654,0.0,0.0,1855,32193
2025-03-28 18:38:42.529,1,23,2821,2:04:23,0.0002,0.8402,1.3287,0.658,0.658,0.0,0.0,1855,32193
2025-03-28 18:38:51.389,1,24,2821,2:15:53,0.0002,0.8182,1.3,8.859,8.859,8.154,8.154,1855,32193
2025-03-28 18:38:52.042,1,25,2821,2:11:47,0.0002,0.7729,1.2721,0.652,0.652,0.0,0.0,1855,32193
2025-03-28 18:38:52.695,1,26,2821,2:07:59,0.0002,0.7474,1.2456,0.653,0.653,0.0,0.0,1855,32193
2025-03-28 18:38:53.359,1,27,2821,2:04:28,0.0002,0.7171,1.2224,0.663,0.663,0.0,0.0,1855,32193
2025-03-28 18:39:03.081,1,28,2821,2:15:44,0.0002,0.6865,1.1989,9.721,9.721,9.014,9.014,1855,32193
2025-03-28 18:39:03.738,1,29,2821,2:12:11,0.0002,0.6588,1.1767,0.656,0.656,0.0,0.0,1855,32193
2025-03-28 18:39:04.416,1,30,2821,2:08:54,0.0002,0.6536,1.1563,0.678,0.678,0.0,0.0,1855,32193
2025-03-28 18:39:05.081,1,31,2821,2:05:47,0.0002,0.6497,1.1363,0.664,0.664,0.0,0.0,1855,32193
2025-03-28 18:39:13.598,1,32,2821,2:13:55,0.0002,0.6117,1.1193,8.516,8.516,7.813,7.813,1855,32193
2025-03-28 18:39:14.722,1,33,2821,2:11:28,0.0002,0.5978,1.1007,1.123,1.123,0.442,0.442,1855,32193
2025-03-28 18:39:15.396,1,34,2821,2:08:34,0.0002,0.5974,1.0825,0.673,0.673,0.0,0.0,1855,32193
2025-03-28 18:39:16.061,1,35,2821,2:05:48,0.0002,0.5755,1.0664,0.665,0.665,0.0,0.0,1855,32193
2025-03-28 18:39:24.224,1,36,2821,2:12:36,0.0002,0.5754,1.0501,8.162,8.162,7.478,7.478,1855,32193
2025-03-28 18:39:26.214,1,37,2821,2:11:30,0.0002,0.5556,1.0352,1.989,1.989,1.312,1.312,1855,32193
2025-03-28 18:39:26.868,1,38,2821,2:08:51,0.0002,0.5451,1.0219,0.653,0.653,0.0,0.0,1855,32193
2025-03-28 18:39:27.523,1,39,2821,2:06:21,0.0002,0.5402,1.0098,0.654,0.654,0.0,0.0,1855,32193
